"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhadram Koduko","1992","Actor","","8a633c7d-33c6-4649-b55d-5f58c2017714","Bhadram Koduko","1992","Not attributed","100","cast","Add Laya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kodanda Ramudu","2000","Actor","","ba7ac268-901c-41da-978b-00f2e8a55930","Kodanda Ramudu","2000","Not attributed","100","cast","Add Laya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maduve Aagona Baa","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Laya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gelupu","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Laya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Donga Ramudu and Party","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Laya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Veera Kannadiga","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Laya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thommanum Makkalum","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Laya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rashtram","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Laya as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Brahmalokam To Yamalokam Via Bhulokam","2010","Cameo appearance","","6f2dcc1f-1e29-45bc-9b0b-00f45c9c510b","Brahmalokam to Yamalokam via Bhulokam","2010","Not attributed","100","cast","Add Laya as Cameo appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","Amar Akbar Anthony","2018","Actor","","27c5f1f1-4eba-48f7-bacd-1d3d2cb1eaf2","Amar Akbar Anthony","2018","Not attributed","100","cast","Add Laya as Cast Member"
"✓ ATTRIBUTED","Swayamvaram","1999","Debut film in a lead role","","56ee1e14-3171-40fe-b888-d7c9aa0ae3e0","Swayamvaram","1999","Heroine: Laya","100","","None"
"✓ ATTRIBUTED","Thammudu","2025","Actor","","72991cd4-6fe7-4137-abb5-70a025ed37a7","Thammudu","2025","Not attributed","100","","None"
