"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kerala State Film Awards","1981","Second Best Actress","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Madhavi as Second Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Best Actress","1982","Best Actress","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Madhavi as Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Second Best Actress","1993","Second Best Actress","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Madhavi as Second Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maro Charitra","1978","Actor","","1887748f-f339-4b00-a205-2949e8e3fb39","Maa Iddari Katha","1977","Not attributed","90","cast","Add Madhavi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Agni Sanskaram","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add Madhavi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vaaralabbai","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Madhavi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Intlo Ramayya Veedilo Krishnayya","1982","Nominated — Filmfare Award for Best Actress – Telugu","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Madhavi as Nominated — Filmfare Award for Best Actress – Telugu"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chattaniki Veyyi Kallu","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Madhavi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhale Ramudu","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Madhavi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sanchalanam","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Madhavi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ide Naa Samadhanam","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Madhavi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Veera Pratap","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Madhavi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Siri Muvvala Simhanadam","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Madhavi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mathru Devo Bhava","1993","Nominated — Filmfare Award for Best Actress – Telugu","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Madhavi as Nominated — Filmfare Award for Best Actress – Telugu"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lava","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add Madhavi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Valarthu Mrugangal","1981","Won — Kerala State Film Award for Second Best Actress","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Madhavi as Won — Kerala State Film Award for Second Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anuraagakkodathi","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Madhavi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ponthooval","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Madhavi as Cast Member"
