"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Khiladi No. 1","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Nandu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Preminche Rojullo","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Nandu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Idhayam Thiraiarangam","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Nandu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Autonagar Surya","2014","Actor","","28fc56e8-bd4a-4517-9d3d-429b016b8af3","Autonagar Surya","2014","Not attributed","100","cast","Add Nandu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shourya","2016","Actor","","559c82d7-9be7-4bdf-8090-25de10686f27","Shourya","2016","Not attributed","100","cast","Add Nandu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pichiga Nachav","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Nandu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Size Zero","2015","Actor","","c32e4c6e-4d4a-4778-9a6c-4dcf4174f640","Size Zero","2015","Not attributed","100","cast","Add Nandu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lord Krishna","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Nandu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vadhuvu","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Nandu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Mystery of Moksha Island","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Nandu as Cast Member"
"✓ ATTRIBUTED","Photo","2006","Actor","","ddeb072d-e554-41cd-8620-4d5f65942bd4","Photo","2006","Hero: Nandu Vijay Krishna","100","","None"
"✓ ATTRIBUTED","100% Love","2011","Actor","","5f33ceec-7f5a-4bab-8a1e-37154a1df9d6","100% Love","2011","Not attributed","100","","None"
"✓ ATTRIBUTED","Pesarattu","2015","Actor","","18484b26-360e-4d12-a783-e166e5906062","Pesarattu","2015","Hero: Nandu","100","","None"
"✓ ATTRIBUTED","Sammohanam","2018","Actor","","0b1690fa-b617-47c7-8c25-31a92cb87811","Sammohanam","2018","Not attributed","100","","None"
"✓ ATTRIBUTED","Sivaranjani","2019","Actor","","50e7b165-dc72-42b9-9e3d-713c22c9b8be","Sivaranjani","2019","Hero: Nandu Vijay Krishna","100","","None"
"✓ ATTRIBUTED","Savaari","2020","Actor","","8a5fc003-b177-4271-a98e-fc10c60c41cb","Savaari","2020","Hero: Nandu Vijay Krishna","100","","None"
"✓ ATTRIBUTED","Sehari","2022","Cameo","","b25d82f5-6c75-487d-8663-1e42b31b0506","Sehari","2022","Not attributed","100","","None"
"✓ ATTRIBUTED","Dhandoraa","2025","Actor","","0f7953dd-4d65-4642-9071-03309d8df2a0","Dhandoraa","2025","Not attributed","100","","None"
"✓ ATTRIBUTED","Psych Siddhartha","2026","Actor","","4981052b-3d1e-43fe-a709-53365c5c117b","Psych Siddhartha","2026","Hero: Shree Nandu","100","","None"
