"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pandanti Kapuram","1972","Actor","","0f52c402-d8e0-4d01-bb15-b5cae040467f","Pandanti Kapuram","1972","Not attributed","100","cast","Add Naresh as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devadasu","1974","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","100","cast","Add Naresh as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Santanam Sowbhagyam","1975","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","90","cast","Add Naresh as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nalugu Stambhalata","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Naresh as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Puttadi Bomma","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Naresh as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yama Doothalu","1984","Actor","","dd081d61-0df5-49b8-aafc-0a608879514f","Yama Doothalu","1984","Not attributed","100","cast","Add Naresh as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shrivaari Sobhanam","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Naresh as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dammit Katha Addam Thirigindi","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Naresh as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bava Bava Panneeru","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Naresh as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Alajadi","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Naresh as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nenera Police","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Naresh as Cast Member"
