"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Priyanka","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Neelakanta as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Show","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Neelakanta as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Missamma","2003","Actor","","064e67d9-acb6-48e4-9474-8559ed588b1a","Missamma","2003","Director: G. Neelakanta Reddy","100","cast","Add Neelakanta as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sadaa Mee Sevalo","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Neelakanta as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nandanavanam 120km","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Neelakanta as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mr. Medhavi","2008","Actor","","ad8e815a-5ef9-4266-bd19-0e61ee53a339","Mr. Medhavi","2008","Director: Neelakanta","100","cast","Add Neelakanta as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Virodhi","2011","Actor","","efa0bca4-bbc3-4dc3-8d8b-fc7165c4388a","Virodhi","2011","Director: Neelakanta","100","cast","Add Neelakanta as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chammak Challo","2013","Actor","","556f5a16-c25a-4ccd-8711-589d408c19e0","Chammak Challo","2013","Director: Neelakanta","100","cast","Add Neelakanta as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maaya","2014","Actor","","1d8fbf50-2a6b-44e5-9e68-37c32a5e21cf","Maaya","2014","Director: Neelakanta","100","cast","Add Neelakanta as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Circle","2023","Actor","","03788f74-ac6d-4d6b-a095-7d1cabf54913","Circle","2023","Director: Neelakanta","100","cast","Add Neelakanta as Cast Member"
