"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manju Poloru Penkutty","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hridayathil Sookshikkan","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pachakuthira","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sri Mahalakshmi","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","College Kumaran","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kandhakottai","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aadu Puli","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chattakaari","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mili","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kodiveeran","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Savarakathi","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Madhura Raja","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lock Up","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Visithiran","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devil","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kannamoochi","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Navarasa","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sixth Sense (game show)","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Poorna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Udan Panam","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Poorna as Cast Member"
"✓ ATTRIBUTED","Drohi","2010","Actor","","592c5195-9b92-4241-ae70-85a5b935367f","Drohi","2010","Not attributed","100","","None"
"✓ ATTRIBUTED","Aaru Sundarimaarude Katha","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Heroine: Poorna","90","","None"
"✓ ATTRIBUTED","Laddu Babu","2014","Actor","","f8f0403c-6c0f-49a5-aadb-e9e05857aaeb","Laddu Babu","2014","Not attributed","100","","None"
"✓ ATTRIBUTED","Jayammu Nischayammu Raa","2016","Actor","","340635c8-f4a4-410e-aa3f-ed1ba3f314f3","Jayammu Nischayammu Raa","2016","Heroine: Poorna","100","","None"
"✓ ATTRIBUTED","Power Play","2021","Actor","","50b0ba5d-eb75-4664-bc4d-2c2d9f9af70f","Power Play","2021","Not attributed","100","","None"
"✓ ATTRIBUTED","Suvarna Sundari","2023","Actor","","e2c68aa5-f9a0-4643-9ee8-4ae7a1cb615b","Suvarna Sundari","2023","Not attributed","100","","None"
"✓ ATTRIBUTED","Akhanda 2: Thaandavam","2025","Actor","","121b701e-10b2-43ec-8563-f24a1b49a36c","Akhanda 2: Thaandavam","2025","Not attributed","100","","None"
