"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nenjil Oru Mull","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Theeratha Vilayattu Pillai","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thambathigal","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vidhi","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aduthathu Albert","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aadhalal Kadhal Seiveer","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jilla","2014","Actor","","88151ff8-b40a-4b56-ba41-ad5fc5a03b83","Jilla","2014","Not attributed","100","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vaaimai","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mupparimanam","2017","Guest Appearance (Let's Go Party)","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Poornima as Guest Appearance (Let's Go Party)"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mohini","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raatchasi","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rudhran","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aghathiyaa","2025","Cameo appearance","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Poornima as Cameo appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mohanlal","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rock Star","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Twenty: 20","2008","Actor","","c30c3ea3-145e-4f76-a0cd-89f7c97bea6d","Twenty 20","2008","Not attributed","100","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaiyethum Doorathu","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Onnanu Nammal","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hello Madras Girl","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Poornima as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ithiri Neram Othiri Karyam","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Poornima as Cast Member"
