"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Priyam","1996","Debut in a lead role","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Raasi as Debut in a lead role"
"⚠️ EXISTS_NOT_ATTRIBUTED","Subhakankshalu","1997","Debut in Telugu as a lead","","21169df3-b350-48e4-9b68-5431fde8f6b3","Subhakankshalu","1997","Not attributed","100","cast","Add Raasi as Debut in Telugu as a lead"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kondattam","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Raasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Postman","2000","Actor","","c9d302f5-9f9e-4b4d-90b9-a11a5ff7f426","Postman","1999","Not attributed","100","cast","Add Raasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raja","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Raasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Suyetchai MLA","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Raasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Onbadhule Guru","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Raasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Usurae","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Raasi as Cast Member"
"✓ ATTRIBUTED","Rao Gari Illu","1988","Actor","","7fcde16f-f3d3-4544-9b36-7fc5d9d1fb46","Rao Gari Illu","1988","Not attributed","100","","None"
"✓ ATTRIBUTED","Aditya 369","1991","Actor","","fe4ad5d6-6b28-4795-8876-ae65038e113f","Aditya 369","1991","Not attributed","100","","None"
"✓ ATTRIBUTED","Ankuram","1992","Actor","","40a0ed19-0e04-49ca-b154-09ea644f4c3d","Ankuram","1993","Not attributed","100","","None"
"✓ ATTRIBUTED","Palnati Pourusham","1994","Actor","","bd359575-613b-4525-b64f-59a677052255","Palnati Pourusham","1994","Heroine: Bhanupriya, raasi","100","","None"
"✓ ATTRIBUTED","Swapnalokam","1999","Actor","","4a83fdb2-2dcf-49ce-96ec-4ad4f2a1f96e","Swapnalokam","1999","Heroine: Raasi","100","","None"
"✓ ATTRIBUTED","Maa Aavida Meeda Ottu Mee Aavida Chala Manchidi","2001","Actor","","40da3bfd-5f39-44fd-ad99-8045ab56261a","Maa Aavida Meeda Ottu Mee Aavida Chala Manchidi","2001","Heroine: Vadde Naveen, raasi","100","","None"
"✓ ATTRIBUTED","Nijam","2003","Actor","","fe428cbd-037b-4b14-a599-62f6202a7466","Nijam","2003","Not attributed","100","","None"
"✓ ATTRIBUTED","Venky","2004","Special appearance","","a4c28118-d49a-4891-8ac1-de3f22e362c3","Venky","2004","Not attributed","100","","None"
"✓ ATTRIBUTED","Vaalu","2015","Actor","","8ac6a92b-ec3f-414c-bd6f-480e46714c8c","Vaalu","2015","Not attributed","100","","None"
"✓ ATTRIBUTED","Kalyana Vaibhogame","2016","Actor","","43689b72-a727-41a0-b541-adc8913d8c5b","Kalyana Vaibhogame","2016","Not attributed","100","","None"
"✓ ATTRIBUTED","Aakatayi","2017","Actor","","3ad5c261-418c-4361-b796-e7ae808b2678","Aakatayi","2017","Not attributed","100","","None"
