"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Andamaina Abaddham","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Raja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Oh My Love","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Raja as Cast Member"
"✓ ATTRIBUTED","O Chinnadana","2002","Actor","","5e42ee25-3a0f-4fea-a9b2-758cd8a2e08d","O Chinnadana","2002","Hero: Srikanth Meka, raja; Heroine: Raja Rakshitha","100","","None"
"✓ ATTRIBUTED","Vijayam","2003","Actor","","e6160d04-39c1-4068-8bad-9e610c3eed3d","Vijayam","2003","Hero: Ravi Teja, raja","100","","None"
"✓ ATTRIBUTED","Anand","2004","Actor","","6155914a-9ca6-47a7-8e57-fdb18c02296a","Anand","2004","Hero: Raja","100","","None"
"✓ ATTRIBUTED","Vennela","2005","Actor","","94567a36-4eb9-45ad-818c-115fd9562efd","Vennela","2005","Hero: Raja","100","","None"
"✓ ATTRIBUTED","Bangaram","2006","Actor","","8414663a-aaa9-441d-a350-e82954e639ac","Bangaram","2006","Not attributed","100","","None"
"✓ ATTRIBUTED","Toss","2007","Actor","","3f31357b-571b-4609-8737-11d56283e671","Toss","2007","Hero: Upendra, raja","100","","None"
"✓ ATTRIBUTED","Sontha Ooru","2009","Actor","","9b4132f0-deba-45cb-80b6-508b68027afc","Sontha ooru","2009","Hero: Raja","100","","None"
"✓ ATTRIBUTED","Inkosaari","2010","Actor","","06547f8f-cc83-431a-8db8-020f5ee4c9bf","Inkosaari","2010","Hero: Raja","100","","None"
"✓ ATTRIBUTED","Mr. Nookayya","2012","Actor","","ff4a8b2e-4354-4206-bc1f-e7b4ee619aef","Mr. Nookayya","2012","Not attributed","100","","None"
