"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Samajam","1960","Actor","","38887637-ad16-4cee-89d3-08b7a7ee3104","Samajam","1960","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhishma","1962","Actor","","ec61586f-3930-4004-83cd-48d747f4a198","Bhishma","1962","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Paruvu Prathishta","1963","Actor","","c78ffe87-4ab5-4d13-a7e0-d7abef4e1280","Gulebakavali Katha","1962","Not attributed","90","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manchi Manishi","1964","Actor","","42aa545e-4c1f-4d3d-aced-17ac692ab4ea","Manchi Manishi","1964","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Navarathri","1966","Actor","","db9c6dd1-37bc-4a3c-b2a3-e4eebcb97213","Chandrahasa","1965","Not attributed","90","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Saakshi","1967","Actor","","30c58bda-7730-4ca4-9e23-6777d9eed3ec","Chilaka Gorinka","1966","Not attributed","90","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tikka Sankaraiah","1968","Actor","","b9c22e37-d8d2-4e1d-a46a-9416cec4c7d9","Tikka Sankaraiah","1968","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devudichina Bhartha","1969","Actor","","678077b4-51fd-4f1f-abdf-4664d05ea5c0","Bhale Master","1968","Not attributed","90","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kodalu Diddina Kapuram","1970","Actor","","6282cf55-7c86-40d8-8d6e-1f9494d8cce6","Kodalu Diddina Kapuram","1970","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bomma Borusa","1971","Actor","","3189afec-875a-4adb-9db9-26a111a5be14","Bomma Borusa","1971","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bharya Biddalu","1972","Actor","","129a6c83-60ef-415c-9e21-7140a061e27e","Bharya Biddalu","1972","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Andala Ramudu","1973","Actor","","162a355b-2e51-4dfb-9aab-b23933f83c0b","Andala Ramudu","1973","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Andharu Bagundali","1976","Actor","","6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","1975","Not attributed","90","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aalu Magalu","1977","Actor","","5dfb2ff0-7334-4532-9b67-28ef7bb5830d","Aalu Magalu","1977","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Karunamayudu","1978","Actor","","1a2d75cb-f7af-44c0-b7ad-eaf4b4bcfc31","Karunamayudu","1978","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sarada Ramudu","1980","Actor","","e33d9219-83ee-4ae7-b7a9-66b923f616e0","Sarada Ramudu","1980","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gadasari Atta Sogasari Kodalu","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangaru Bhoomi","1982","Actor","","bce93471-98d5-4f89-ae68-ecd82a67fab3","Bangaru Bhoomi","1982","Not attributed","100","cast","Add Raja Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Andhra Kesari","1983","Actor","","a0fd9f1b-bba2-4eda-9427-1b30918342b8","Andhra Kesari","1983","Not attributed","100","cast","Add Raja Babu as Cast Member"
"✓ ATTRIBUTED","Alluri Seetharama Raju","1974","Actor","","e6c35e83-0115-49a9-8b10-ec447ed0462c","Jeevana Tarangalu","1973","Hero: Sobhan Babu","90","","None"
"✓ ATTRIBUTED","Jeevana Jyothi","1975","Actor","","e64a0afb-a3f7-4ae8-beeb-a3968cd692e5","Jeevana Jyothi","1975","Hero: Sobhan Babu","100","","None"
"✓ ATTRIBUTED","Karthika Deepam","1979","Actor","","c182c180-8777-433c-ad42-19951b660701","Karthika Deepam","1979","Hero: Sobhan Babu","100","","None"
