"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pudhumai Penn","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Puthiya Theerpu","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ee Prasnaku Baduledi","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","America Abbayi","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nyayam Kosam","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aarta Nadam","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rowdyism Nasinchali","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aagraham","1991","Actor","","45f578e7-18cb-46a0-9a2e-840c3baf87b7","Aagraham","1991","Not attributed","100","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raja Simham","1995","Actor","","aa81ca58-005c-4584-bd50-c6e0096ccdf4","Raja Simham","1995","Not attributed","100","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vetagadu","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ratha Yatra","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Suryudu","1998","Actor","","4fdb968a-2b7a-4115-9270-7f79604da343","Suryudu","1998","Not attributed","100","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Seshu","2002","Actor","","d89ce658-cb53-4fa0-a2c4-6840d8d6abd0","Seshu","2002","Not attributed","100","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aayudham","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aaptudu","2004","Actor","","3c833d64-0022-49cf-a4d7-eb3c14e650db","Aaptudu","2004","Not attributed","100","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nayakudu","2005","Actor","","58bb2227-8858-4b5d-b236-0580ce87d757","Nayakudu","2005","Not attributed","100","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gorintaku","2008","Actor","","12d2bbc2-0483-4513-b8ce-5ad695b929a2","Gorintaku","2008","Not attributed","100","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Satyameva Jayate","2009","Also writer","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Rajasekhar as Also writer"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kalki","2019","Actor","","f576dea5-e6fc-4493-9326-84f5839701c9","Kalki","2019","Not attributed","100","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Arjuna","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shekhar","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Rajasekhar as Cast Member"
"✓ ATTRIBUTED","Moratodu Naa Mogudu","1992","Actor","","239e5574-96e6-45cd-a2b4-079900c5b58f","Moratodu Naa Mogudu","1992","Hero: Rajasekhar","100","","None"
"✓ ATTRIBUTED","Amma Koduku","1993","Actor","","0812e6d1-afb1-4207-bd7b-8534a559c2dc","Amma Koduku","1993","Heroine: Rajasekhar","100","","None"
"✓ ATTRIBUTED","Gangmaster","1994","Actor","","ffc32c50-c250-4dc4-92a3-a90e0b65cb0f","Gangmaster","1994","Hero: Dr. Rajasekhar","100","","None"
