"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kandireega","2011","Actor","","9c3033f3-3e70-446f-bc44-039f4892d43e","Kandireega","2011","Not attributed","100","cast","Add Ram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rey","2015","Actor","","22c321c9-962f-4956-9d21-dfdc8d1a15a6","Rey","2015","Not attributed","100","cast","Add Ram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Skanda","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Ram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Europe Film Festival, Switzerland","2002","Best Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Ram as Best Actor"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards South","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Ram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards South","2008","Best Actor – Telugu","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Ram as Best Actor – Telugu"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards South","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Ram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Zee Cine Awards Telugu","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Ram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","10th South Indian International Movie Awards","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Ram as Cast Member"
"✓ ATTRIBUTED","Devadasu","2006","Actor","","6b0b02d6-b7f3-42fd-8c1f-6f52e3adae76","Devadasu","2006","Hero: Ram Pothineni","100","","None"
"✓ ATTRIBUTED","Jagadam","2007","Actor","","7a2b7b0b-569c-4af3-aee2-c8062edef9a6","Jagadam","2007","Hero: Ram Pothineni","100","","None"
"✓ ATTRIBUTED","Ready","2008","Actor","","c73c88a8-883a-48b1-a631-dd4a93171aa3","Ready","2008","Hero: Ram Pothineni","100","","None"
"✓ ATTRIBUTED","Maska","2009","Actor","","54ea1e43-d502-42a0-b277-9290b7cab6e7","Maska","2009","Hero: Ram Pothineni","100","","None"
"✓ ATTRIBUTED","Rama Rama Krishna Krishna","2010","Actor","","abb8dc74-1a1e-4792-9d1f-68341f03268c","Rama Rama Krishna Krishna","2010","Hero: Ram Pothineni","100","","None"
"✓ ATTRIBUTED","Endukante... Premanta!","2012","Actor","","12513a01-96aa-41cb-ade5-57f2143f0733","Endukante Premanta","2012","Hero: Ram Pothineni","100","","None"
"✓ ATTRIBUTED","Ongole Githa","2013","Actor","","9e9d31b6-7800-45ff-a7b5-ffa9cb124682","Ongole Githa","2013","Hero: Ram","100","","None"
"✓ ATTRIBUTED","Nenu Sailaja","2016","Actor","","6a050c0d-7fff-4fb1-ad27-0f2e8c4ced7f","Nenu.. Sailaja...","2016","Hero: Ram Pothineni","100","","None"
"✓ ATTRIBUTED","Vunnadhi Okate Zindagi","2017","Actor","","b622245b-9d72-4247-bc34-5c5881404ab6","Vunnadhi Okate Zindagi","2017","Hero: Ram Pothineni; Heroine: Anupama Parameswaran","100","","None"
"✓ ATTRIBUTED","Hello Guru Prema Kosame","2018","Actor","","dc84c6f9-d886-4ae0-a46f-c469a29d6306","Hello Guru Prema Kosame","2018","Hero: Ram Pothineni; Heroine: Anupama Parameswaran","100","","None"
"✓ ATTRIBUTED","iSmart Shankar","2019","Actor","","c24d911a-60e0-4133-8cd3-daba13851e3d","Ismart Shankar","2019","Hero: Ram Pothineni","100","","None"
"✓ ATTRIBUTED","Red","2021","Actor","","6812ed1d-6802-4958-b369-7709f480ca7b","Red","2021","Hero: Ram Pothineni","100","","None"
"✓ ATTRIBUTED","The Warriorr","2022","Actor","","cf7d808b-4dc3-4408-aed1-ee43abc02697","The Warriorr","2022","Hero: Ram Pothineni","100","","None"
"✓ ATTRIBUTED","Double iSmart","2024","Actor","","29998589-90de-46ee-8b54-307e2cc38c9f","Double iSmart","2024","Hero: Ram Pothineni","100","","None"
"✓ ATTRIBUTED","Andhra King Taluka","2025","Also lyricist and playback singer","","2d747ddf-da74-4d00-a25d-671bde2ab788","Andhra King Taluka","2025","Hero: Ram Pothineni","100","","None"
