"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nitya Kalyanam Pacha Thoranam[2]","1960","Actor","","9bbd34ba-b703-42db-841e-14dc8f0ab985","Illarikam","1959","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kanna Koduku","1961","Actor","","213d3ed2-bc48-40a7-acb5-821bfc44aec1","Kanna Koduku","1961","Not attributed","100","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pelli Kaani Pillalu","1961","Actor","","2a5f49d6-be68-4e2c-b881-f19720d566fe","Pelli Kaani Pillalu","1961","Not attributed","100","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chandrudu","1962","Actor","","17ce5531-fdd0-4108-bee9-9e33e5a1ef18","Varalakshmi Vratham","1961","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lord Venkateswara","1963","Actor","","c78ffe87-4ab5-4d13-a7e0-d7abef4e1280","Gulebakavali Katha","1962","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangaru Timmaraju[4]","1964","Actor","","4bb10c58-fe7b-40ab-bba7-e5ca524d1247","Eedu Jodu","1963","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thodu Needa","1965","Actor","","f7514b6f-065e-44a6-93c3-3e528aa686cf","Thodu Needa","1965","Not attributed","100","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mohini Bhasmasura","1966","Actor","","db9c6dd1-37bc-4a3c-b2a3-e4eebcb97213","Chandrahasa","1965","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chadarangam","1967","Actor","","b253a2c0-7389-4d0c-9cac-0a9f357ec730","Chadarangam","1967","Not attributed","100","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rajayogam[7]","1968","Actor","","04c45d8f-ac8a-42a6-9743-21a306bfcd34","Bhuvana Sundari Katha","1967","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sri Rama Katha","1969","Actor","","678077b4-51fd-4f1f-abdf-4664d05ea5c0","Bhale Master","1968","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Janmabhoomi","1970","Actor","","f6880242-fd8d-491d-a59f-7108cc7a4a26","Annadammulu","1969","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Satyaki","1971","Actor","","6e54a5cf-cc83-40fd-bf63-fad0e04fa1ec","Pachhani Samsaram","1970","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Korada Rani","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Panjaramlo Pasipapa","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kannavari kalalu","1974","Actor","","ecf3fc1b-48f6-49be-b357-98593b2326fa","Kannavari Kalalu","1974","Not attributed","100","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lakshmanudu","1975","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kotalo Paga","1976","Also producer","","6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","1975","Not attributed","90","cast","Add Ramakrishna as Also producer"
"⚠️ EXISTS_NOT_ATTRIBUTED","Balaramudu","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Prayanamlo Padanisalu","1978","Actor","","1887748f-f339-4b00-a205-2949e8e3fb39","Maa Iddari Katha","1977","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Allari Pillalu","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Asadhyulaku Asadhyudu[36]","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ramapuram Lo Seetha","1981","Also producer","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Ramakrishna as Also producer"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mantralaya Sri Raghavendra Vaibhavam","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bahudoorapu Batasari","1983","Actor","","fe544d6b-89a3-4e43-a05d-6575c7cca1e7","Bahudoorapu Batasari","1983","Not attributed","100","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aadadani Saval","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Brahmastram","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Viswanatha Nayakudu","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rocky","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lankeswarudu","1989","Actor","","deb456fb-0883-4a09-82c5-c66ed3287bf2","Lankeswarudu","1989","Not attributed","100","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Samrat Ashoka","1992","Actor","","54462014-98a5-4c37-9bac-8aaccd871c65","Samrat Ashoka","1992","Not attributed","100","cast","Add Ramakrishna as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maya Bazaar","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Ramakrishna as Cast Member"
