"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mechanic Mavayya","1999","Actor","","5dfd6c3f-6102-4e6c-b722-9beef976e0a9","Mechanic Mavayya","1999","Not attributed","100","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Alex","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Uzhavan","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ullathai Allitha","1996","Debut Lead role","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Rambha as Debut Lead role"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dharma Chakkaram","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ninaithen Vandhai","1998","Nominated-Filmfare Award for Best Actress – Tamil","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Rambha as Nominated-Filmfare Award for Best Actress – Tamil"
"⚠️ EXISTS_NOT_ATTRIBUTED","Endrendrum Kadhal","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aanandham","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thilak","2004","Cameo appearance in song ""Izhutha Izhuthu""","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Rambha as Cameo appearance in song ""Izhutha Izhuthu"""
"⚠️ EXISTS_NOT_ATTRIBUTED","Sukran","2005","Cameo appearance in song ""Saathikadi""","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Rambha as Cameo appearance in song ""Saathikadi"""
"⚠️ EXISTS_NOT_ATTRIBUTED","Oru Kadhalan Oru Kadhali","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pen Singam","2010","Extended Cameo","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Rambha as Extended Cameo"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jallaad","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jurmana","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Qahar","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gharwali Baharwali","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Main Tere Pyaar Mein Pagal","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Krodh","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jaani Dushman: Ek Anokhi Kahani","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dukaan: Pila House","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Server Somanna","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","O Premave","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Panchali","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Baava Baamaida","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sahukara","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pandu Ranga Vittala","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gandugali Kumara Rama","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anatharu","2007","Cameo","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Rambha as Cameo"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sargam","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sidhartha","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mayilattam","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Payum Puli","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kabadi Kabadi","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Rambha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Filmstaar","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Rambha as Cast Member"
