"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Swarnakka","1998","Cameo appearance in the song ""Swarnakka""","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Rohit as Cameo appearance in the song ""Swarnakka"""
"✓ ATTRIBUTED","Nuvve Kavali","2000","Cameo appearance","","087fe5c9-2ac3-4c9a-9e0b-8035057e8763","Nuvve Kavali","2000","Not attributed","100","","None"
"✓ ATTRIBUTED","6 Teens","2001","Actor","","8945c34a-4a6f-4767-a4d5-f985fcae5983","6 Teens","2001","Hero: Rohit","100","","None"
"✓ ATTRIBUTED","Chandravamsam","2002","Actor","","f7642b7e-2414-4e1d-b2ba-d288f6f91f78","Chandravamsam","2002","Not attributed","100","","None"
"✓ ATTRIBUTED","Anaganaga O Kurraadu","2003","Actor","","5814d4bf-5ced-4a59-8d99-0cb0b32f5329","Anaganaga O Kurraadu","2003","Hero: Rohit","100","","None"
"✓ ATTRIBUTED","Shankar Dada MBBS","2004","Actor","","b77b0004-b819-40c8-8c16-f9abb39693a2","Shankar Dada M.B.B.S.","2004","Not attributed","100","","None"
"✓ ATTRIBUTED","Keelu Gurram","2005","Actor","","84d143fa-08f5-4b3d-b921-e82072b87798","Keelu Gurram","2005","Hero: Rohit; Director: Rohit, Baladitya, Nakul, Rajesh, Tanu Roy","100","","None"
"✓ ATTRIBUTED","Shankar Dada Zindabad","2007","Actor","","19e67d12-291b-4ba3-82ab-8d592a5a220b","Shankar Dada Zindabad","2007","Not attributed","100","","None"
"✓ ATTRIBUTED","Maa Annayya Bangaram","2010","Actor","","a14dd2c4-9d87-4429-9319-f057f0f65304","Maa Annayya Bangaram","2010","Not attributed","100","","None"
"✓ ATTRIBUTED","RAM (Rapid Action Mission)","2024","Actor","","040ddcba-f26c-4f3f-91bc-4db2c9a2e4a1","RAM: Rapid Action Mission","2024","Not attributed","100","","None"
