"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manasantha Nuvve","2001","Actor","","f4ed4bd3-b702-4670-bc13-e0d5b1ba6392","Manasantha Nuvve","2001","Not attributed","100","cast","Add Sagar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mr. Perfect","2011","Actor","","7fe274a6-5e93-45f4-a157-fc50e6cb61c1","Mr. Perfect","2011","Not attributed","100","cast","Add Sagar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Man of the Match","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Sagar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The 100","2025","Actor","","d9c427f3-cf95-4e2c-9dd5-b7288ff17d24","100 Crores","2024","Not attributed","100","cast","Add Sagar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Amrutham","2003","Guest role","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Sagar as Guest role"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chakravakam","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Sagar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mogali Rekulu","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Sagar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nandi Awards","2009","Best Television Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Sagar as Best Television Actor"
"⚠️ EXISTS_NOT_ATTRIBUTED","South Indian International Movie Awards","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Sagar as Cast Member"
"✓ ATTRIBUTED","Siddhartha","2016","Debut as lead role","","2158b105-35fb-4171-93b3-cfe5207765f4","Siddhartha","2016","Hero: Sagar","100","","None"
"✓ ATTRIBUTED","Shaadi Mubarak","2021","Actor","","acba530b-137e-4870-a9ae-a218de00750a","Shaadi Mubarak","2021","Not attributed","100","","None"
