"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devudu Chesina Pelli","1975","Actor","","eb7619c1-15de-460d-855f-8b3521ccfa86","Devudu Chesina Pelli","1975","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gorintaku","1979","Actor","","acfcb1cb-1187-4514-91ba-819ad458877f","Gorintaku","1979","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maa Voori Pedda Manushulu","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Challenge","1984","Actor","","2fee6b8d-f7aa-4a2a-9faf-e0a2416b67c9","Challenge","1984","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Agni Parvatam","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yugakarthalu","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Doctor Bhavani","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Laati","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Major Chandrakanth","1993","Actor","","b2f7dd8f-1776-4971-b498-689704772ae8","Major Chandrakanth","1993","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pacha Thoranam","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Police Story","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Narahari","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Seema Simham","2002","Actor","","982263da-0942-4aca-9d1a-0cd1996a6bad","Seema Simham","2002","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sivaram","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Slokam","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Samanyudu","2006","Actor","","755c38d6-107e-497a-8b04-0f41f8c5768b","Samanyudu","2006","Director: Ravi C Kumar","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vijayadasami","2007","Actor","","fefa56b3-ca02-4e97-b6a2-5cd4ad12f69b","Vijayadasami","2007","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Indrajith","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dhee Ante Dhee","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Okkadine","2013","Actor","","79c22e62-bf2d-46aa-9a7a-a62de592a842","Okkadine","2013","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yevadu","2014","Actor","","811873ca-7d2e-4942-9795-e5fc31205396","Yevadu","2014","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Naa Peru Surya","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gaalivaana","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","RAM (Rapid Action Mission)","2024","Actor","","040ddcba-f26c-4f3f-91bc-4db2c9a2e4a1","RAM: Rapid Action Mission","2024","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Prema Sangama","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kumkuma Bhagya","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lockup Death","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mutthinantha Hendathi","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hetthavaru","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Muddina Kanmani","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jagadeeshwari","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Underworld","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Naga Devathe","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rashtra Geethe","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Law and Order","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anka","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Monda","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mahasadhvi Mallamma","2005","Actor","","9e93f317-38e2-47c8-b176-c504dda1203a","Mahasadhvi Mallamma","2005","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Police Story 2","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Director: K. Shanti Kumar","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Citizen","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aa Marma","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Brindavana","2013","Actor","","6c32050b-e2c7-4e16-933c-866caa86cc38","Brindavana","2013","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rose","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","RangiTaranga","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Brihaspathi","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ibbaru BTech Students Journey","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Avatara Purusha","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dilmaar","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thaiyalkaran","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaaval Geetham","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vaettiya Madichu Kattu","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anthapuram","1999","Actor","","d53f3678-0fe2-4d7d-95a0-847e80359765","Anthapuram","1999","Not attributed","100","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Independence Day","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aathi","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thenavattu","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kotti","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Sai Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","A1","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Sai Kumar as Cast Member"
