"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Stree","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add Sarath Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raaja","1976","Actor","","6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","1975","Not attributed","90","cast","Add Sarath Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pattina Pravesam","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add Sarath Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nizhal Nijamagiradhu","1978","Actor","","1887748f-f339-4b00-a205-2949e8e3fb39","Maa Iddari Katha","1977","Not attributed","90","cast","Add Sarath Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nadhiyai Thedi Vandha Kadal","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add Sarath Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aval Etriya Deepam","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Sarath Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sagara Sangamam","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Sarath Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Velai Pura Ondru","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Sarath Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Usha","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Sarath Babu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","ACP","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Sarath Babu as Cast Member"
