"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sipayi Kuthuru","1959","Actor","","898aa1eb-8a64-401c-8c40-f193efb453e3","Bhookailas","1958","Not attributed","90","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Madana Kamaraju Katha","1962","Actor","","cbd06cd7-12fb-485b-b184-a9ec49b9ed62","Madana Kamaraju Katha","1962","Not attributed","100","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sri Krishnarjuna Yudham","1963","Actor","","c78ffe87-4ab5-4d13-a7e0-d7abef4e1280","Gulebakavali Katha","1962","Not attributed","90","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aggi Pidugu","1964","Actor","","47b855b7-2917-4b17-be01-07974eaa7ef5","Aggi Pidugu","1964","Not attributed","100","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pandava Vanavasam","1965","Actor","","43dd19bb-47ea-4364-8f65-8e424d4ac215","Pandava Vanavasam","1965","Not attributed","100","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aggi Meeda Guggilam","1968","Actor","","9cafc83c-bfe3-4b7e-980a-d6750cd96c42","Aggi Meeda Guggilam","1968","Not attributed","100","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sri Rama Katha","1969","Actor","","678077b4-51fd-4f1f-abdf-4664d05ea5c0","Bhale Master","1968","Not attributed","90","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rowdilaku Rowdilu","1971","Actor","","6e54a5cf-cc83-40fd-bf63-fad0e04fa1ec","Pachhani Samsaram","1970","Not attributed","90","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gundelu Teesina Monagadu","1974","Actor","","e6c35e83-0115-49a9-8b10-ec447ed0462c","Jeevana Tarangalu","1973","Not attributed","90","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devude Digivaste","1975","Actor","","b1043ceb-4841-4e6b-8575-1ff7271dd6f3","Devude Digivaste","1975","Not attributed","100","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sita Kalyanam","1976","Actor","","6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","1975","Not attributed","90","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jeevithame Oka Natakarangam","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mugguru Muggure","1978","Actor","","05d1dd59-e1f2-47e3-b23d-30914c8dd118","Muggure Mugguru","1978","Not attributed","100","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mahalakshmi","1980","Actor","","830ca198-a877-45b1-9f77-2e747051d08e","Mahalakshmi","1980","Not attributed","100","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Prema Simhasanam","1981","Actor","","e1b6a9aa-90ba-4622-b8e8-944c2239ca4f","Prema Simhasanam","1981","Not attributed","100","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangaru Bhoomi","1982","Actor","","bce93471-98d5-4f89-ae68-ecd82a67fab3","Bangaru Bhoomi","1982","Not attributed","100","cast","Add Satyanarayana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Agni Parvatam","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Satyanarayana as Cast Member"
