"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kannathil Muthamittal","2002","Actor","","9652edbb-b815-4ef2-8926-4de26747cef9","Kannathil Muthamittal","2002","Not attributed","100","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aayutha Ezhuthu","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Blood Brothers","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Striker","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Enakkul Oruvan","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kammara Sambhavam","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sivappu Manjal Pachai","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Takkar","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Indian 2","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Test","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Leila","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Navarasa","2021","Also producer","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Siddharth as Also producer"
"⚠️ EXISTS_NOT_ATTRIBUTED","Escaype Live","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Baakiyalakshmi","2023","Cameo appearance","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Siddharth as Cameo appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Lion King","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ayalaan","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Santosh Subramaniam","2008","Actor","","0f883553-1bf3-4fe7-83c0-a119cfe58e0d","Santosh Subramaniam","2008","Not attributed","100","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","NH4","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Naalo Okkadu","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Strawberry","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Taramani","2017","Actor","","d021b36e-f35e-4c0e-8225-597bb0ac497c","Taramani","2017","Not attributed","100","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Simba","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Arivum Anbum","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lover","2024","Actor","","19a3b00d-994f-4df4-8c92-630db9061489","Lover","2024","Not attributed","100","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Paranthu Po","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Siddharth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","International Tamil Film Awards","2004","Best New Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Siddharth as Best New Actor"
"⚠️ EXISTS_NOT_ATTRIBUTED","South Indian International Movie Awards","2015","Best Actor – Tamil","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Siddharth as Best Actor – Tamil"
"⚠️ EXISTS_NOT_ATTRIBUTED","Norway Tamil Film Festival Awards 2015","2015","Best Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Siddharth as Best Actor"
"✓ ATTRIBUTED","Boys","2003","Actor","","a92b92b3-4197-4b08-9544-12c21a92c01b","Boys","2003","Hero: Siddharth","100","","None"
"✓ ATTRIBUTED","Nuvvostanante Nenoddantana","2005","Actor","","94631ad2-6dbe-4c36-a202-d979f1f86523","Nuvvostanante Nenoddantana","2005","Hero: Siddharth","100","","None"
"✓ ATTRIBUTED","Chukkallo Chandrudu","2006","Also writer","","86f4d8f7-e3eb-471d-aea6-b082de34f3d7","Chukkallo Chandrudu","2006","Hero: Siddharth","100","","None"
"✓ ATTRIBUTED","Konchem Ishtam Konchem Kashtam","2009","Actor","","915a3234-1631-4d3b-b911-d68e1fd840c5","Konchem Ishtam Konchem Kashtam","2009","Hero: Siddharth","100","","None"
