"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Master","1997","Actor","","0cbe4560-c6e4-4fa1-ae81-e48698c6aac7","Master","1997","Not attributed","100","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Padutha Theeyaga","1998","Actor","","d5580ea4-9e91-4425-be5e-a492355a3a17","Padutha Theeyaga","1998","Not attributed","100","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Film Nagar","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Priya Nestama","2002","Actor","","5d6c429e-3f14-4cf6-90e0-eee6a6af0197","Priya Nestama","2002","Not attributed","100","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ottesi Cheputunna","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ammayi Bagundi","2004","Actor","","c9dc3f56-362b-4c62-96ea-aec29c2e598b","Ammayi Bagundi","2004","Not attributed","100","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mr. Errababu","2005","Actor","","e0a71f35-413c-4ee3-8742-83461ba92635","Mr. Errababu","2005","Not attributed","100","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Seetharamudu","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aadivaram Adavallaku Selavu Kavali","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pellikani Prasad","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Masth","2009","Actor","","098d8806-fc95-480a-8304-35d65f3a15b1","Masth","2009","Not attributed","100","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aakasa Ramanna","2010","Actor","","27f39397-c93c-4666-9f0e-68da6c8332d9","Aakasa Ramanna","2010","Not attributed","100","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lokame Kothaga","2011","Actor","","42186bca-a82e-4476-bd39-809162f248bd","Lokame Kothaga","2011","Not attributed","100","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ayyare","2012","Actor","","80f6f0bf-7c43-469b-9a62-97eb930e2e70","Ayyare","2012","Not attributed","100","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dasa Tirigindi","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dorakadu","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Seesa","2016","Actor","","cc7d99c5-b85a-465b-84fe-9f5966bb4c22","Seesa","2016","Not attributed","100","cast","Add Sivaji Sontineni as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Court","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Sivaji Sontineni as Cast Member"
