"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ingane Oru Nilapakshi","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pammal K. Sambandam","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vaseegara","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aayudham","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pirivom Santhippom","2008","Won, Tamil Nadu State Film Award for Best Actress","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Sneha as Won, Tamil Nadu State Film Award for Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Achchamundu! Achchamundu!","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Goa","2010","Actor","","2997fec0-5b50-45c0-80c9-4f861fa419d9","Goa","2010","Not attributed","100","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhavani","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Oru Kal Oru Kannadi","2012","Cameo","","1a042487-3cee-4ff5-9f46-c877978bce13","Oru Kal Oru Kannadi","2012","Not attributed","100","cast","Add Sneha as Cameo"
"⚠️ EXISTS_NOT_ATTRIBUTED","Haridas","2013","Nominated, Filmfare Award for Best Actress – Tamil","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Sneha as Nominated, Filmfare Award for Best Actress – Tamil"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pannaiyarum Padminiyum","2014","Cameo","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Sneha as Cameo"
"⚠️ EXISTS_NOT_ATTRIBUTED","S/O Satyamurthy","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rajadhi Raja","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pattas","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Christopher","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Greatest of All Time","2024","Actor","","9ac376b5-e0c1-44f7-97f8-12a720dfa2d3","The Greatest of All Time","2024","Not attributed","100","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dragon","2025","Cameo","","ef6a1926-f70f-4747-a825-8f0cffc96149","Dragon","2025","Not attributed","100","cast","Add Sneha as Cameo"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mookuthi Amman 2","2026","Actor","","ddd938c2-458a-4f51-8389-74a5d7e12c0d","Ponton's Heart","2025","Not attributed","90","cast","Add Sneha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dance Jodi Dance","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Sneha as Cast Member"
"✓ ATTRIBUTED","Priyamaina Neeku","2001","Actor","","cedcba47-76d2-479c-9e6d-ddb08629e380","Priyamaina Neeku","2001","Heroine: Sneha","100","","None"
"✓ ATTRIBUTED","Vasool Raja MBBS","2004","Actor","","af76b126-ffa9-4fc3-bbfd-06e2eb6983df","Vasool Raja MBBS","2004","Not attributed","100","","None"
"✓ ATTRIBUTED","Sri Ramadasu","2006","Actor","","da0542f2-146a-4bdc-9d77-5cab28e88c66","Sri Ramadasu","2006","Heroine: Sneha","100","","None"
"✓ ATTRIBUTED","Maharadhi","2007","Actor","","f8b57570-81e3-4568-8942-2b3cd03c63a5","Maharadhi","2007","Heroine: Sneha","100","","None"
"✓ ATTRIBUTED","The Great Father","2017","Actor","","72ef25a0-fe77-490a-9ed1-3b11faad12c0","The Great Father","2017","Not attributed","100","","None"
"✓ ATTRIBUTED","Vinaya Vidheya Rama","2019","Actor","","d03fce77-7262-4c89-94e1-c10953446b5d","Vinaya Vidheya Rama","2019","Not attributed","100","","None"
