"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kotha Jeevithalu","1981","Actor","","c8eb4881-14e6-44e3-8a81-ca48ee2692a1","Kotha Jeevithalu","1981","Not attributed","100","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bahudoorapu Batasari","1983","Actor","","fe544d6b-89a3-4e43-a05d-6575c7cca1e7","Bahudoorapu Batasari","1983","Not attributed","100","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nirdhoshi","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kongumudi","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thene Manasulu","1987","Actor","","f85e93be-41d9-47a5-bc92-e561c6058fc7","Thene Manasulu","1987","Not attributed","100","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anna Chellelu","1988","Cameo","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Suhasini as Cameo"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mamathala Kovela","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yama Dharmaraju","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Akka Mogudu","1992","Actor","","a71fb883-c940-4399-a897-6f5a8209f940","Akka Mogudu","1992","Not attributed","100","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ratha Sarathi","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ooyala","1998","Actor","","9aeae04e-2235-4fcb-abad-87cec73af9d5","Ooyala","1998","Not attributed","100","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sakutumba Saparivaara Sametam","2000","Actor","","df2e5917-b8ac-4d45-882d-29f4b820b52b","Sakutumba Saparivaara Sametam","2000","Not attributed","100","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Seethakoka Chiluka","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sri Mahalakshmi","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sangamam","2008","Actor","","07b24362-35dc-44aa-870b-75b083ff8acf","Sangamam","2008","Not attributed","100","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Leader","2010","Leader","","3011df2a-babd-4cef-a6d2-309902254c9c","Leader","2010","Not attributed","100","cast","Add Suhasini as Leader"
"⚠️ EXISTS_NOT_ATTRIBUTED","Baadshah","2013","Actor","","79925213-1186-4cfa-85f7-b1c4765f59d5","Baadshah","2013","Not attributed","100","cast","Add Suhasini as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Legend","2014","Cameo","","4fced10f-d9a3-4286-b64c-64cb4326d054","Legend","2014","Not attributed","100","cast","Add Suhasini as Cameo"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yatra","2019","Actor","","0969f0c7-0212-47ab-a295-94e850d24f42","Yatra","2019","Not attributed","100","cast","Add Suhasini as Cast Member"
