"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Telugu","1990","Nandi Award for Best Child Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Tarun as Nandi Award for Best Child Actor"
"⚠️ EXISTS_NOT_ATTRIBUTED","Meera","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Tarun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pillalu Diddina Kapuram","1993","Dual Role; Nandi Award for Best Child Actor","","23aa28d4-3ff3-4b27-a4b2-f9079b0eff63","Pillalu Diddina Kapuram","1993","Not attributed","100","cast","Add Tarun as Dual Role; Nandi Award for Best Child Actor"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vijayaramaraju","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Tarun as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anukoni Athidhi","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Tarun as Cast Member"
"✓ ATTRIBUTED","Thalapathi","1991","Cameo appearance","","f0025897-0291-41e4-ba65-c73296664c53","Thalapathi","1991","Not attributed","100","","None"
"✓ ATTRIBUTED","Vajram","1995","Actor","","34dc1f1f-6fd4-4dcd-a522-a2db63b98ed3","Vajram","1995","Not attributed","100","","None"
"✓ ATTRIBUTED","Nuvve Kavali","2000","Actor","","087fe5c9-2ac3-4c9a-9e0b-8035057e8763","Nuvve Kavali","2000","Hero: Tarun","100","","None"
"✓ ATTRIBUTED","Priyamaina Neeku","2001","Actor","","cedcba47-76d2-479c-9e6d-ddb08629e380","Priyamaina Neeku","2001","Hero: Tarun","100","","None"
"✓ ATTRIBUTED","Nuvvu Leka Nenu Lenu","2002","Actor","","041bfcd8-73c5-4ac5-9a1c-bda53f00c539","Nuvvu Leka Nenu Lenu","2002","Hero: Tarun","100","","None"
"✓ ATTRIBUTED","Ninne Ishtapaddanu","2003","Actor","","fd4ee2cc-dfb5-440b-8372-dc8428586e60","Ninne Ishtapaddanu","2003","Hero: Tarun","100","","None"
"✓ ATTRIBUTED","Sakhiya","2004","Actor","","50c4fbcf-abd4-43b7-adc6-e2775be24b0a","Sakhiya","2004","Hero: Tarun Kumar, tarun","100","","None"
"✓ ATTRIBUTED","Soggadu","2005","Actor","","f9520f22-bdfd-41f8-9969-886ce56eb43e","Soggadu","2005","Hero: Tarun","100","","None"
"✓ ATTRIBUTED","Nava Vasantham","2007","Actor","","90324245-7f05-498d-ad97-05bb2554a497","Nava Vasantham","2007","Hero: Tarun Kumar, tarun","100","","None"
"✓ ATTRIBUTED","Bhale Dongalu","2008","Actor","","955bd5e6-d742-48b5-9d98-15d91d1593c9","Bhale Dongalu","2008","Hero: Tarun","100","","None"
"✓ ATTRIBUTED","Sasirekha Parinayam","2009","Actor","","ddf213ab-a02b-41f1-a06b-fe68383e3e7e","Sasirekha Parinayam","2009","Hero: Tarun","100","","None"
"✓ ATTRIBUTED","Chukkalanti Ammayi Chakkanaina Abbayi","2013","Actor","","19eaa618-d1c2-471e-9a6c-3bb451a33ed9","Chukkalanti Ammayi Chakkanaina Abbayi","2013","Hero: Tarun Kumar, tarun","100","","None"
"✓ ATTRIBUTED","Yuddham","2014","Actor","","3a0f6ed7-2dd0-4de9-81ff-64d918fa08ce","Yuddham","2014","Not attributed","100","","None"
"✓ ATTRIBUTED","Idi Naa Love Story","2018","Actor","","bf88800b-be3e-476a-9aee-25cdf374abef","Idi Naa Love Story","2018","Hero: Tarun","100","","None"
