"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chitram","2000","Actor","","27880fd4-e736-404a-a50e-d90f8aa38df7","Chitram","2000","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Family Circus","2001","Actor","","1b48bf39-b6ca-498a-b8e6-3821a6b38db8","Family Circus","2001","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pitaah","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yeh Dil","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jai","2004","Actor","","78d71255-277d-4d6c-a9b2-60beac012c97","Jai","2004","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dhairyam","2005","Actor","","87d53594-018a-4df4-bdb3-4ba32aff5d13","Dhairyam","2005","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Oka V Chitram","2006","Actor","","0071cab7-0b61-4c46-b542-543c513359b5","Oka V Chitram","2006","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lakshmi Kalyanam","2007","Actor","","d26f3aa8-78d4-40fc-948e-0c8f8e70123f","Lakshmi Kalyanam","2007","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Keka","2008","Actor","","91724650-8523-4fd1-bd63-d1ee9834d4ac","Keka","2008","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Neeku Naaku Dash Dash","2012","Actor","","5ccc129e-f65b-4bba-848e-51389e5a0a96","Neeku Naaku Dash Dash","2012","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Veyyi Abaddalu","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hora Hori","2015","Actor","","104ce1ca-f17b-4b4b-a987-92d41841fef9","Hora Hori","2016","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nene Raju Nene Mantri","2017","Actor","","806e4c94-4ff8-4967-9095-6ed546f8955c","Nene Raju Nene Mantri","2017","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sita","2019","Actor","","5a4bcf6a-885f-46a4-b7bd-4c693f382988","Sita","2019","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ahimsa","2023","Actor","","b04c5b34-982a-4995-b393-53231cd7b3ab","Ahimsa","2023","Director: Teja","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raat","1992","Debut as cinematographer","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Teja as Debut as cinematographer"
"⚠️ EXISTS_NOT_ATTRIBUTED","Money","1993","Actor","","eb5eb849-ccc3-4cf9-8c1d-5c5398c1b52e","Money","1993","Not attributed","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Theerpu","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Don","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rakshak","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vishwavidhaata","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ghulam","1998","Actor","","e329f6d7-c201-41ed-b859-9a44460f3026","Ghulam","1998","Not attributed","100","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sangharsh","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Teja as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jis Desh Mein Ganga Rehta Hain","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Teja as Cast Member"
