"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bommalaramaram","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Thiruveer Reddy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ghazi","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Thiruveer Reddy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ye Mantram Vesave","2017","Actor","","bee3ef02-4690-4ad0-b08a-db0694c1fde0","Ye Mantram Vesave","2018","Not attributed","100","cast","Add Thiruveer Reddy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Subhalekha + Lu","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Thiruveer Reddy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tuck Jagadish","2021","Actor","","663b1b3f-1364-42e0-ac58-65c38d8e7393","Tuck Jagadish","2021","Not attributed","100","cast","Add Thiruveer Reddy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aha","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Thiruveer Reddy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kumari Srimathi","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Thiruveer Reddy as Cast Member"
"✓ ATTRIBUTED","Mallesham","2019","Actor","","b292fc9e-d08c-40dc-b010-68f9b9376c86","Mallesham","2019","Not attributed","100","","None"
"✓ ATTRIBUTED","Palasa 1978","2020","Nominated – SIIMA Award for Best Supporting Actor – TeluguNominated – Filmfare Award for Best Supporting Actor – Telugu","","ab53d2e3-6d65-4f96-bff0-54a7f6a5aa81","Palasa 1978","2020","Not attributed","100","","None"
"✓ ATTRIBUTED","Masooda","2022","Actor","","0c25a83a-c0a9-469b-99ca-568d55a36023","Masooda","2022","Hero: Thiruveer Reddy","100","","None"
"✓ ATTRIBUTED","Pareshan","2023","Actor","","30caae8c-c9b0-4a62-bb77-f8521a58db95","Pareshan","2023","Hero: Thiruveer Reddy","100","","None"
"✓ ATTRIBUTED","The Great Pre-Wedding Show","2025","Actor","","051530d9-c140-4547-9596-36f84aaea8a9","The Great Pre-Wedding Show","2025","Hero: Thiruveer Reddy","100","","None"
