"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bharya","1967","Actor","","49cdac48-3e3c-48b1-9327-42077118e9c7","Bharya","1968","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Arangetram","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chillarakottu Chittamma","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Seetamalakshmi","1978","Actor","","9f0d21c6-2f3a-48b8-8f9a-e8375b56dcf6","Seetamalakshmi","1978","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Iddaru Kodukulu","1982","Actor","","ae61aff7-9ab6-45d9-86df-5f367d647f21","Iddaru Kodukulu","1982","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maga Maharaju","1983","Actor","","ae8261b8-1f1d-4050-a029-95091d5e14c6","Maga Maharaju","1983","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anubandham","1984","Actor","","7518ec2e-c620-4521-b1fa-6b54fe735ef8","Anubandham","1984","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Preminchu Pelladu","1985","Actor","","dfa651e4-7460-431e-8ccb-e01b7b3375cd","Preminchu Pelladu","1985","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Driver Babu","1986","Actor","","a2ad8d02-8b6d-43da-914b-4027116d42cd","Driver Babu","1986","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dhoorathu Pachai","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kanchana Seetha","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Alajadi","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Amma Rajinama","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Killer","1992","Actor","","3b0f11af-7a45-4776-86a2-8866e293b745","Killer","1992","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kannayya Kittayya","1993","Actor","","328f4de7-2ebe-49f7-b471-d2dc8affec8c","Kannayya Kittayya","1993","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mahanadhi","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raithu Bharatam","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Excuse Me","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yashwanth","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chellata","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Poojari","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Moggina Manasu","2008","Actor","","f1355d50-a7fb-44fc-af70-1059bd81010a","Moggina Manasu","2008","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sasirekha Parinayam","2009","Actor","","ddf213ab-a02b-41f1-a06b-fe68383e3e7e","Sasirekha Parinayam","2009","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ullasa Utsaha","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pillaiyar Theru Kadaisi Veedu","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rajadhani","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sthreeshakthi","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pannaiyarum Padminiyum","2014","Tamil Nadu State Film Award for Best Supporting Actress","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Tulasi as Tamil Nadu State Film Award for Best Supporting Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aambala","2015","Actor","","8ec45e4d-77f6-46dd-b8b7-cb53f194d966","Aambala","2015","Not attributed","100","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ammayitho Abbayi","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nimir","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Naadodigal 2","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Tulasi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Veeramae Vaagai Soodum","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Tulasi as Cast Member"
