"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manchupallaki","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sitaara","1984","Actor","","b017372a-f74f-4ac7-bb6e-568500e77ce3","Sitaara","1984","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anveshana","1985","Actor","","606de99a-0f62-40c6-88a6-c8bd500f3380","Anveshana","1985","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aalaapana","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lawyer Suhasini","1987","Actor","","65455151-b2d8-48f3-b2c4-4b6faaba3360","Lawyer Suhasini","1987","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chettu Kinda Pleader","1989","Chettu Kinda Pleader","","b20f3909-748d-4966-b8d6-6ad42eaab7b6","Chettu Kinda Pleader","1989","Not attributed","100","cast","Add Vamsy as Chettu Kinda Pleader"
"⚠️ EXISTS_NOT_ATTRIBUTED","April 1st Vidudhala","1991","Actor","","3ed6d83f-d8eb-4911-b868-dd7c6ce5d813","April 1st Vidudhala","1991","Director: Vamsy","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Detective Narada","1992","Actor","","c4bce2fc-95c5-4f36-9798-df0632d258ac","Detective Narada","1992","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Joker","1993","Actor","","5c23c93a-ee68-4081-9687-fa516e0b6304","Joker","1993","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Prema & Co","1994","Actor","","c04d2497-a493-4952-a916-c12597e5ed09","Prema & Co.","1994","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lingababu Love Story","1995","Actor","","25833c13-121a-4dbe-8519-9f3cf145dad1","Lingababu Love Story","1995","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Wife of V. Varaprasad","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Avunu Valliddaru Ista Paddaru","2002","Actor","","fc33e50b-a9b5-4056-aea0-82e850c00c8e","Avunu Valliddaru Ista Paddaru!","2002","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Donga Ramudu and Party","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Konchem Touchlo Vunte Cheputanu","2004","Actor","","59064097-bd95-4ed8-afc4-3a947f8ae72a","Konchem Touchlo Vunte Cheputanu","2004","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anumanaspadam","2007","Actor","","2c0a7308-dbda-48dc-93c1-ca5db6456e0e","Anumanaspadam","2007","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gopi Gopika Godavari","2009","Actor","","0030b677-e00f-4df1-ae79-03359d888d98","Gopi Gopika Godavari","2009","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Saradaga Kasepu","2010","Actor","","c4aa68c5-02c3-4d05-a17d-65e942a5ee1c","Saradaga Kasepu","2010","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vennello Hai Hai","2016","Actor","","d6040921-da55-464a-a8c1-d59cdf43caa1","Vennello Hai Hai","2016","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Fashion Designer s/o Ladies Tailor","2017","Actor","","6cbd7110-5445-409f-884a-15553460e98d","Fashion Designer S/o Ladies Tailor","2017","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sneha","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lady Detective","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Edureeta","1977","Actor","","377beb9b-be1e-4146-b868-0112030b5fbe","Edureeta","1977","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vichitra Jeevitham","1978","Actor","","eb614be0-e37d-4630-8dfb-95c828b21f91","Vichitra Jeevitham","1978","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tayaramma Bangarayya","1979","Actor","","85ab0d14-5d4c-4765-b96f-78a8e07ac658","Tayaramma Bangarayya","1979","Not attributed","100","cast","Add Vamsy as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pagadala Padava","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add Vamsy as Cast Member"
