"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aha Naa Pellanta","2011","Actor","","cc65184c-7240-4e89-9c71-62592dc77b42","Aha Naa Pellanta","2011","Director: Veerabhadram","100","cast","Add Veerabhadram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Poola Rangadu","2012","Actor","","d3f7d62e-13ba-47b2-846d-5fb8e7837ee3","Poola Rangadu","2012","Not attributed","100","cast","Add Veerabhadram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhai","2013","Actor","","8082a748-ebad-447b-988e-f935c150499c","Bhai","2013","Director: Veerabhadram Chowdary","100","cast","Add Veerabhadram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chuttalabbai","2016","Actor","","b0bb7a2b-b8e0-4ec0-9ba1-75612948ba19","Chuttalabbai","2016","Director: Veerabhadram","100","cast","Add Veerabhadram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nenu Premisthunnanu","1997","Co-director","","e07b4c84-986c-4c9a-813f-04266996e108","Nenu Premisthunnanu","1998","Not attributed","100","cast","Add Veerabhadram as Co-director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maavidaakulu","1998","Assistant-Director","","6ab5178d-f94d-4b6e-b24f-5df11eb2f434","Maavidaakulu","1998","Not attributed","100","cast","Add Veerabhadram as Assistant-Director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kanyadhanam","1998","Co-director","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Veerabhadram as Co-director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chala Bagundi","2000","Actor","","5ba0984a-1888-45a3-93fd-a8a249566e73","Chala Bagundi","2000","Not attributed","100","cast","Add Veerabhadram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nuvvu Nenu","2001","Actor","","0dd7df3f-317b-41d6-ba8f-81bcba91d657","Nuvvu Nenu","2001","Not attributed","100","cast","Add Veerabhadram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jayam","2002","Actor","","35ea9e23-dd36-4b93-b4f7-e7eecd2c5c2e","Jayam","2002","Not attributed","100","cast","Add Veerabhadram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nijam","2003","Actor","","fe428cbd-037b-4b14-a599-62f6202a7466","Nijam","2003","Not attributed","100","cast","Add Veerabhadram as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shankar Dada M.B.B.S.","2004","2nd unit Director","","b77b0004-b819-40c8-8c16-f9abb39693a2","Shankar Dada M.B.B.S.","2004","Not attributed","100","cast","Add Veerabhadram as 2nd unit Director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Danger","2005","Co-director","","70978394-f410-48e3-89d0-2b578b1c14ef","Danger","2005","Not attributed","100","cast","Add Veerabhadram as Co-director"
"⚠️ EXISTS_NOT_ATTRIBUTED","Happy","2006","2nd unit director","","5288f192-3206-4f36-a4f3-7e2668bc7ec9","Happy","2006","Not attributed","100","cast","Add Veerabhadram as 2nd unit director"
