"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","English","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Vikram Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ishtam","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Vikram Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Alai","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Vikram Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","13B","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Vikram Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ishq","2012","Actor","","cd987ed4-8e46-45ab-8f8d-e432b13bc39e","Ishq","2012","Director: Vikram Kumar","100","cast","Add Vikram Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manam","2014","Actor","","641726c5-51d0-4a20-8362-cd6c4c24edb0","Manam","2014","Not attributed","100","cast","Add Vikram Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","24","2016","Actor","","ff83f874-93d2-48de-8590-9a0710e48e25","24","2016","Director: Vikram Kumar","100","cast","Add Vikram Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hello","2017","Actor","","d6319a22-c5a6-4c59-8876-39a18f0977bd","Hello!","2017","Director: Vikram Kumar","100","cast","Add Vikram Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thank You","2022","Actor","","46cf36de-fde1-42ef-b6af-befdea729037","Thank You","2022","Director: Vikram Kumar","100","cast","Add Vikram Kumar as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dhootha","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Vikram Kumar as Cast Member"
"✓ ATTRIBUTED","Nani's Gang Leader","2019","Nani's Gang Leader","","b7999d4a-4aef-4faa-b3fd-16b79b135135","Nani's Gang Leader","2019","Director: Vikram Kumar","100","","None"
