"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Idanilangal","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nakhakshathangal","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Oridathu","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aranyakam","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mahayanam","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lal Salam","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Champakulam Thachan","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gazal","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manathe Vellitheru","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thakshashila","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kala Pani","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mazhavillu","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Darling Darling","2000","Actor","","fd063968-fd90-4f4e-8aaf-217e33d9370e","Darling Darling","2001","Not attributed","100","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Perumazhakkalam","2004","Guest Appearance","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Vineeth as Guest Appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","Alice in Wonderland","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Moonnamathoral","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rathri Mazha","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mizhikal Sakshi","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","2 Harihar Nagar","2009","Actor","","12598c25-cf39-4df1-8fae-0c0f9d396b5c","2 Harihar Nagar","2009","Not attributed","100","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Neelambari","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Munthiri Paadam","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bavuttiyude Namathil","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Breaking News Live","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Swapaanam","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pallikoodam","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kambhoji","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Panthu","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vaanku","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pachuvum Athbutha Vilakkum","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manorathangal","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dheeran","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Vineeth as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aavarampoo","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Vineeth as Cast Member"
