"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ragile Gundelu","1985","Actor","","044c8eff-8bbd-48ce-9a90-098828985982","Ragile Gundelu","1985","Not attributed","100","cast","Add Vishnu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Denikaina Ready","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Vishnu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Siva Shankar","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Vishnu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Singham 123","2015","Actor","","0d5e4f6f-adc7-437b-816f-534f7f5024c2","Singham 123","2015","Not attributed","100","cast","Add Vishnu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chadarangam","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Vishnu as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Son Of India","2022","Actor","","23e394bf-3cdd-403b-88d7-fc9b2014394f","Son of India","2022","Not attributed","100","cast","Add Vishnu as Cast Member"
"✓ ATTRIBUTED","Vishnu","2003","Actor","","8ca3d57b-615a-4a9f-b84f-8e9fe61e4035","Vishnu","2003","Hero: Vishnu Manchu, vishnu","100","","None"
"✓ ATTRIBUTED","Suryam","2004","Actor","","d0669561-43c3-4a61-acb8-15b049cf5a6b","Suryam","2004","Hero: Kota Srinivasa Rao, vishnu","100","","None"
"✓ ATTRIBUTED","Political Rowdy","2005","Cameo appearance","","d7c7d18a-2051-4acd-bc57-24fc518cc725","Political Rowdy","2005","Hero: Abbas, vishnu","100","","None"
"✓ ATTRIBUTED","Astram","2006","Actor","","50e86001-032a-49a5-91a4-a84a3c36e392","Astram","2006","Hero: Vishnu","100","","None"
"✓ ATTRIBUTED","Dhee","2007","Actor","","78ac1458-e63a-4c14-a5e4-6d2ef7910595","Dhee","2007","Hero: Vishnu Manchu","100","","None"
"✓ ATTRIBUTED","Krishnarjuna","2008","Actor","","c4ea2405-f254-4cf2-a508-654d49be3ea3","Krishnarjuna","2008","Hero: Manchu Vishnu","100","","None"
"✓ ATTRIBUTED","Saleem","2009","Actor","","0eaaf73f-be42-495a-8e06-8d51913bd1c3","Saleem","2009","Hero: Manchu Vishnu","100","","None"
"✓ ATTRIBUTED","Vastadu Naa Raju","2011","Actor","","e51ea8fa-7f3a-427c-8e23-0dd12a1bba7a","Vastadu Naa Raju","2011","Hero: Vishnu Manchu, vishnu","100","","None"
"✓ ATTRIBUTED","Doosukeltha","2013","Actor","","5ebad324-217b-451e-bf24-c6bbde1a7f46","Doosukeltha","2013","Hero: Vishnu Manchu, vishnu","100","","None"
"✓ ATTRIBUTED","Pandavulu Pandavulu Tummeda","2014","Actor","","57f88672-024d-4e34-b575-1fea135d96a7","Pandavulu Pandavulu Tummeda","2014","Hero: Manchu Manoj, mohan babu, vishnu","100","","None"
"✓ ATTRIBUTED","Dynamite","2015","Actor","","a9efebac-d20a-4670-9666-57f57e7a8aa8","Dynamite","2015","Hero: Vishnu Manchu, vishnu","100","","None"
"✓ ATTRIBUTED","Eedo Rakam Aado Rakam","2016","Actor","","3e91b9f9-de12-46ea-a921-3b086d9282a7","Eedo Rakam Aado Rakam","2016","Hero: Vishnu Manchu, vishnu","100","","None"
"✓ ATTRIBUTED","Luckunnodu","2017","Actor","","8224e268-60a7-41a4-88ed-0633596c046c","Luckunnodu","2017","Hero: Vishnu Manchu, vishnu","100","","None"
"✓ ATTRIBUTED","Gayatri","2018","Actor","","d39489d8-13ff-4172-bafd-22c8e0403f0b","Gayatri","2018","Hero: Mohan Babu, vishnu","100","","None"
"✓ ATTRIBUTED","Voter","2019","Actor","","0fb89070-82fe-4b1b-a55e-a4d7fe9989a8","Voter","2019","Hero: Manchu Vishnu, vishnu","100","","None"
"✓ ATTRIBUTED","Mosagallu","2021","Actor","","8d5051df-f8e9-4277-b7aa-a5d5500db491","Mosagallu","2021","Hero: Vishnu Manchu, vishnu","100","","None"
"✓ ATTRIBUTED","Ginna","2022","Actor","","ca8c5d61-9533-41b3-bcfe-fcd15a8e390f","Ginna","2022","Hero: Vishnu Manchu, vishnu","100","","None"
"✓ ATTRIBUTED","Kannappa","2025","Actor","","eb082268-e3bc-4fd3-856d-223803ff01c5","Kannappa","2025","Hero: Vishnu Manchu, vishnu","100","","None"
"✓ ATTRIBUTED","Current Theega","2014","Actor","","cc59a075-5b1a-48de-944c-aa695909fc27","Current Theega","2014","Not attributed","100","","None"
