"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Best Actor – Telugu","1982","Best Actor – Telugu","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Chiranjeevi as Best Actor – Telugu"
"⚠️ EXISTS_NOT_ATTRIBUTED","Muta Mestri","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Chiranjeevi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Special Award – South","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Chiranjeevi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lifetime Achievement Award – South","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Chiranjeevi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Best Actor – Telugu","2023","Best Actor – Telugu","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Chiranjeevi as Best Actor – Telugu"
"⚠️ EXISTS_NOT_ATTRIBUTED","Best Actor – Telugu","2024","Best Actor – Telugu","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Chiranjeevi as Best Actor – Telugu"
"⚠️ EXISTS_NOT_ATTRIBUTED","Best Actor","1987","Best Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Chiranjeevi as Best Actor"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raghupathi Venkaiah Award","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Chiranjeevi as Cast Member"
"✓ ATTRIBUTED","Vijetha","1985","Actor","","7b812e0c-b4dc-4a2b-b1f1-1610faef247b","Vijetha","1985","Hero: Chiranjeevi","100","","None"
"✓ ATTRIBUTED","Aapadbandhavudu","1992","Actor","","58558d07-5a7b-44c2-a2f3-f9c613454295","Aapadbandhavudu","1992","Hero: Chiranjeevi","100","","None"
"✓ ATTRIBUTED","Sneham Kosam","1999","Actor","","eb064580-1df0-4771-b23c-72543235cc17","Sneham Kosam","1999","Hero: Chiranjeevi","100","","None"
"✓ ATTRIBUTED","Indra","2002","Actor","","23dde789-3d07-4c10-b7be-13d9d425639d","Indra","2002","Hero: Chiranjeevi","100","","None"
"✓ ATTRIBUTED","Shankar Dada MBBS","2004","Actor","","b77b0004-b819-40c8-8c16-f9abb39693a2","Shankar Dada M.B.B.S.","2004","Hero: Chiranjeevi","100","","None"
