"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bondam Pelli","1940","Actor","","67bc56cf-06f1-4f3d-9b92-715f20768276","Bondam Pelli","1940","Not attributed","100","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dakshayagnam","1941","Actor","","9a8278e5-d18b-4b46-8b2a-5039967bd7fe","Dakshayagnam","1941","Not attributed","100","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bhakta Prahlada","1942","Actor","","cbb1102c-f563-4fd1-b35b-6b3f3c0fea8a","Bhakta Prahlada","1942","Not attributed","100","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maaya Rambha","1950","Actor","","0cfbe97a-15e5-41ee-b5b2-3aba7a90658c","Maaya Rambha","1950","Not attributed","100","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Modati Rathri","1950","Actor","","62795fca-f154-4257-868b-a9219d61b4e2","Mana Desam","1949","Not attributed","90","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lakshmamma","1950","Actor","","fa59d593-b90c-4ae8-a076-8aca52496c22","Lakshmamma","1950","Not attributed","100","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sri Lakshmamma Katha","1950","Actor","","7b1bef02-e417-48ec-b127-4afe937d5a82","Sri Lakshmamma Katha","1950","Not attributed","100","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Swapna Sundari","1950","Actor","","a1412f2c-167d-429a-90fc-f86ebf9cb728","Swapna Sundari","1950","Not attributed","100","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anni","1951","Actor","","2c5de571-db37-49d4-b2fa-e6a837484c3f","Vaali – Sugreeva","1950","Not attributed","90","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Deeksha","1951","Actor","","ce54aacb-fca0-4d9b-b2a6-1f9e3f835dce","Deeksha","1951","Not attributed","100","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Niraparadhi","1951","Actor","","2c5de571-db37-49d4-b2fa-e6a837484c3f","Vaali – Sugreeva","1950","Not attributed","90","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nirdoshi","1951","Actor","","03e44d05-0355-437b-bab8-1ffa84f33898","Nirdoshi","1951","Not attributed","100","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manavathi","1952","Actor","","39b3bed1-4033-4d8f-8670-0b3950d785db","Manavathi","1952","Not attributed","100","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Naa Chellelu","1953","Actor","","b1691aa1-a030-491d-9734-f2d947f54d94","Naa Chellelu","1953","Not attributed","100","cast","Add G Varalakshmi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Petra Thai","1953","Actor","","f9831ee1-4c96-4625-bbdd-ce69802b46a0","Daasi","1952","Not attributed","90","cast","Add G Varalakshmi as Cast Member"
