"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tujhe Meri Kasam","2003","Actor","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Masti","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Happy","2006","Actor","","5288f192-3206-4f36-a4f3-7e2668bc7ec9","Happy","2006","Not attributed","100","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chance Pe Dance","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tere Naal Love Ho Gaya","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jai Ho","2014","Cameo appearance","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Genelia D'Souza as Cameo appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","Force 2","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mauli","2018","Cameo; also producer","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Genelia D'Souza as Cameo; also producer"
"⚠️ EXISTS_NOT_ATTRIBUTED","It's My Life","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mister Mummy","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Trial Period","2023","Actor","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raja Shivaji","2026","Also producer; Post-production","","ddd938c2-458a-4f51-8389-74a5d7e12c0d","Ponton's Heart","2025","Not attributed","90","cast","Add Genelia D'Souza as Also producer; Post-production"
"⚠️ EXISTS_NOT_ATTRIBUTED","Big Switch","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ladies vs Gentlemen","2020","Actor","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Screen Awards","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Stardust Awards","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nandi Awards","2007","Special Jury – Best Actress","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Genelia D'Souza as Special Jury – Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards South","2008","Best Actress – Telugu","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Genelia D'Souza as Best Actress – Telugu"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vijay Awards","2009","Best Actress","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Genelia D'Souza as Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nandi Awards","2010","Special Jury – Best Actress","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Genelia D'Souza as Special Jury – Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Asiavision Awards","2012","Best Actress","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Genelia D'Souza as Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","International Indian Film Academy Awards","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Faster Fene","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lokmat Stylish Awards","2022","Actor","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards Marathi","2023","Best Actress – Marathi","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","cast","Add Genelia D'Souza as Best Actress – Marathi"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bollywood Hungama Style Icons","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Genelia D'Souza as Cast Member"
"✓ ATTRIBUTED","Naa Alludu","2005","Actor","","d0796878-a02e-412a-9df7-e9c118e96ba6","Naa Alludu","2005","Not attributed","100","","None"
"✓ ATTRIBUTED","Dhee","2007","Actor","","78ac1458-e63a-4c14-a5e4-6d2ef7910595","Dhee","2007","Heroine: Genelia D'Souza","100","","None"
"✓ ATTRIBUTED","Mr. Medhavi","2008","Actor","","ad8e815a-5ef9-4266-bd19-0e61ee53a339","Mr. Medhavi","2008","Heroine: Genelia D'Souza","100","","None"
"✓ ATTRIBUTED","Sasirekha Parinayam","2009","Actor","","ddf213ab-a02b-41f1-a06b-fe68383e3e7e","Sasirekha Parinayam","2009","Heroine: Genelia D'Souza","100","","None"
"✓ ATTRIBUTED","Urumi","2011","Actor","","6ec5a671-0426-4372-ba97-a2b0e9138c69","Urumi","2011","Not attributed","100","","None"
"✓ ATTRIBUTED","Sitaare Zameen Par","2025","Actor","","491c411e-d4de-4fd2-bf8d-b5b3910c270d","Sitaare Zameen Par","2025","Heroine: Genelia D'Souza","100","","None"
