"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Adrushta Deepudu","1950","Actor","","62795fca-f154-4257-868b-a9219d61b4e2","Mana Desam","1949","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pichi Pullayya","1953","Actor","","6ee5abdb-9a72-4df1-9f55-ac569a040ddc","Pichi Pullayya","1953","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thodu Dongalu","1954","Actor","","c446d8b6-0455-46e2-af22-0441c7f6ec91","Pratigna","1953","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chiranjeevulu","1956","Actor","","77002973-06bc-44da-9e13-8a134079786a","Cherapakura Chedevu","1955","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Suvarna Sundari","1957","Actor","","27353947-7da8-49f1-8cfa-d8688684073e","Amara Deepam","1956","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Illarikam","1959","Actor","","9bbd34ba-b703-42db-841e-14dc8f0ab985","Illarikam","1959","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Deepavali","1960","Actor","","9bbd34ba-b703-42db-841e-14dc8f0ab985","Illarikam","1959","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bharya Bharthalu","1961","Actor","","59be6310-4454-4dd0-9e5f-fc26a11673e4","Bharya Bharthalu","1961","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chaduvukunna Ammayilu","1963","Actor","","c0bbd297-176f-4174-9162-b3f56cd0d76d","Chaduvukunna Ammayilu","1963","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aatmabalam","1964","Actor","","4bb10c58-fe7b-40ab-bba7-e5ca524d1247","Eedu Jodu","1963","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pandava Vanavasam","1965","Actor","","43dd19bb-47ea-4364-8f65-8e424d4ac215","Pandava Vanavasam","1965","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aastiparulu","1966","Actor","","a13695c5-b413-40cc-b337-08e8b4372b80","Aastiparulu","1966","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kambojaraju Katha","1967","Actor","","6f7caf21-18f8-469d-85d6-4aeb367a99b7","Kambojaraju Katha","1967","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bandhipotu Dongalu","1968","Actor","","04c45d8f-ac8a-42a6-9743-21a306bfcd34","Bhuvana Sundari Katha","1967","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sri Rama Katha","1969","Actor","","678077b4-51fd-4f1f-abdf-4664d05ea5c0","Bhale Master","1968","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Agni Pareeksha","1970","Actor","","e6d54127-0157-44d3-b38f-a9003aa5d321","Agni Pareeksha","1970","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Amayakuralu","1971","Actor","","6e54a5cf-cc83-40fd-bf63-fad0e04fa1ec","Pachhani Samsaram","1970","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangaru Babu","1972","Actor","","e03770bd-017b-4788-94dd-011bb18caaa3","Bangaru Babu","1973","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jeevana Tarangalu","1973","Actor","","e6c35e83-0115-49a9-8b10-ec447ed0462c","Jeevana Tarangalu","1973","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Alluri Seetharama Raju","1974","Actor","","e6c35e83-0115-49a9-8b10-ec447ed0462c","Jeevana Tarangalu","1973","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Moguda Pellama","1975","Actor","","ff9fbecc-2c29-424a-a637-4007d060f170","Moguda? Pellama?","1975","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Padi Pantalu","1976","Actor","","8d10e24a-55aa-4286-a7b5-61ef264f2abe","Padi Pantalu","1976","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aalu Magalu","1977","Actor","","5dfb2ff0-7334-4532-9b67-28ef7bb5830d","Aalu Magalu","1977","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Indradhanussu","1978","Actor","","8a7cc5ac-3e1b-4759-a3f1-5fd996087fab","Indradhanussu","1978","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Agni Poolu","1981","Actor","","0d877358-25c7-4046-bd30-5aadef9bb73b","Agni Poolu","1981","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangaru Bhoomi","1982","Actor","","bce93471-98d5-4f89-ae68-ecd82a67fab3","Bangaru Bhoomi","1982","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sangharshana","1983","Actor","","aca1d60c-9410-4e5b-86f8-39ccc8a55da8","Sangharshana","1983","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raktha Sindhuram","1985","Actor","","c38e8a95-b67a-4100-9e35-ed2f5f8e05ff","Raktha Sindhuram","1985","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Driver Babu","1986","Actor","","a2ad8d02-8b6d-43da-914b-4027116d42cd","Driver Babu","1986","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pasivadi Pranam","1987","Actor","","b4484cd9-439e-46ce-ad78-d57f5c288f4a","Pasivadi Pranam","1987","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Marana Mrudangam","1988","Actor","","5fa6c9f0-2252-44e6-a2b0-09ac3822676d","Marana Mrudangam","1988","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","State Rowdy","1989","Actor","","b3d09390-3fa2-44de-82e4-eab227878f38","State Rowdy","1989","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mamasri","1990","Actor","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Brundavanam","1992","Actor","","65be9b54-3bc4-4e67-a7b0-75fa3e0e8556","Brundavanam","1992","Not attributed","100","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Muta Mesthri","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Gummadi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Govinda Govinda","1994","Actor","","b23ee9f4-39e4-439e-94f3-47c1ca9a2c47","Govinda Govinda","1993","Not attributed","100","cast","Add Gummadi as Cast Member"
