"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Navarathri","1966","Cameo appearance","","db9c6dd1-37bc-4a3c-b2a3-e4eebcb97213","Chandrahasa","1965","Not attributed","90","cast","Add Kanchana as Cameo appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pedda Koduku","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Maya Maschindra","1975","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kalanthakulu","1978","Actor","","fd94be4e-7575-4409-9303-ede2a5ecc6ae","Kalanthakulu","1978","Not attributed","100","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gadasari Atta Sogasari Kodalu","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Naa Desam","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anandha Bhairavi","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kirayi Mogudu","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Premayanam","1988","Actor","","e6656528-0437-4f7e-8ad3-550f4692e980","Premayanam","1988","Not attributed","100","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaadhalikka Neramillai","1964","Actor","","4bb10c58-fe7b-40ab-bba7-e5ca524d1247","Eedu Jodu","1963","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Veera Abhimanyu","1965","Actor","","91bf0fa8-49b9-4068-b125-544441217141","Sri Satyanarayana Mahathyam","1964","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Motor Sundaram Pillai","1966","Actor","","db9c6dd1-37bc-4a3c-b2a3-e4eebcb97213","Chandrahasa","1965","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Adhey Kangal","1967","Actor","","30c58bda-7730-4ca4-9e23-6777d9eed3ec","Chilaka Gorinka","1966","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Naalum Therindhvan","1968","Actor","","04c45d8f-ac8a-42a6-9743-21a306bfcd34","Bhuvana Sundari Katha","1967","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Noorandu Kaalam Vazgha","1970","Actor","","f6880242-fd8d-491d-a59f-7108cc7a4a26","Annadammulu","1969","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Avalukendru Or Manam","1971","Actor","","6e54a5cf-cc83-40fd-bf63-fad0e04fa1ec","Pachhani Samsaram","1970","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Naan Yen Pirandhen","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nyayam Ketkirom","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Engalakkum Kaadhal Varum","1975","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Avan Oru Sarithiram","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ninaivil Oru Malar","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lorry Driver Rajakannu","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Kanchana as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pagadai Panirendu","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Kanchana as Cast Member"
