"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Telugu","1951","Actor","","2c5de571-db37-49d4-b2fa-e6a837484c3f","Vaali – Sugreeva","1950","Not attributed","90","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Priyuralu","1952","Actor","","caa6c0db-66e8-4d30-ab19-15afae98ac99","Patala Bhairavi","1951","Not attributed","90","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thirumbi Paar","1953","Actor","","f9831ee1-4c96-4625-bbdd-ce69802b46a0","Daasi","1952","Not attributed","90","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bangaru Papa","1954","Actor","","c446d8b6-0455-46e2-af22-0441c7f6ec91","Pratigna","1953","Not attributed","90","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ilavelpu","1956","Actor","","0e7d1fac-5a2d-4055-bdfb-92b79351007c","Ilavelpu","1956","Not attributed","100","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vinayaka Chaviti","1957","Actor","","27353947-7da8-49f1-8cfa-d8688684073e","Amara Deepam","1956","Not attributed","90","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raja Nandini","1958","Actor","","d8e493cb-6661-4204-bfd7-40ee072a184b","Raja Nandini","1958","Not attributed","100","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sathi Sukanya","1959","Actor","","898aa1eb-8a64-401c-8c40-f193efb453e3","Bhookailas","1958","Not attributed","90","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sati Tulasi","1959","Actor","","898aa1eb-8a64-401c-8c40-f193efb453e3","Bhookailas","1958","Not attributed","90","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Deepavali","1960","Actor","","9bbd34ba-b703-42db-841e-14dc8f0ab985","Illarikam","1959","Not attributed","90","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bharya Bhartalu","1961","Actor","","da9fbdc9-f83d-4b53-97fa-0f9ce671d1b3","Sri Venkateswara Mahatyam","1960","Not attributed","90","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Antastulu","1965","Actor","","f21e0182-a1e2-4e7d-a211-f524456fed0f","Antastulu","1965","Not attributed","100","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sri Krishna Tulabharam","1966","Actor","","af50a553-cace-41c2-a546-a6b8264c77c8","Sri Krishna Tulabharam","1966","Not attributed","100","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sampoorna Ramayanam","1971","Actor","","44cf0044-e1ec-4bad-b907-c69b86b62621","Sampoorna Ramayanam","1971","Not attributed","100","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manavudu Danavudu","1972","Actor","","ad2ccf3a-4f38-44c6-a4c3-bfe43b883f58","Manavudu Danavudu","1972","Not attributed","100","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Neramu Siksha","1973","Actor","","fbc6c7ad-51e3-43be-986d-b6c119b3393b","Neramu Siksha","1973","Not attributed","100","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devadasu","1974","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","100","cast","Add Krishna Kumari as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yashoda Krishna","1975","Actor","","53a2271b-39ec-4239-981f-a27c860cf74c","Yashoda Krishna","1975","Not attributed","100","cast","Add Krishna Kumari as Cast Member"
