"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shanti Nilayam","1970","Actor","","f6880242-fd8d-491d-a59f-7108cc7a4a26","Annadammulu","1969","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rickshawkaran","1971","Actor","","6e54a5cf-cc83-40fd-bf63-fad0e04fa1ec","Pachhani Samsaram","1970","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shakthi Leelai","1972","Actor","","e39ae4c9-c386-40c2-a390-03f9c1990ab4","Sisindri Chittibabu","1971","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Amman Arul","1973","Actor","","74c0b113-bbbe-4c0b-9c1d-fff430aa76bc","Nijam Nirupista","1972","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raja Nagam","1974","Actor","","e6c35e83-0115-49a9-8b10-ec447ed0462c","Jeevana Tarangalu","1973","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ellorum Nallavare","1975","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chiranjeevi Rambabu","1977","Actor","","b56734f9-373b-4a7e-9fdc-85590dbafe22","Chiranjeevi Rambabu","1978","Not attributed","100","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pancharatnam","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Natchathiram","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Nenjangal","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Himam","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Papikondalu","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jeevana Ganga","1988","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","100","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaaval Poonaigal","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pudhu Vasantham","1990","Guest Appearance","","dd582a50-5b5a-4dfb-9208-622da11d3956","Sutradharulu","1989","Not attributed","90","cast","Add Manjula as Guest Appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","Abhimanyu","1991","Actor","","de7c0f9e-4e74-49d1-baed-d154aa001843","Agni Pravesam","1990","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Amaran","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jackpot","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sukham Sukhakaram","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Lucky Man","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Saradha Bullodu","1996","Actor","","1d7675e5-3006-4fcd-a1c9-545303813bf1","Amma Donga!","1995","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thambi Durai","1997","Actor","","4a8c511a-dee7-40d4-b8bc-ea0b1ece06b8","Topi Raja Sweety Roja","1996","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Naam Iruvar Namakku Iruvar","1998","Actor","","26a96d53-674b-4b80-aa33-f767ff13071b","Adhirindhi Guru","1997","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Suriya Paarvai","1999","Actor","","d75c4f63-8542-4216-8028-b19a8fd48b48","Auto Driver","1998","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Samudhiram","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Manjula as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","En Ullam Unnai Theduthey","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Manjula as Cast Member"
"✓ ATTRIBUTED","Mahakavi Kshetrayya","1976","Actor","","f3c4edf5-8f31-4054-97d0-85df112495d4","Mahakavi Kshetrayya","1976","Heroine: Manjula, kanchana","100","","None"
"✓ ATTRIBUTED","Siritanakke Savaal","1978","Actor","","1887748f-f339-4b00-a205-2949e8e3fb39","Maa Iddari Katha","1977","Heroine: Manjula, Jayachitra","90","","None"
"✓ ATTRIBUTED","Vasu","2002","Actor","","dace84e7-123f-48f1-b413-691f50862c94","Vasu","2002","Not attributed","100","","None"
