"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anwar","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hijack","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Agyaat","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thanks Maa","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kshay","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Aurangzeb","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bombay Talkies","2014","Actor","","b869ed94-2def-4964-b54f-8a0b08fe9602","Bombay Talkies","2013","Not attributed","100","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Qissa","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kammatti Paadam","2016","Actor","","e705ea03-ce9d-44c9-bada-f45529a6b922","Kammatti Paadam","2016","Not attributed","100","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tu Hai Mera Sunday","2017","Actor","","5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","Vangaveeti","2016","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Once Again","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","#Gadhvi","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Fairy Folk","2024","Actor","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Logout","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Powder","2010","Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Rasika Dugal as Cast Member"
