"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Malayalam","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Samyuktha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","July Kaatril","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Samyuktha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Vellam","2021","Actor","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Samyuktha as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Love Me","2024","Cameo appearance","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Samyuktha as Cameo appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kerala Film Critics Association Awards","2021","Best Actress","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Samyuktha as Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Best Actress – Telugu","2024","Best Actress – Telugu","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Samyuktha as Best Actress – Telugu"
"✓ ATTRIBUTED","Theevandi","2018","Actor","","31c7ddcc-7047-498b-a9e1-d757367147e3","Theevandi","2018","Heroine: Samyuktha","100","","None"
"✓ ATTRIBUTED","Bheemla Nayak","2022","Actor","","341937e5-04fc-4158-a266-19bb1df402cf","Bheemla Nayak","2022","Not attributed","100","","None"
"✓ ATTRIBUTED","Vaathi","2023","Actor","","783e3717-eff6-4210-ae79-c116a8001d2e","Vaathi","2023","Heroine: Samyuktha","100","","None"
"✓ ATTRIBUTED","Akhanda 2: Thaandavam","2025","Actor","","121b701e-10b2-43ec-8563-f24a1b49a36c","Akhanda 2: Thaandavam","2025","Not attributed","100","","None"
"✓ ATTRIBUTED","Nari Nari Naduma Murari","2026","Actor","","351c5961-f250-4e10-9f01-d29f934ed24b","Nari Nari Naduma Murari","2026","Heroine: Samyuktha","100","","None"
"✓ ATTRIBUTED","South Indian International Movie Awards","2023","Best Supporting Actress – Telugu","","2111caa0-9735-4117-babb-100976548d20","Coffee With Kadhal","2022","Not attributed","90","","None"
