"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Train","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Sayali Bhagat as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Good Luck","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Sayali Bhagat as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Newtonin Moondram Vidhi","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Sayali Bhagat as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Inkosaari","2010","Special appearance in the song ""He He Everybody""","","06547f8f-cc83-431a-8db8-020f5ee4c9bf","Inkosaari","2010","Not attributed","100","cast","Add Sayali Bhagat as Special appearance in the song ""He He Everybody"""
"⚠️ EXISTS_NOT_ATTRIBUTED","Impatient Vivek","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Sayali Bhagat as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ghost","2012","Actor","","b54d0fb2-e726-40e3-85e0-f9c1e10b948e","Nuvvila","2011","Not attributed","90","cast","Add Sayali Bhagat as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Rajdhani Express","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Sayali Bhagat as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yaariyan","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Sayali Bhagat as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Myself Pendu","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Sayali Bhagat as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kannada","2016","Actor","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Sayali Bhagat as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ami Vashi","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Sayali Bhagat as Cast Member"
