"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Iddaru Mitrulu","1961","Actor","","da9fbdc9-f83d-4b53-97fa-0f9ce671d1b3","Sri Venkateswara Mahatyam","1960","Not attributed","90","cast","Add Sharada as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Atma Bandhuvu","1962","Actor","","17ce5531-fdd0-4108-bee9-9e33e5a1ef18","Varalakshmi Vratham","1961","Not attributed","90","cast","Add Sharada as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shrimati","1966","Actor","","d0a38f38-16b2-40d6-88e7-b1cbc36b7de6","Shrimati","1966","Not attributed","100","cast","Add Sharada as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mana Samsaram","1968","Actor","","04c45d8f-ac8a-42a6-9743-21a306bfcd34","Bhuvana Sundari Katha","1967","Not attributed","90","cast","Add Sharada as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sita","1969","Actor","","678077b4-51fd-4f1f-abdf-4664d05ea5c0","Bhale Master","1968","Not attributed","90","cast","Add Sharada as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Urvasi (film)","1974","Actor","","e6c35e83-0115-49a9-8b10-ec447ed0462c","Jeevana Tarangalu","1973","Not attributed","90","cast","Add Sharada as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bharati (1975 film)","1975","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","90","cast","Add Sharada as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Suprabhatam","1976","Actor","","6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","1975","Not attributed","90","cast","Add Sharada as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Swarajyam","1983","Actor","","0afe7cbe-2917-4659-afdf-98e05ce43c8f","Swarajyam","1983","Not attributed","100","cast","Add Sharada as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Adavi Donga","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Sharada as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","15 August Rathri","1988","Actor","","e2d187d3-0fbd-42b8-8f2e-dbe2e10199c7","Sahasa Samrat","1987","Not attributed","90","cast","Add Sharada as Cast Member"
