"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Poombatta","1971","Actor","","6e54a5cf-cc83-40fd-bf63-fad0e04fa1ec","Pachhani Samsaram","1970","Not attributed","90","cast","Add Sridevi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Special Award","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Sridevi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards","2019","Actor","","1b896e38-4d93-4dfb-ab6a-5b80d76b2282","Devadas","2018","Not attributed","90","cast","Add Sridevi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards","2025","Actor","","4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34","Leela Vinodam","2024","Not attributed","90","cast","Add Sridevi as Cast Member"
"✓ ATTRIBUTED","Moondru Mudichu","1976","Best Actress – Tamil","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","16 Vayathinile","1977","Actor","","ed0ab163-a896-4242-b876-25151923d654","16 Vayathinile","1977","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Sigappu Rojakkal","1978","Best Actress – Tamil","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Karthika Deepam","1979","Actor","","c182c180-8777-433c-ad42-19951b660701","Karthika Deepam","1979","Heroine: Sridevi, Sharada","100","","None"
"✓ ATTRIBUTED","Varumayin Niram Sivappu","1980","Best Actress – Tamil","","f17e483a-1cad-41fd-a6ff-da60e6f5abfa","Varumayin Niram Sivappu","1980","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Moondram Pirai","1981","Best Actress","","4d17874d-a23e-41b3-85bd-7f265f0a5344","Moondram Pirai","1982","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Meendum Kokila","1982","Best Actress – Tamil","","8f5c74df-7b59-4f31-907a-52ef6c82e2e6","Meendum Kokila","1981","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Moondram Pirai","1983","Actor","","4d17874d-a23e-41b3-85bd-7f265f0a5344","Moondram Pirai","1982","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Sadma","1984","Best Actress","","80bd2e7f-10b5-4f95-8cd6-0679790883f1","Sadma","1983","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Mr. India","1987","Actor","","a7c40c10-67d4-4710-be22-174724820f69","Mr. India","1987","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Aakhari Poratam","1988","Best Actress – Telugu","","e10c0def-34f6-4021-8651-5b40ccb17c0b","Aakhari Poratam","1988","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","ChaalBaaz","1990","Best Actress","","03b317cc-8b87-45b0-92e5-ad1de7eb7c92","ChaalBaaz","1989","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Kshana Kshanam","1991","Actor","","69d9c5b0-d730-49ab-98e9-b49de57f251c","Kshana Kshanam","1991","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Lamhe","1992","Best Actress","","5a41344e-aa25-43aa-b84d-73bd8ebf817e","Lamhe","1991","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Khuda Gawah","1993","Actor","","e3cb9de7-3cee-42d6-8f65-f089dc752bd7","Khuda Gawah","1992","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Gumrah","1994","Actor","","ec4dc19f-6743-47c2-ab4c-1110ee1708c6","Gumrah","1993","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Laadla","1995","Actor","","d2e2b391-a767-4b16-8d7f-9e5dadbf23e8","Laadla","1994","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Judaai","1998","Actor","","d7141cb1-5b05-4edd-b84c-0c49afe34aba","Judaai","1997","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","English Vinglish","2013","Best Actress","","5c021218-ec73-4926-932e-4c152ce1e580","English Vinglish","2013","Heroine: Sridevi","100","","None"
"✓ ATTRIBUTED","Mom","2018","Best Actress (Jury's Choice)","","4961d6aa-b74a-4b4b-b9b5-3b58bd017c3b","Mom","2017","Heroine: Sridevi","100","","None"
