"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","People's Encounter","1991","Actor","","fea441c5-2320-46b4-8fd8-c1369d39fec0","People's Encounter","1991","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Seetharatnam Gari Abbayi","1992","Actor","","6c79d86c-ac00-4aa4-97a1-920d3f6b7226","Seetharatnam Gari Abbayi","1992","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jeevitame Oka Cinema","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Donga Rascal","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Love Game","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pelli Sandadi","1996","Actor","","c14ef911-a363-4792-892d-4ec3d1f2f37e","Pelli Sandadi","1995","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Thaali","1997","Actor","","37afae82-08f7-4c02-9969-7d8e4b45792c","Thaali","1997","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Manikyam","1999","Actor","","e9089bc3-224d-4376-a6b5-26750f9a2d1b","Manikyam","1999","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kshemamga Velli Labamgarandi","2000","Actor","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Pellam Oorelithe","2003","Actor","","ed892aca-4346-4ae9-9e75-b167847b0fe5","Pellam Oorelithe","2003","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sankranthi","2005","Actor","","3a121084-c559-4902-b223-2b7017c23a3c","Sankranthi","2005","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Operation Duryadhona","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Michael Madana Kamaraju","2008","Actor","","ab27ad1a-7160-49e7-ba48-46739156a959","Michael Madana Kamaraju","2008","Director: Prabhu Deva, Charmy Kaur, Meka Srikanth, Sunil","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","All the Best","2012","Actor","","f3d7b95b-afd9-404d-b68f-33db86853764","All the Best","2012","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dhee Ante Dhee","2015","Actor","","48cd41ce-bdab-4e2e-b69c-908da6dbc187","Entertainment","2014","Not attributed","90","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Yuddham Sharanam","2017","Actor","","e39c5f7d-8c80-41d7-a846-5c8a6076ec5d","Yuddham Sharanam","2017","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Raa Raa","2018","Actor","","0321234b-c45e-4752-9a9f-3193fd64df6a","Raa Raa","2018","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hunt","2023","Actor","","0601e933-39ee-43fa-9ae2-b84b672183cc","Hunt","2023","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Devara: Part 1","2024","Actor","","b562ca91-545c-413e-9e40-cabfca22d877","Devara: Part 1","2024","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Game Changer","2025","Actor","","2c705228-bf3c-4083-ac28-dfacbd14ff01","Game Changer","2025","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hendthi Helidare Kelabeku","1993","Actor","","0568b95c-b519-4a24-b8fb-d0273df93f48","Pelli Neeku Sukham Naaku","1992","Not attributed","90","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ugadi","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Villain","2017","Actor","","41b15cfc-5de9-473f-ac0a-92fd7a68ee45","Villain","2017","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","The Villain","2018","Actor","","41b15cfc-5de9-473f-ac0a-92fd7a68ee45","Villain","2017","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","James","2022","Actor","","47699c93-804d-4ff0-a714-89987f9f7f0e","James","2022","Not attributed","100","cast","Add Srikanth Meka as Cast Member"
