"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Awards","2000","Best Supporting Actress","","4be79890-612c-4ac8-a44c-e5f1a15768f8","Premaku Velayara","1999","Not attributed","90","cast","Add Sushmita Sen as Best Supporting Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","People's Choice Awards India","2001","Best Supporting Actress","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Sushmita Sen as Best Supporting Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bollywood Movie Awards","2003","Best Supporting Actress","","81445621-1081-48b7-a013-bf0a78872346","Friends","2002","Not attributed","90","cast","Add Sushmita Sen as Best Supporting Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Screen Awards","2004","Best Actress","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Sushmita Sen as Best Actress"
"⚠️ EXISTS_NOT_ATTRIBUTED","Stardust Awards","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Sushmita Sen as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mother Teresa Awards","2013","Actor","","f59600c8-228c-49ce-8ab3-e3117cc82763","Avunu","2012","Not attributed","90","cast","Add Sushmita Sen as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","India Leadership Conclave","2016","India Leadership Conclave","","6638ce81-952d-448d-b80a-01414daa1d84","Vedhalam","2015","Not attributed","90","cast","Add Sushmita Sen as India Leadership Conclave"
"⚠️ EXISTS_NOT_ATTRIBUTED","I Am Woman Awards","2018","Actor","","21c054b2-de09-40bb-b1b0-7cb1e465e270","My Little Baby, Jaya","2017","Not attributed","90","cast","Add Sushmita Sen as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare OTT Awards","2020","Best Actor in a Drama Series - Female","","0d107ada-0173-4182-8e74-b91cc64ce6c8","Rangasthalam","2019","Not attributed","90","cast","Add Sushmita Sen as Best Actor in a Drama Series - Female"
"⚠️ EXISTS_NOT_ATTRIBUTED","Indian Television Academy Awards","2021","Best Actress - OTT","","25b9fa59-1897-48c0-9a94-35e2b2e7e84c","Life Anubavinchu Raja","2020","Not attributed","90","cast","Add Sushmita Sen as Best Actress - OTT"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare OTT Awards","2022","Best Actor in a Drama Series - Female","","3b1c9dba-77b2-4239-aa33-c6c0d267d4f6","Poster","2021","Not attributed","90","cast","Add Sushmita Sen as Best Actor in a Drama Series - Female"
"⚠️ EXISTS_NOT_ATTRIBUTED","Iconic Gold Awards","2024","Best Actress of the Year - Popular Choice","","9114b54a-fd7d-4837-a184-e86f28bda7e7","Upendra Gadi Adda","2023","Not attributed","90","cast","Add Sushmita Sen as Best Actress of the Year - Popular Choice"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dayanara Torres","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Sushmita Sen as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Namrata Shirodkar","1994","Actor","","4ba0b6d2-e416-4cd3-bd7c-d6763e994558","Ladies Special","1993","Not attributed","90","cast","Add Sushmita Sen as Cast Member"
