"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mere Yaar Ki Shaadi Hai","2002","Actor","","ede8c638-fb03-4263-9f70-d7c42a71c39a","Railway Coolie","2001","Not attributed","90","cast","Add Tulip Joshi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dil Maange More","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Tulip Joshi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Shoonya","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Tulip Joshi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mission 90 Days","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Tulip Joshi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kabhi Kahin","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Tulip Joshi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Daddy Cool","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Tulip Joshi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Super","2010","Actor","","b86e2547-0dfb-4a5f-b046-72e49fc6c39f","Super","2010","Not attributed","100","cast","Add Tulip Joshi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hostel","2011","Actor","","c218798b-a4ca-42dc-b7c6-a6a407ab9524","The Desire","2010","Not attributed","90","cast","Add Tulip Joshi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Bachchan","2013","Actor","","5db72e49-a3aa-4e70-be23-4b6395356e40","Bachchan","2013","Not attributed","100","cast","Add Tulip Joshi as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jai Ho","2014","Cameo appearance","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Tulip Joshi as Cameo appearance"
"⚠️ EXISTS_NOT_ATTRIBUTED","Airlines","2014","Actor","","5d76dd8d-9df6-444a-aceb-23797b93cf1e","Welcome obama","2013","Not attributed","90","cast","Add Tulip Joshi as Cast Member"
"✓ ATTRIBUTED","Villain","2003","Actor","","6b6449cb-4f9a-499b-a788-09f679ef02e3","Villain","2003","Not attributed","100","","None"
