"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ishq Ishq Ishq","1974","Actor","","e6c35e83-0115-49a9-8b10-ec447ed0462c","Jeevana Tarangalu","1973","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Anokha","1975","Actor","","59a0fee8-7033-40a2-bcb7-ecd4211b7aab","Devadasu","1974","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chitchor","1976","Actor","","6907bb64-ae7e-46f7-b8e0-579db0dae36a","Soubhagyavathi","1975","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gharaonda","1977","Actor","","417797f9-f988-40b6-a388-b5179e5ab865","Moondru Mudichu","1976","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Tumhare Liye","1978","Actor","","1887748f-f339-4b00-a205-2949e8e3fb39","Maa Iddari Katha","1977","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Gopal Krishna","1979","Actor","","ebfb5790-0433-4a0c-9489-92e0828da6f3","Sigappu Rojakkal","1978","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Chamaram","1980","Actor","","ac66122d-0ab5-4d66-a581-5f28d962659e","Nimajjanam","1979","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ek Aur Ek Gyarah","1981","Actor","","f8b96466-024c-4d02-8a09-fffb160f34cb","Aatagadu","1980","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Sara Varsham","1982","Actor","","68b76cbe-5dd4-411a-8373-69ba909cecb0","O Amma Katha","1981","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaivarisai","1983","Actor","","fa6dab44-259f-4d1a-8958-b7b952d1dd52","Vazhvey Maayam","1982","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Hanste Khelte","1984","Actor","","f6532d02-3fed-4bc6-8b73-74655fac0921","Adutha Varisu","1983","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Punnaram Cholli Cholli","1985","Actor","","67b522d8-c3d5-4468-879a-ca56fc735ae6","Merupu Daadi","1984","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Amrit","1986","Actor","","3a7fb676-5d70-49d9-a833-7e198c183e4d","Aatmabalam","1985","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Ee Bandha Anubandha","1987","Actor","","bc766693-9002-4bad-9e34-1a89051ffc4b","Padaharella Ammayi","1986","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Toofan","1989","Actor","","b1bd8f44-f6f5-4d18-b523-baa1c5973a29","Jeevana Ganga","1988","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jai Kaali","1992","Actor","","74bbdc9c-6159-4b7d-b3a0-aad89701a7dc","Jumma Chumma In London","1991","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Mera Damad","1995","Actor","","0845888a-a4c7-45bf-b06c-460f88f213ff","Doragariki Donga Pellam","1994","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Zindagi","2001","Actor","","26ed4847-1bf3-46d4-bde5-8e021971d3cb","Maa Annayya","2000","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Dil Maange More!!!","2004","Actor","","2a81805f-2857-400c-b229-1c1829858b1b","Kurumbu","2003","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kisna: The Warrior Poet","2005","Actor","","251f2ccc-2427-4db3-b255-9f463044ba6e","Andaru Dongale Dorikithe","2004","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Jaane Hoga Kya","2006","Actor","","8b804f9d-3f0a-44b4-b050-bb13419654e4","That is Pandu","2005","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kaisay Kahein","2007","Actor","","5cdec616-5775-4b4a-9749-dcda84e4d878","Indian Beauty","2006","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Kabadi Kabadi","2008","Actor","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
"⚠️ EXISTS_NOT_ATTRIBUTED","Calendar","2009","Actor","","7f5b0d57-d9b5-41ef-a7ad-c76089b266e1","Adhyakshaa","2008","Not attributed","90","cast","Add Zarina Wahab as Cast Member"
