Slug,Title (English),Title (Telugu),Release Year,Box Office Category,Current Rating,TMDB/Avg Rating,Review Rating,Director,Hero,Heroine,Genres,Is Blockbuster,Is Classic,Is Underrated,Story Score,Direction Score,Performance Score,Suggested Rating,Notes
euphoria-tba,"Euphoria","",,hit,6.3,,,"Gunasekhar","Gautham Vasudev Menon","Bhumika Chawla","Drama; Social; Thriller",FALSE,FALSE,FALSE,,,,,
maate-mantramu-tba,"Maate Mantramu","",,hit,6.3,,,"Abhimanyu Baddi","Rahul Vijay","Megha Akash","Romance; Comedy",FALSE,FALSE,FALSE,,,,,
umapathi-tba,"Umapathi","",,hit,6.3,,,"Satya Dwarapudi","Posani Krishna Murali","Avika Gor","Romance; Comedy",FALSE,FALSE,FALSE,,,,,
peddarikam-tba,"Peddarikam","",,hit,6.3,,,"A. M. Rathnam","N.N. Pillai","Jagapati Babu","Comedy; Drama",FALSE,FALSE,FALSE,,,,,
sahaa-tba,"Sahaa","",,average,6,,,"Nishanth Doti","Kumar Kasaaram","Swetha Saluru","Romance; Comedy",FALSE,FALSE,FALSE,,,,,
reppa-tba,"Reppa","",,average,6,,,"Filmian","Suhas","Harshitha","Drama; Romance; Fantasy",FALSE,FALSE,FALSE,,,,,
as-time-echoes-tba,"As Time Echoes","",,average,6,,,"Sahith Mucherla","Akash Reddy Purma","No Female Lead","Drama; Mystery",FALSE,FALSE,FALSE,,,,,
oh-sukumari-tba,"Oh..! Sukumari","",,average,6,,,"Bharat Dharshan","Thiruveer Reddy","Aishwarya Rajesh","Comedy; Romance; Drama",FALSE,FALSE,FALSE,,,,,
takshakudu-tba,"Takshakudu","",,average,6,,,"Vinod Anantoju","Anand Deverakonda","Nitanshi Goel","Action; Drama",FALSE,FALSE,FALSE,,,,,
comrade-kalyan-tba,"Comrade Kalyan","",,average,6,,,"Janakiram Marella","Sree Vishnu","Mahima Nambiar","Romance; Action; Drama",FALSE,FALSE,FALSE,,,,,
illicit-relationship-tba,"Illicit Relationship","",,average,6,,,"Rohit Penumatsa","Abhinay Kadiyala","Thanmai Bolt","Drama",FALSE,FALSE,FALSE,,,,,
band-melam-tba,"Band Melam","",,average,6,,,"Sathish Javvaji","Harsh Roshan","Sridevi Apalla","Romance; Drama",FALSE,FALSE,FALSE,,,,,
nakshatra-poratam-tba,"Nakshatra Poratam","",,average,6,,,"Sagar","Suman Talwar","Aamani","Action; Drama",FALSE,FALSE,FALSE,,,,,
asuragana-rudra-tba,"Asuragana Rudra","",,average,6,,,"Murali Katragadda","Naresh Agastya","Sangeerthana Vipin","Crime; Thriller",FALSE,FALSE,FALSE,,,,,
garividi-lakshmi-tba,"Garividi Lakshmi","",,average,6,,,"Gowri Naidu Jammu","Naresh","Anandhi","Family; Drama",FALSE,FALSE,FALSE,,,,,
dq-41-tba,"DQ 41","",,average,6,,,"Ravi Nelakuditi","Dulquer Salmaan","Pooja Hegde","Romance; Drama",FALSE,FALSE,FALSE,,,,,
hailesso-tba,"HaiLesso","",,average,6,,,"Kota Prasanna Kumar","Sudigali Sudheer","Natasha Singh","Action; Drama",FALSE,FALSE,FALSE,,,,,
arrtham-tba,"Arrtham","",,average,6,,,"Thellaguti Manikanth","Mahendran","Shraddha Das","Thriller; Action",FALSE,FALSE,FALSE,,,,,
ene-repeat-tba,"ENE Repeat","",,average,6,,,"Tharun Bhascker","Vishwak Sen","No Female Lead","Comedy; Romance; Drama",FALSE,FALSE,FALSE,,,,,
kirathaka-tba,"Kirathaka","",,average,6,,,"Veerabhadram","Aadi Saikumar","Payal Rajput","Crime; Thriller",FALSE,FALSE,FALSE,,,,,
biker-tba,"Biker","",,average,6,,,"Abhilash Kankara","Sharwanand","Malavika Nair","Adventure; Drama",FALSE,FALSE,FALSE,,,,,
kalki-2898-ad-part-2-tba,"Kalki 2898-AD: Part 2","",,average,6,,,"Nag Ashwin","Amitabh Bachchan","Kamal Haasan","Action; Fantasy; Science Fiction",FALSE,FALSE,FALSE,,,,,
abhiram-tba,"Abhiram","",,average,6,,,"Ramakrishna Arjun","Prabhakar","Navami Gayak","Romance; Comedy; Drama",FALSE,FALSE,FALSE,,,,,
haindava-tba,"Haindava","",,average,6,,,"Ludheer Byreddy","Bellamkonda Srinivas","Samyuktha","Action; Drama",FALSE,FALSE,FALSE,,,,,
amaran-in-the-city-chapter-1-tba,"Amaran in the City: Chapter 1","",,average,6,,,"S. Balaveer","Aadi Saikumar","Avika Gor","Drama; Romance; Social",FALSE,FALSE,FALSE,,,,,
maa-inti-bangaram-tba,"Maa Inti Bangaram","",,average,6,,,"B. V. Nandini Reddy","Gulshan Devaiah","Samantha","Action; Comedy; Thriller; Drama",FALSE,FALSE,FALSE,,,,,
anumana-pakshi-tba,"Anumana Pakshi","",,average,6,,,"Vimal Krishna","Rag Mayur","Merin Philip","Comedy; Drama",FALSE,FALSE,FALSE,,,,,
legacy-tba,"Legacy","",,average,6,,,"Saikiran Daida","Vishwak Sen","No Female Lead","Action; Crime; Thriller; Drama",FALSE,FALSE,FALSE,,,,,
hey-bhagawan-tba,"Hey Bhagawan!","",,average,6,,,"Gopi Atchara","Suhas","Shivani Nagaram","Comedy; Drama",FALSE,FALSE,FALSE,,,,,
vrushakarma-tba,"Vrushakarma","",,average,6,,,"Karthik Varma Dandu","Naga Chaitanya Akkineni","Meenakshi Chaudhary","Fantasy; Thriller",FALSE,FALSE,FALSE,,,,,
mysaa-tba,"Mysaa","",,average,6,,,"Rawindra Pulle","Guru Somasundaram","Rashmika Mandanna","Action; Drama; Thriller",FALSE,FALSE,FALSE,,,,,
janakiram-tba,"Janakiram","",,average,6,,,"Ram Prasad Ragutu","Nagendra Babu","Keerthy Suresh","Romance; Comedy; Action",FALSE,FALSE,FALSE,,,,,
anaganaga-oka-rowdy-tba,"Anaganaga Oka Rowdy","",,average,6,,,"Manu Yagnaa","Sumanth","No Female Lead","Action; Comedy",FALSE,FALSE,FALSE,,,,,
what-the-fish-tba,"What The Fish","",,average,6,,,"Varun Korukonda","Manchu Manoj","Niharika Konidela","Comedy; Drama; Family",FALSE,FALSE,FALSE,,,,,
aa22xa6-tba,"AA22xA6","",,average,6,,,"Atlee","Allu Arjun","Deepika Padukone","Action; Science Fiction",FALSE,FALSE,FALSE,,,,,
bad-boy-karthik-tba,"Bad Boy Karthik","",,average,6,,,"Ramesh","Naga Shaurya","Vidhi Yadav","Action; Drama",FALSE,FALSE,FALSE,,,,,
paramanandham-shishyulu-tba,"Paramanandham Shishyulu","",,average,6,,,"G D Naidu 888","Daggupati Vinay","No Female Lead","Comedy",FALSE,FALSE,FALSE,,,,,
naa-katha-tba,"Naa Katha","",,average,6,,,"Ratnakar Peravali","Suman Shetty","No Female Lead","Drama",FALSE,FALSE,FALSE,,,,,
natudu-tba,"Natudu","",,average,6,,,"Prasad","Kavya Shetty","Nagineedu Vellanki","Romance; Thriller",FALSE,FALSE,FALSE,,,,,
patta-pagalu-tba,"Patta Pagalu","",,average,6,,,"Ram Gopal Varma","Tanikella Bharani","Swati Dixit","Horror",FALSE,FALSE,FALSE,,,,,
mirai-jaithraya-tba,"Mirai Jaithraya","",,average,6,,,"Karthik Ghattamaneni","Teja Sajja","Ritika Nayak","Action; Thriller; Fantasy",FALSE,FALSE,FALSE,,,,,
sambarala-yetti-gattu-tba,"Sambarala Yetti Gattu","",,average,6,,,"Rohith KP","Sai Durgha Tej","Aishwarya Lekshmi","Action; Fantasy",FALSE,FALSE,FALSE,,,,,
they-call-him-og-2-tba,"They Call Him OG 2","",,average,6,,,"Sujeeth","Pawan Kalyan","No Female Lead","Thriller; Action",FALSE,FALSE,FALSE,,,,,
nagabandham-tba,"Nagabandham","నాగబంధం",,average,6,,,"Abhishek Nama","Virat Karrna","Nabha Natesh","Drama; Romance; Action",FALSE,FALSE,FALSE,,,,,
pushpa-3-the-rampage-tba,"Pushpa 3 - The Rampage","",,average,5.8,,,"Sukumar","Allu Arjun","Rashmika Mandanna","Action; Crime; Thriller",FALSE,FALSE,FALSE,,,,,
varanasi-tba,"Vāranāsi","S.S. Rajamouli's వారణాసి",,average,5.8,,,"S. S. Rajamouli","Mahesh Babu","Priyanka Chopra Jonas","Adventure; Action; Science Fiction; Fantasy",FALSE,FALSE,FALSE,,,,,
baahubali-the-eternal-war-part-1-2027,"Baahubali: the Eternal War - Part 1","బాహుబలి: ది ఎటర్నల్ వార్",2027,blockbuster,7,,,"Ishan Shukla","Prabhas","Ramya Krishnan","Animation; Action; Drama",TRUE,FALSE,FALSE,,,,,
funky-2026,"Funky","",2026,average,6.5,6.5,,"Anudeep","Vishwak Sen","Kayadu Lohar","Comedy; Romance; Drama",FALSE,FALSE,TRUE,,,,,
rowdy-janardhana-2026,"Rowdy Janardhana","",2026,average,6.4,6.4,,"Ravikiran Kola","Vijay Deverakonda","Keerthy Suresh","Action; Thriller; Drama",FALSE,FALSE,TRUE,,,,,
lenin-tba,"Lenin","",2026,hit,6.3,,,"Murali Kishor Abburu","Akhil Akkineni","Bhagyashri Borse","Drama",FALSE,FALSE,FALSE,,,,,
nilakanta-2026,"Nilakanta","",2026,hit,6.3,,,"Rakesh Madhavan","Mahendran","Yashna Chowdary","Drama; Romance",FALSE,FALSE,FALSE,,,,,
the-paradise-2026,"The Paradise","",2026,average,6.1,6.1,,"Srikanth Odela","Nani","Janhvi Kapoor","Action; Thriller; Drama",FALSE,FALSE,TRUE,,,,,
alcohol-2026,"Alcohol","",2026,average,6,,,"Meher Tej","Allari Naresh","Ruhani Sharma","Comedy; Drama; Thriller",FALSE,FALSE,FALSE,,,,,
