No,Title,Year,Director,NEW_Lead_Actor
1,"Ramachilaka",1978,"Dasari Narayana Rao",
2,"Kalanthakulu",1978,"K. Vasu",
3,"Rickshaw Raji",1978,"K. Vasu",
4,"Katakataala Rudraiah",1978,"Dasari Narayana Rao",
5,"Melu Kolupu",1978,"Relangi Narasimha Rao",
6,"Patnavasam",1978,"K. Vasu",
7,"Rowdy Rangamma",1978,"Kodandarami Reddy",
8,"Korikale Gurralaite",1979,"K Vasu",
9,"Shri Rama Bantu",1979,"S. D. Lal",
10,"Mande Gundelu",1979,"K. Vasu",
11,"Srungara Ramudu",1979,"K. Vasu",
12,"Ravanude Ramudayithe?",1979,"Dasari Narayana Rao",
13,"Ramudu Parasuramudu",1980,"A Kodandarami Reddy",
14,"Subhodhayam",1980,"K Vasu",
15,"Gayyali Gangamma",1980,"L. V. Prasad",
16,"Chesina Baasalu",1980,"Kodandarami Reddy",
17,"Srivari Muchatlu",1980,"K. Vasu",
18,"Kaliyuga Ravanasurudu",1980,"K. Vasu",
19,"Pakkinti Ammayi",1981,"K. Vasu",
20,"Aggi Ravva",1981,"Kodandarami Reddy",
21,"Srivari Muchatlu",1981,"Kvasula Ramesh",
22,"Viswaroopam",1981,"Kodandarami Reddy",
23,"Patalam Pandu",1981,"K. Vasu",
24,"Radha Kalyanam",1981,"K Vasu",
25,"Maro Malupu",1982,"K. Balachander",
26,"Raja Chandra",1982,"Kodandarami Reddy",
27,"Radhamma Mogudu",1982,"A. Kodandarami Reddy",
28,"Ranganayaki",1982,"T. Krishna",
29,"Prathikaram",1982,"K. Vasu",
30,"Propakari Papanna",1982,"Dasari Narayana Rao",
31,"Shamsher Shankar",1982,"K.S.R. Das",
32,"Prema Murthulu",1982,"Kodandarami Reddy",
33,"Gruha Pravesam",1982,"Bhagyaraj",
34,"Telugunaadu",1982,"K. Vasu",
35,"Emandoyi Srimathigaru",1982,"K. Vasu",
36,"Chandamama",1982,"Kodandarami Reddy",
37,"Chalaki Chellamma",1982,"Kodandarami Reddy",
38,"Doctor Malathi",1982,"K. Vasu",
39,"Kalahala Kapuram",1982,"K. Vasu",
40,"Chilipi Chinnodu",1982,"K. Vasu",
41,"Jaggu",1982,"Kodandarami Reddy",
42,"Illanta Sandadi",1982,"Relangi Narasimha Rao",
43,"Poola Pallaki",1982,"K. Vasu",
44,"Palleturi Pidugu",1983,"Kodandarami Reddy",
45,"Rudrakali",1983,"K.Raghavendra Rao",
46,"Devi Sridevi",1983,"K. Vasu",
47,"Manishiko Chartira",1983,"Vijaya Bapineedu",
48,"Palleturi Monagadu",1983,"Relangi Narasimha Rao",
49,"Manavulara Manninchandi",1983,"K. Balachander",
50,"Keerthi Kantha Kanakam",1983,"K. Vasu",
51,"Lanke Bindelu",1983,"K. Vasu",
52,"Raakasi Loya",1983,"Kodandarami Reddy",
53,"Siripuram Monagadu",1983,"K. Vasu",
54,"Chandi Chamundi",1983,"Kodi Ramakrishna",
55,"Kanthaiyya Kanakaiyya",1983,"K. Vasu",
56,"Kaksha Sadistha",1983,"Kodandarami Reddy",
57,"Konte Kodallu",1983,"K Vasu",
58,"Iddaru Kiladeelu",1983,"Relangi Narasimha Rao",
59,"Raghu Ramudu",1983,"Kodandarami Reddy",
60,"Shakthi",1983,"K.Bapayya",
61,"Moogavadi Paga",1983,"Kodandarami Reddy",
62,"Simhamtho Chelagatam",1983,"Kodandarami Reddy",
63,"Kirayi Bommalu",1983,"Kodandarami Reddy",
64,"Kodalu Kaavaali",1983,"K. Vasu",
65,"Chanda Sasanudu",1983,"Krasna",
66,"Bandhipotu Rudramma",1983,"B. Bhaskara Rao",
67,"Debbaku Debba",1983,"Kodandarami Reddy",
68,"Ikanaina Marandi",1983,"Kodandarami Reddy",
69,"Koti Kokkadu",1983,"K. Vasu",
70,"Digivachina Devudu",1983,"K. Vasu",
71,"Prema Vijayam",1983,"Kodandarami Reddy",
72,"Kala Yamudu",1983,"K. Vasu",
73,"Kirayi Kotigadu",1983,"A. Kodandarami Reddy",
74,"Kirayi Rangadu",1983,"A. Kodandarami Reddy",
75,"Chattaniki Sawal",1983,"K. Vasu",
76,"Chandi Rani",1983,"Kodandarami Reddy",
77,"Apadhbandhavulu",1983,"K. Vasu",
78,"Padmavathi Kalyanam",1983,"K. Vasu",
79,"Intalludu",1983,"Kodandarami Reddy",
80,"Koteeswarudu",1984,"K. Vasu",
81,"Inti Guttu",1984,"K. Vasu",
82,"Rojulu Marayi",1984,"Kodandarami Reddy",
83,"Raktha Sambandham",1984,"K. Vasu",
84,"Ragile Gundelu",1985,"Kodandarami Reddy",
85,"Manthra Dandam",1985,"K. Murali Mohan",
86,"Sakkanodu",1986,"Kodandarami Reddy",
87,"Inspector Pratap",1988,"Mohan Gandhi",
88,"Antima Teerpu",1988,"K. Murali Mohan",
89,"Adavi Diviteelu",1990,"Ravi Raja Pinisetty",
