ID,Title,Year,Director,Current_Hero,NEW_Correct_Hero,Chiranjeevi_Role
"7c6fc4c4-0e09-4fd0-9052-f4199f69f77f","Angadi Bomma",1978,"K.B. Srinivasan","Chiranjeevi","","supporting"
"fd94be4e-7575-4409-9303-ede2a5ecc6ae","Kalanthakulu",1978,"K. Vasu","Chiranjeevi","","supporting"
"784ae257-2eda-4fff-a39e-7b3aadf68d9e","Katakataala Rudraiah",1978,"Dasari Narayana Rao","Chiranjeevi","","supporting"
"cb6b0fd2-de4c-40e7-be98-aac1f161492b","Melu Kolupu",1978,"Relangi Narasimha Rao","Chiranjeevi","","supporting"
"4de7fdbf-68d6-4500-9c06-4a090acd460b","Patnavasam",1978,"K. Vasu","Chiranjeevi","","supporting"
"bd2590cf-2f6a-4495-9c7c-625f65fca522","Ramachilaka",1978,"Dasari Narayana Rao","Chiranjeevi","","supporting"
"3ace42dd-6b20-430d-9e75-15e2f6d68f55","Rickshaw Raji",1978,"K. Vasu","Chiranjeevi","","supporting"
"53e148bc-afb8-4f2b-a8d0-ec5d84624991","Rowdy Rangamma",1978,"Kodandarami Reddy","Chiranjeevi","","supporting"
"9f0d21c6-2f3a-48b8-8f9a-e8375b56dcf6","Seetamalakshmi",1978,"K. Vasu","Chiranjeevi","","supporting"
"7101a774-b6bd-4c05-bda6-27ce432b612e","Korikale Gurralaite",1979,"K Vasu","Chiranjeevi","","supporting"
"8cc4cbb8-ccca-4799-855f-4e9fdb944888","Mande Gundelu",1979,"K. Vasu","Chiranjeevi","","supporting"
"e7fdb2f0-2e28-44cc-90b3-fc48fe6e99a2","Ravanude Ramudayithe?",1979,"Dasari Narayana Rao","Chiranjeevi","","supporting"
"df549993-f861-45e5-a3e4-4e113e343276","Shri Rama Bantu",1979,"S. D. Lal","Chiranjeevi","","supporting"
"83d4374e-bed4-40fb-a575-7e4002541ab3","Srungara Ramudu",1979,"K. Vasu","Chiranjeevi","","supporting"
"2b7361dc-7732-45fb-9239-ba9e9a986231","Chesina Baasalu",1980,"Kodandarami Reddy","Chiranjeevi","","supporting"
"706a495b-ed6c-4d87-af78-8b27bbf1114e","Circus Ramudu",1980,"Dasari Narayana Rao","Chiranjeevi","","supporting"
"401f18b1-31b0-4dba-ac90-4f1be7cc7315","Gayyali Gangamma",1980,"L. V. Prasad","Chiranjeevi","","supporting"
"330961e1-9b16-40b6-89f8-b46db755345f","Kaksha",1980,"Vamsy","Chiranjeevi","","supporting"
"cd578b4b-8240-431e-9d0d-fe06f71dcd51","Kaliyuga Ravanasurudu",1980,"K. Vasu","Chiranjeevi","","supporting"
"f49c445d-46d0-40ef-9683-bbc48a13dd1a","Prema Pichchi",1980,"A Kodandarami Reddy","Chiranjeevi","","supporting"
"43669ad6-8865-42d1-897d-70d12e486994","Ramudu Parasuramudu",1980,"A Kodandarami Reddy","Chiranjeevi","","supporting"
"9b5fd4b3-d8ba-4bdb-bef2-1ada70b6f6f0","Srivari Muchatlu",1980,"K. Vasu","Chiranjeevi","","supporting"
"17831c2f-5acd-422c-a682-4bcfd4e2984c","Subhodhayam",1980,"K Vasu","Chiranjeevi","","supporting"
"fdec4e52-5549-46b2-bf2a-49ad92d4522e","Aggi Ravva",1981,"Kodandarami Reddy","Chiranjeevi","","supporting"
"676d13d1-deaf-4838-9fe5-82684c78daf4","Bhogimanthulu",1981,"K. Balachander","Chiranjeevi","","supporting"
"8ce2f51a-b044-4348-9d2e-23afe50903ea","Ooriki Ichina Maata",1981,"M. Balayya","Chiranjeevi","","supporting"
"6954cc07-451e-4567-8cc1-1644e9c698b7","Pakkinti Ammayi",1981,"K. Vasu","Chiranjeevi","","supporting"
"3a55a843-04aa-4383-a768-795e10c78036","Patalam Pandu",1981,"K. Vasu","Chiranjeevi","","supporting"
"083e1b7f-d35c-4b45-a4f4-8852e4962286","Radha Kalyanam",1981,"K Vasu","Chiranjeevi","","supporting"
