Action,Title,Year,Actor,Reason
Added,"Antam",1992,"Akkineni Nagarjuna",""
Added,"Bharatha Vilas",1973,"Akkineni Nageswara Rao",""
Added,"Poongothai",1953,"Akkineni Nageswara Rao",""
Added,"Matharkula Manikkam",1956,"Akkineni Nageswara Rao",""
Added,"Kalyana Parisu",1959,"Akkineni Nageswara Rao",""
Added,"Manithan Maravillai",1961,"Akkineni Nageswara Rao",""
Added,"Or Iravu",1951,"Akkineni Nageswara Rao",""
Added,"Bharya Bharthalu",1961,"Akkineni Nageswara Rao",""
Added,"Pelli Naati Pramanalu",1959,"Akkineni Nageswara Rao",""
Added,"Manjal Mahimai",1959,"Akkineni Nageswara Rao",""
Added,"Yuvaraju",1982,"Akkineni Nageswara Rao",""
Added,"Women's Authority",1958,"Akkineni Nageswara Rao",""
Added,"Bangaru Babu",1973,"Akkineni Nageswara Rao",""
Added,"Aathmeeyulu",1969,"Akkineni Nageswara Rao",""
Added,"Padma Shri",1968,"Akkineni Nageswara Rao",""
Added,"Padma Bhushan",1988,"Akkineni Nageswara Rao",""
Added,"Padma Vibhushan",2011,"Akkineni Nageswara Rao",""
Added,"Nandi Awards",2008,"Allari Naresh",""
Added,"Santosham Film Awards",2021,"Allari Naresh",""
Added,"I Am That Change",2014,"Allu Arjun",""
Added,"Vaanam",2011,"Anushka Shetty",""
Added,"Irandam Ulagam",2013,"Anushka Shetty",""
Added,"Rendu",2006,"Anushka Shetty",""
Added,"Alex Pandian",2013,"Anushka Shetty",""
Added,"Inji Iduppazhagi",2015,"Anushka Shetty",""
Added,"Bhaagamathie",2018,"Anushka Shetty",""
Added,"N.T.R: Kathanayakudu",2019,"Anushka Shetty",""
Added,"Saguni",2012,"Anushka Shetty",""
Added,"Lakshyam",1993,"Anushka Shetty",""
Added,"Well, If You Know Me",2015,"Anushka Shetty",""
Added,"Bhagmati",2018,"Anushka Shetty",""
Added,"Best Actor – Telugu",1982,"Chiranjeevi",""
Added,"Special Award – South",2006,"Chiranjeevi",""
Added,"Lifetime Achievement Award – South",2010,"Chiranjeevi",""
Added,"Best Actor – Telugu",2023,"Chiranjeevi",""
Added,"Best Actor – Telugu",2024,"Chiranjeevi",""
Added,"Raghupathi Venkaiah Award",2016,"Chiranjeevi",""
Added,"That is Pandu",2005,"Jagapathi Babu",""
Added,"Madhagaja",2021,"Jagapathi Babu",""
Added,"Madrasi",2006,"Jagapathi Babu",""
Added,"Maavidakulu",1998,"Jagapathi Babu",""
Added,"Puthagam",2013,"Jagapathi Babu",""
Added,"Kisi Ka Bhai... Kisi Ki Jaan",2023,"Jagapathi Babu",""
Added,"Adhinetha",2009,"Jagapathi Babu",""
Added,"6",2012,"Jagapathi Babu",""
Added,"Brahmastram",2006,"Jagapathi Babu",""
Added,"Kshetram",2011,"Jagapathi Babu",""
Added,"Voice of Sathyanathan",2023,"Jagapathi Babu",""
Added,"Ruslaan",2024,"Jagapathi Babu",""
Added,"Monster",2022,"Jagapathi Babu",""
Added,"Kaththi Sandai",2016,"Jagapathi Babu",""
Added,"Madura Raja",2019,"Jagapathi Babu",""
Added,"Laabam",2021,"Jagapathi Babu",""
Added,"Roberrt",2021,"Jagapathi Babu",""
Added,"Annaatthe",2021,"Jagapathi Babu",""
Added,"Hero",2022,"Jagapathi Babu",""
Added,"Jaat",2025,"Jagapathi Babu",""
Added,"Elumale",2025,"Jagapathi Babu",""
Added,"Anantha",2026,"Jagapathi Babu",""
Added,"Best Actor – Telugu",1993,"Jagapathi Babu",""
Added,"Best Supporting Actor – Telugu",2005,"Jagapathi Babu",""
Added,"Special Jury Award",1989,"Jagapathi Babu",""
Added,"Best Actor",1993,"Jagapathi Babu",""
Added,"Best Supporting Actor",1998,"Jagapathi Babu",""
Added,"Best Actor",2000,"Jagapathi Babu",""
Added,"Best Supporting Actor",2007,"Jagapathi Babu",""
Added,"Best Villain",2014,"Jagapathi Babu",""
Added,"Best Actor in a Negative Role (Telugu)",2014,"Jagapathi Babu",""
Added,"Rangasthalam",2019,"Jagapathi Babu",""
Added,"Maharshi",2021,"Jagapathi Babu",""
Added,"Special Jury Award",2016,"Jagapathi Babu",""
Added,"Best Actor in a Negative Role (Malayalam)",2016,"Jagapathi Babu",""
Added,"Best Actor in a Negative Role (Tamil)",2021,"Jagapathi Babu",""
Added,"Best Supporting Actor",2016,"Jagapathi Babu",""
Added,"Best Actor in a Negative Role",2017,"Jagapathi Babu",""
Added,"Justice Rudramadevi",1990,"Jaya Prada",""
Added,"The Desire: A Journey of a Woman",2011,"Jaya Prada",""
Added,"Hoshiyar",1985,"Jaya Prada",""
Added,"Maidan-E-Jung",1995,"Jaya Prada",""
Added,"Ninaithaale Inikkum",1979,"Jaya Prada",""
Added,"Manmadha Leelai",1976,"Jaya Prada",""
Added,"Sharaabi",1984,"Jaya Prada",""
Added,"Pranayam",2011,"Jaya Prada",""
Added,"Singhasan",1986,"Jaya Prada",""
Added,"Ramachandra Boss & Co",2023,"Jaya Prada",""
Added,"Shabdavedhi",2000,"Jaya Prada",""
Added,"Devadoothan",2000,"Jaya Prada",""
Added,"Souten Ki Beti",1989,"Jaya Prada",""
Added,"Ezhai Jaathi",1993,"Jaya Prada",""
Added,"Aami Sei Meye",1998,"Jaya Prada",""
Added,"Habba",1999,"Jaya Prada",""
Added,"Qayamat",1983,"Jaya Prada",""
Added,"Jaadugar",1989,"Jaya Prada",""
Added,"Maa",1992,"Jaya Prada",""
Added,"Archana Aaradhana",1985,"Jaya Prada",""
Added,"Sesh Sanghat",2009,"Jaya Prada",""
Added,"Haisiyat",1984,"Jaya Prada",""
Added,"Gangaa Jamunaa Saraswathi",1988,"Jaya Prada",""
Added,"Kaviratna Kalidasa",1983,"Jaya Prada",""
Added,"Sindoor",1987,"Jaya Prada",""
Added,"Aatwaja",2018,"Jaya Prada",""
Added,"Girija Kalyanam",1990,"Jaya Prada",""
Added,"Swayamvaram",1982,"Jaya Prada",""
Added,"Haqeeqat",1985,"Jaya Prada",""
Added,"Insaaf Kaun Karega",1984,"Jaya Prada",""
Added,"Sanaadi Appanna",1977,"Jaya Prada",""
Added,"Chauraha",1994,"Jaya Prada",""
Added,"Aaj Ka Arjun",1990,"Jaya Prada",""
Added,"Ganga Tere Desh Mein",1988,"Jaya Prada",""
Added,"Kohram",1999,"Jaya Prada",""
Added,"Takkar",1980,"Jaya Prada",""
Added,"Elaan-E-Jung",1989,"Jaya Prada",""
Added,"Fauzi",2026,"Jaya Prada",""
Added,"Sur Sangam",1985,"Jaya Prada",""
Added,"Khal-Naaikaa",1993,"Jaya Prada",""
Added,"Tathastu",2006,"Jaya Prada",""
Added,"Awaaz",1984,"Jaya Prada",""
Added,"Ghar Ghar Ki Kahani",1988,"Jaya Prada",""
Added,"Rajjo",2013,"Jaya Prada",""
Added,"Deha",2007,"Jaya Prada",""
Added,"Thanedaar",1990,"Jaya Prada",""
Added,"Hum Bhi Insaan Hain",1989,"Jaya Prada",""
Added,"Keni",2018,"Jaya Prada",""
Added,"Shehzaade",1989,"Jaya Prada",""
Added,"Swami Vivekananda",1998,"Jaya Prada",""
Added,"Dil-E-Nadaan",1982,"Jaya Prada",""
Added,"Mardon Wali Baat",1988,"Jaya Prada",""
Added,"Kanoon Ki Zanjeer",1990,"Jaya Prada",""
Added,"Dharm Aur Qanoon",1984,"Jaya Prada",""
Added,"Zabardast",1985,"Jaya Prada",""
Added,"Sanjog",1985,"Jaya Prada",""
Added,"Swarag Se Sunder",1986,"Jaya Prada",""
Added,"Sapnon Ka Mandir",1991,"Jaya Prada",""
Added,"Mera Faisla",1984,"Jaya Prada",""
Added,"Jeevan Yudh",1997,"Jaya Prada",""
Added,"Majboor",1989,"Jaya Prada",""
Added,"Indrajeet",1991,"Jaya Prada",""
Added,"Zulm-O-Sitam",1998,"Jaya Prada",""
Added,"Kundan",1993,"Jaya Prada",""
Added,"Loh Purush",1999,"Jaya Prada",""
Added,"Paappi Devataa",1995,"Jaya Prada",""
Added,"Pataal Bhairavi",1985,"Jaya Prada",""
Added,"Veerta",1993,"Jaya Prada",""
Added,"Zakhmi Zameen",1990,"Jaya Prada",""
Added,"Main Awara Hoon",1983,"Jaya Prada",""
Added,"Insaniyat Ke Devta",1993,"Jaya Prada",""
Added,"Sarhad Paar",2006,"Jaya Prada",""
Added,"Raaj",2009,"Jaya Prada",""
Added,"Sargam",1979,"Jaya Prada",""
Added,"Ee Bandhana",2007,"Jaya Prada",""
Added,"Kraanthiveera Sangolli Raayanna",2012,"Jaya Prada",""
Added,"Pyar Ke Do Pal",1986,"Jaya Prada",""
Added,"Muddat",1986,"Jaya Prada",""
Added,"Kaamchor",1982,"Jaya Prada",""
Added,"Veer",1995,"Jaya Prada",""
Added,"Tyagi",1992,"Jaya Prada",""
Added,"Dhartiputra",1993,"Jaya Prada",""
Added,"Lok Parlok",1979,"Jaya Prada",""
Added,"Paraya Ghar",1989,"Jaya Prada",""
Added,"Huliya Halina Mevu",1979,"Jaya Prada",""
Added,"Paapi Pet Ka Sawaal Hai",1984,"Jaya Prada",""
Added,"Himapatha",1995,"Jaya Prada",""
Added,"Manmatha Leelai",1976,"Jaya Prada",""
Added,"Bhadrakali",1977,"Jaya Prada",""
Added,"Sardar&#91;41&#93;",1984,"Jaya Prada",""
Added,"Majboor",1990,"Jaya Prada",""
Added,"Insaniyat",1994,"Jaya Prada",""
Added,"Sri Renukadevi",2003,"Jaya Prada",""
Added,"Dasavathaaram",2008,"Jaya Prada",""
Added,"Sesh Sangat",2009,"Jaya Prada",""
Added,"The Desire",2010,"Jaya Prada",""
Added,"Krantiveera Sangolli Rayanna",2012,"Jaya Prada",""
Added,"Kinar",2018,"Jaya Prada",""
Added,"Ramachandra Boss &amp; Co",2023,"Jaya Prada",""
Added,"Perfect Pati",2018,"Jaya Prada",""
Added,"The Kapil Sharma Show season 2",2021,"Jaya Prada",""
Added,"Indian Idol",2021,"Jaya Prada",""
Added,"Drama Juniors 4 Telugu",2023,"Jaya Prada",""
Added,"Ninaithale Inikkum",1979,"Jaya Prada",""
Added,"Overall Contribution to Telugu Film Industry",2007,"Jaya Prada",""
Added,"Seeta Kalyanam",1976,"Jaya Prada",""
Added,"Sita Swayamvar",1976,"Jaya Prada",""
Added,"Meghasandesham",1982,"Jaya Prada",""
Added,"Saagara Sangamam",1983,"Jaya Prada",""
Added,"Mera Saathi",1985,"Jaya Prada",""
Added,"Aisa Pyaar Kahan",1986,"Jaya Prada",""
Added,"Pyaar Ke Do Pal",1986,"Jaya Prada",""
Added,"Kanoon Ki Awaaz",1989,"Jaya Prada",""
Added,"Gharana",1989,"Jaya Prada",""
Added,"Q12427728",1990,"Jaya Prada",""
Added,"Swami Vivekananda",1994,"Jaya Prada",""
Added,"Ee Snehatheerathu",2004,"Jaya Prada",""
Added,"Sangolli Rayanna",2012,"Jaya Prada",""
Added,"Karungaapiyam",2023,"Kajal Aggarwal",""
Added,"Pazhani",2008,"Kajal Aggarwal",""
Added,"Bommalattam",2008,"Kajal Aggarwal",""
Added,"Modhi Vilayadu",2009,"Kajal Aggarwal",""
Added,"All in All Azhagu Raja",2013,"Kajal Aggarwal",""
Added,"Ghosty",2023,"Kajal Aggarwal",""
Added,"Paayum Puli",2015,"Kajal Aggarwal",""
Added,"Kavalai Vendam",2016,"Kajal Aggarwal",""
Added,"Do Lafzon Ki Kahani",2016,"Kajal Aggarwal",""
Added,"Kyun! Ho Gaya Na...",2004,"Kajal Aggarwal",""
Added,"Mumbai Saga",2021,"Kajal Aggarwal",""
Added,"Sikandar",2025,"Kajal Aggarwal",""
Added,"Ramayana: Part One",2026,"Kajal Aggarwal",""
Added,"Naidugaari Kutumbam",1996,"Krishnam Raju",""
Added,"Rajamahal",1972,"Krishnam Raju",""
Added,"Maa Nanna Ki Pelli",1997,"Krishnam Raju",""
Added,"Samardhudu",2009,"Krishnam Raju",""
Added,"Time Pass",2001,"Krishnam Raju",""
Added,"Vamsodharakudu",2000,"Krishnam Raju",""
Added,"Anthima Theerpu",1988,"Krishnam Raju",""
Added,"Bala Mitrula Katha",1972,"Krishnam Raju",""
Added,"Amaradeepam",1977,"Krishnam Raju",""
Added,"Jeevana Theeralu",1977,"Krishnam Raju",""
Added,"Adavaallu Meeku Joharulu",1981,"Krishnam Raju",""
Added,"Madhura Swapnam",1982,"Krishnam Raju",""
Added,"Trishulam",1982,"Krishnam Raju",""
Added,"Talli Kodukula Anubandham",1982,"Krishnam Raju",""
Added,"Antima Theerpu",1988,"Krishnam Raju",""
Added,"Maa Nannaki Pelli",1997,"Krishnam Raju",""
Added,"Vamsoddarakudu",2000,"Krishnam Raju",""
Added,"Operation 2019",2018,"Manchu Manoj",""
Added,"Pandavulu Pandavulu Tummeda",2014,"Manchu Manoj",""
Added,"Police officer",2019,"Manchu Manoj",""
Added,"Adurs",2010,"N. T. Rama Rao Jr",""
Added,"RRR: Behind & Beyond",2024,"N. T. Rama Rao Jr",""
Added,"Okka Magaadu",2008,"Nandamuri Balakrishna",""
Added,"Kaliyuga Sthree",1978,"Nandamuri Balakrishna",""
Added,"Anasuyamma Gari Alludu",1986,"Nandamuri Balakrishna",""
Added,"Allari Krishnaiah",1987,"Nandamuri Balakrishna",""
Added,"Rakthabishekam",1988,"Nandamuri Balakrishna",""
Added,"President Gari Abbayi",1987,"Nandamuri Balakrishna",""
Added,"Padma Bhushan",2025,"Nandamuri Balakrishna",""
Added,"Mangammagari Manavadu",1984,"Nandamuri Balakrishna",""
Added,"Kattula Kondaiah",1985,"Nandamuri Balakrishna",""
Added,"Sita Rama Kalyanam",1986,"Nandamuri Balakrishna",""
Added,"Maato Pettukoku",1995,"Nandamuri Balakrishna",""
Added,"Shri Krishnarjuna Vijayam",1996,"Nandamuri Balakrishna",""
Added,"Chennakeshava Reddy",2002,"Nandamuri Balakrishna",""
Added,"Panduranga",2008,"Nandamuri Balakrishna",""
Added,"N.T.R: Kathanayukudu",2019,"Nandamuri Balakrishna",""
Added,"Akhanda 2",2025,"Nandamuri Balakrishna",""
Added,"Adipurush",2023,"Prabhas",""
Added,"The Rajasaab",2026,"Prabhas",""
Added,"Filmfare Awards South",2004,"Prabhas",""
Added,"Filmfare Awards South",2005,"Prabhas",""
Added,"CineMAA Awards",2010,"Prabhas",""
Added,"Filmfare Awards South",2011,"Prabhas",""
Added,"Filmfare Awards South",2013,"Prabhas",""
