ID_Short,Title,Year,NEW_Heroine,NEW_Director,Support_Cast
84ee87ef,Rakthasambandhalu,1975,,,
fb3a5548,Santanam Soubhagyam,1975,,,
c7d71ad2,Kolleti Kapuram,1976,,,
2b6791f3,Bhale Dongalu,1976,,,
d1b078bc,Manavoori Katha,1976,,,
024fc735,Devude Gelichadu,1976,,,
b63c4d3c,Ramarajyamlo Rakthapasam,1976,,,
98ea2391,Panchaithi,1977,,,
c980839c,Eenatibandham ye Natido,1977,,,
5e1ee9ba,Manassakshi,1977,,,
d780fe52,Manushulu Chesina Dongalu,1977,,,
3363d2b4,Janmajanmala Bandham,1977,,,
6e60b98a,Savasagallu,1977,,,
96931682,Allari Bullodu,1978,,,
279f8440,Indradhanasu,1978,,,
f1d111a3,Mugguru Muggure,1978,,,
68296ecd,Yevadabbasommu,1979,,,
7e309a84,Dongalaku Savaal,1979,,,
c4fb906a,ViyyalavariKayyalu,1979,,,
2a164638,Muthaiduva,1979,,,
4d6cc573,Samajaniki Savaal,1979,,,
4bc4307e,Moodu Puvvulu Aaru Kayalu,1979,,,
d3cc338c,Captain Krishna,1979,,,
7d5061a3,Sanku Teertham,1979,,,
eaead374,Devudichina Koduku,1980,,,
edf03aba,Ragile Hrudayalu,1980,,,
2d320607,Allari Bava,1980,,,
6efe9780,Maa Inti Devatha,1980,,,
60eb07bb,Adhrustavanthudu,1980,,,
6470fbea,Bandodu Gundamma,1980,,,
95b6bb73,Hare Krishna Hallo Radha,1980,,,
c11a6394,Mayadari Alludu,1981,,,
2ebb7c19,Antham Kaadidi Aarambham,1981,,,
f35ab8c9,Thodu Dongalu,1981,,,
ce1390a1,Jathagadu,1981,,,
6e97dc8d,Bhoga Bagyalu,1981,,,
2454ce4b,Nayudu gari Abbai,1981,,,
8fd64134,Rahasya Gudachari,1981,,,
8189a985,Gadasari Atha Sogasari Kodalu,1981,,,
9ad4d972,Pagabattina Simham,1982,,,
22e305a7,Kalavari Samsaram,1982,,,
6712c7c7,Krishnaarjunulu,1982,,,
1cc11b7e,Doctor Cine Actor,1982,,,
1c313a4f,Prema Nakshathram,1982,,,
44f16014,Shamshare Shankar,1982,,,
03fc282a,Bangaru Koduku,1982,,,
a808a99a,Jagannatha Radhachakralu,1982,,,
4928ce91,Lankebindelu,1983,,,
d82fc1c8,Pulijoodam,1984,,,
bea79920,Kirai Alludu,1984,,,
34d0456a,Bangaru Kapuram,1984,,,
ea255a02,Uddhandudu,1984,,,
2781335e,Mukhyamanthri,1984,,,
19f855d5,Andharikante Monagadu,1985,,,
c715a5e6,Krishna Paramathma,1986,,,
619b4273,Brahmasthram,1986,,,
97d2ba05,Santhi Nivasam,1986,,,
f07f07e2,Naa Pilupe Prabahanajam,1986,,,
1a396f01,Parasuramudu,1986,,,
2b8c03e3,Khaidi Rudraiah,1986,,,
ed8154ff,Dongodochhadu,1987,,,
3d76c890,Tene Manasulu,1987,,,
939b71e2,Maharajasri Mayagadu,1988,,,
a551f58f,Dorakani Donga,1988,,,
30b79e6d,Praja Prathinidhi,1988,,,
e421f20f,Parthudu,1989,,,
6b1589a7,Prajala Manishi,1990,,,
ce42d0e4,Vishnu,1990,,,
c6c614a8,Raktha Tarpanam,1992,,,
f532cbd5,Kirayi Gunda,1993,,,
63a42b99,Yes Nenante Nene,1994,,,
0845888a,Doragariki Donga Pellam,1994,,,
45743030,Police Alludu,1994,,,
f5412bd1,Raitu Bharatam,1994,,,
e9e3bd4b,Super Mogudu,1995,,,
52daaa92,Real Hero,1995,,,
ca6eb5e6,Dear Brother,1995,,,
b6188415,Bharata Simham,1995,,,
f8021a22,Puttinti Gowravam,1996,,,
9f64bf52,Sampradayam,1996,,,
e5e4d317,Jagadeka Veerudu,1996,,,
c99c15d3,Pellala Rajyam,1996,,,
aea336d8,Bobbili Dora,1997,,,
26a96d53,Adhirindhi Guru,1997,,,
332afa52,Vareva Moguda,1998,,,
5ab34a76,Vaibhavam,1998,,,
0bde6bf3,Sambhavam,1998,,,
e1ed5b2a,Prathista,1998,,,
eb8cfe6b,Maanavudu Daanavudu,1999,,,
76f52f3c,Yee Taram Nehru,2000,,,
43a9287d,Dadagiri,2001,,,
b9fa13d1,CBI Officer,2004,,,
8218eff9,24 Gantalu,2004,,,
8b935f81,Evaru Nenu,2005,,,
f804d85a,Sardar Papanna,2006,,,
6dca1a30,Shirdi,2007,,,
06778b0d,Amma Nanna Lekunte,2007,,,
