ID,Title,Year,Rating,Current_Hero,Current_Director,Current_Heroine,Missing_Fields,NEW_Hero,NEW_Director,NEW_Heroine
e8a9d628-ce40-4cc1-81af-7fb497f03753,Pushpak Vimaan,2024,8.5,Rahul Sontu,Vignesh Rao,,Heroine,,,
fe661937-8d06-4ae9-bc82-98680e53def7,Dhira,2020,8.5,Vijay Sethupathi,Arun Kumar Rapolu,,Heroine,,,
ba5636d7-02a0-4d57-b596-011a9ea6c57f,Bheem-a,2025,8,Pandu Kantheti,Pawan Pamarthi,,Heroine,,,
e30c1f83-907d-48e4-bfe0-dd1305a3d0b6,Marokshanam,2023,8,GPA Prithvi,Sharath Mantripragada,,Heroine,,,
2b086bfa-76e2-49d9-83af-80111dd548dc,Arjun Chakravarthy: Journey of an Unsung Champion,2025,8,Dayanand Reddy,Vikrant Rudra,,Heroine,,,
bc72a900-6043-4a7f-bf75-b1b42c4bf548,Mahavatar Narsimha,2025,7.7,Harjeet Walia,Ashwin Kumar,,Heroine,,,
bdf60d66-1611-43f1-9af3-937ff381a104,Bakasura Restaurant,2025,7.5,Praveen,SJ shiva,,Heroine,,,
b97ef5ca-3966-4c69-845a-66355477d205,Crrush,2021,7.2,Krishna Burugula,Ravi Babu,,Heroine,,,
2d171b21-37dc-480c-b2f8-c1d886f090fb,Lover,2018,7,Ralph Sepe Jr.,Ralph Sepe Jr.,,Heroine,,,
a1e39129-2959-4842-b566-07ea94860806,Mr. King,2023,7,Tanikella Bharani,Sashidhar Chavali,,Heroine,,,
b3786f0a-32e0-4069-93b6-bb19f776ea3c,Top Gear,2022,7,Philippe Lellouche,Olivier Ruan,,Heroine,,,
eb1cb31f-66ec-4f97-b947-4174fe43b4eb,Kerosene,2022,7,Brahmaji,Dhruva,,Heroine,,,
265e00de-8d77-407b-9610-574b1055a27c,Kapata Nataka Sutradhari,2021,7,Chindulal Boda,Kranthi Saina,,Heroine,,,
c03f28b4-8b3b-4bda-a8f5-e47acbbe6773,Aakashavaani,2021,7,Samuthirakani,Ashwin Gangaraju,,Heroine,,,
96dddb0a-3d77-4416-a480-dd9f353060ee,True,2021,6.9,Mandala Syam,,,Director+Heroine,,,
b8dd0c09-7943-40ba-b120-82fd9a5e473e,Republic,2021,6.9,Rami Abou Jamra,Diana El Jeiroudi,,Heroine,,,
2b2435b2-4d27-4ec3-afda-975514cbb8ef,Gentleman,2016,6.8,Nani,Benoît Jacquot,,Heroine,,,
