ID,Title,Year,Current_Heroine,Current_Director,NEW_Heroine,NEW_Director
392b54ed,"Rendu Rella Aaru",1986,"Preeti","",,
ea7a259f,"Damit Katha Adam Thirigindi",1987,"Sita","",,
07e120ea,"Gundamma Gari Krishnulu",1987,"Rajani","",,
ee949bc8,"Aanimuthyam",1988,"Radhika","",,
6c4440ae,"Chalaki Mogudu Chavali Pellam",1989,"Rajani","",,
75a2c20f,"Zoo Laka Taka",1989,"Tulasi","",,
d346b527,"Mama Alludu",1990,"Vani Viswanath","",,
189f1c9d,"Ramba Rambabu",1990,"Parijata","",,
aaf79aaa,"April 1 Vidudala",1991,"Shobana","",,
7c2d57d3,"Akka Pethanam",1993,"Roja","",,
e8241d44,"Pekata Papa Rao",1993,"Kushboo","",,
8060afed,"Bramhachari Mogudu",1994,"Yamuna","",,
1604e09e,"Parugo Parugu",1994,"Shruti","",,
4a37b927,"Vaddu Bava Thappu",1995,"Ravali","",,
3f7cf95c,"Ketu Duplicatu",1995,"Surabhi","",,
f4204455,"Topi Raja Sweety Roja",1996,"Roja","",,
2cb5a2e1,"Kshemamga Velli Labhamga Randi",2000,"Roja","",,
cf411f77,"Antha Mana Manchike",2000,"Ramya Krishna","",,
659e225f,"Sriramachandrulu",2003,"Rambha","",,
8a76e114,"Pellam Pichodu",2005,"Richa Pallod","",,
7a5dc5f8,"Quick Gun Murugun",2009,"Rambha","",,
fae84446,"Shashtipoorthi",2025,"Archana","",,
