ID,Title,Year,Heroine,Director,NEW_Cast
75229791,"Adadhee Gadapa Datithe",1980,"No Female Lead","B. S. Narayana",
ac8bc3f8,"Nalugu Stambalata",1982,"Kavitha","Jandhyala",
d68c63dc,"Antham Chusina Adadhi",1983,"Jyothi","Bhargava",
e8d7e07c,"Grahanam Vidichindi",1983,"Poornima","Murali Mohan",
189f1ec7,"Rangula Kala",1983,"Subhashini","Jandhyala",
00c6b194,"Subha Muhurtham",1983,"Vijayashanti","Relangi Narasimha Rao",
34fc3119,"Muggurammayila Mogudu",1983,"Shanthi Priya","Kodandarami Reddy",
e8cd2aec,"Kunkuma Tilakam",1983,"Sumalatha","Bhargava",
c09b2afe,"Ee Desamlo Oka Roju",1983,"Kavitha","Satyanarayana Vejella",
c3bcd7cd,"Idhi Kadhu Mugimpu",1983,"Geetha","Satyanarayana Vejella",
2743401f,"Gruhalakshmi",1984,"Tulasi","Bhargava",
4b784654,"Mahanagaramlo Mayagadu",1984,"Poornima","Kodandarami Reddy",
29c1e06c,"Allullostunnaru",1984,"Rajani","K",
f8832386,"Kurra Cheshtalu",1984,"Poornima","A Kodandarami Reddy",
fc6d3d60,"Kattula Kondayya",1985,"Sumalatha","K. Vasu",
7cff108d,"Kongu Mudi",1985,"Sumalatha","Kodi Ramakrishna",
542aaae4,"Tirugubatu",1985,"Poornima","A Kodandarami Reddy",
261915c3,"Jailu Pakshi",1986,"Urvasi","Kodandarami Reddy",
84deddf2,"Pavitra",1986,"Chandra","Vinay",
b0a63406,"G. Krishnamurthy",1986,"Sumalatha","K. Vasu",
9c68db9e,"Punyasthree",1986,"Deepti","Muthyala Subbaiah",
0b33e547,"Aadi Dampatulu",1986,"Rambha","Relangi Narasimha Rao",
385f644d,"Shrutilayalu",1987,"Sumalatha","K. Vasu",
b5a782cb,"Madana Gopaludu",1987,"Gautami","P. N. Ramachandra Rao",
e8f77213,"K. Rama Mohan Rao",1987,"Rambha","Sarada, Kalyan Chakravarty, Monisha Unni",
65455151,"Lawyer Suhasini",1987,"Saritha","Vamsy",
d6826434,"P. N. Ramachandra Rao",1987,"Sunitha","Rajendra Prasad, Chandra Mohan, Gautami",
82b7f745,"Dammit Katha Addam Thirigindi",1987,"Chandra Mohan","K. Vasu",
c75a4d85,"Maa Ooru",1987,"Gautami","Kodanda Rami Reddy",
b8a5fa84,"Nakoo Pellam Kavali",1987,"Shantipriya","Vijaya Bapineedu",
f85e93be,"Thene Manasulu",1987,"Archana","K. Vasu",
4e3f5e6f,"Jandhyala",1987,"Jaya Sudha","Jandhyala",
1b1f4ffb,"Sruthilayalu",1987,"Sumalatha","K. Vasu",
4ddbadc4,"Thrimoorthulu",1987,"Rajani","K. Murali Mohan",
b6d3b8e2,"Kallu",1988,"Sumalatha","Muthyala Subbaiah",
7de81575,"Tiragabadda Telugubidda",1988,"Nagma","Vamsy",
4767ac9a,"Prana Snehithulu",1988,"Rajani","Vamsy",
dd43cb54,"Chikkadu Dorakadu",1988,"Ashwini","Kodanda Rami Reddy",
6ff03969,"Donga Ramudu",1988,"Rajani","Kodanda Rami Reddy",
9b1f5d12,"Maharajashri Mayagaadu",1988,"Ashwini","Kodanda Rami Reddy",
7cc9a091,"Jayamu Nischayamu Raa",1989,"Chandra Mohan","Jandhyala",
