ID,Title,Year,Has_Poster,Has_Synopsis,Notes
392b54ed,"Rendu Rella Aaru",1986,No,No,
ea7a259f,"Damit Katha Adam Thirigindi",1987,No,No,
07e120ea,"Gundamma Gari Krishnulu",1987,No,No,
ee949bc8,"Aanimuthyam",1988,No,No,
6c4440ae,"Chalaki Mogudu Chavali Pellam",1989,No,No,
75a2c20f,"Zoo Laka Taka",1989,No,No,
189f1c9d,"Ramba Rambabu",1990,No,No,
d346b527,"Mama Alludu",1990,No,No,
aaf79aaa,"April 1 Vidudala",1991,No,No,
289f82e3,"Appula Appa Rao",1992,No,No,
e8241d44,"Pekata Papa Rao",1993,No,No,
7c2d57d3,"Akka Pethanam",1993,No,No,
8060afed,"Bramhachari Mogudu",1994,No,No,
1604e09e,"Parugo Parugu",1994,No,No,
4a37b927,"Vaddu Bava Thappu",1995,No,No,
3f7cf95c,"Ketu Duplicatu",1995,No,No,
f4204455,"Topi Raja Sweety Roja",1996,No,No,
2cb5a2e1,"Kshemamga Velli Labhamga Randi",2000,No,No,
cf411f77,"Antha Mana Manchike",2000,No,No,
659e225f,"Sriramachandrulu",2003,No,No,
8a76e114,"Pellam Pichodu",2005,No,No,
7a5dc5f8,"Quick Gun Murugun",2009,No,No,
fae84446,"Shashtipoorthi",2025,No,No,
