ID,Title,Year,Heroine,Director,Cast,Poster,Synopsis,Status
75229791,"Adadhee Gadapa Datithe",1980,"No Female Lead","B. S. Narayana","",Yes,Yes,C
ac8bc3f8,"Nalugu Stambalata",1982,"Kavitha","Jandhyala","",Yes,Yes,C
d68c63dc,"Antham Chusina Adadhi",1983,"Jyothi","Bhargava","",Yes,Yes,C
e8d7e07c,"Grahanam Vidichindi",1983,"Poornima","Murali Mohan","",Yes,Yes,C
189f1ec7,"Rangula Kala",1983,"Subhashini","Jandhyala","",Yes,Yes,C
00c6b194,"Subha Muhurtham",1983,"Vijayashanti","Relangi Narasimha Rao","",Yes,Yes,C
34fc3119,"Muggurammayila Mogudu",1983,"Shanthi Priya","Kodandarami Reddy","",Yes,Yes,C
e8cd2aec,"Kunkuma Tilakam",1983,"Sumalatha","Bhargava","",Yes,Yes,C
c09b2afe,"Ee Desamlo Oka Roju",1983,"Kavitha","Satyanarayana Vejella","",Yes,Yes,C
c3bcd7cd,"Idhi Kadhu Mugimpu",1983,"Geetha","Satyanarayana Vejella","",Yes,Yes,C
2743401f,"Gruhalakshmi",1984,"Tulasi","Bhargava","",Yes,Yes,C
4b784654,"Mahanagaramlo Mayagadu",1984,"Poornima","Kodandarami Reddy","",Yes,Yes,C
29c1e06c,"Allullostunnaru",1984,"Rajani","K","",Yes,Yes,C
f8832386,"Kurra Cheshtalu",1984,"Poornima","A Kodandarami Reddy","",Yes,Yes,C
fc6d3d60,"Kattula Kondayya",1985,"Sumalatha","K. Vasu","",Yes,Yes,C
7cff108d,"Kongu Mudi",1985,"Sumalatha","Kodi Ramakrishna","",Yes,Yes,C
542aaae4,"Tirugubatu",1985,"Poornima","A Kodandarami Reddy","",Yes,Yes,C
6442fa07,"Muchataga Mugguru",1985,"Kongara Jaggaiah's daughter, but I am not confident about her name, so: Unknown","Relangi Narasimha Rao","Rajendra Prasad",Yes,Yes,Complete
dfa651e4,"Preminchu Pelladu",1985,"Rajani","Vamsy","Kaikala Satyanarayana; Subhalekha Sudhakar; Rallap",Yes,Yes,Complete
392b54ed,"Rendu Rella Aaru",1986,"Preeti","","Chandra Mohan; Rajani; Sakshi Ranga Rao",No,No,D,P,S
261915c3,"Jailu Pakshi",1986,"Urvasi","Kodandarami Reddy","",Yes,Yes,C
716f59df,"Ladies Tailor",1986,"Archana","Vamsy","{"name":"Rajendra Prasad","character":"Sundaram","",Yes,Yes,Complete
84deddf2,"Pavitra",1986,"Chandra","Vinay","",Yes,Yes,C
b0a63406,"G. Krishnamurthy",1986,"Sumalatha","K. Vasu","",Yes,Yes,C
9c68db9e,"Punyasthree",1986,"Deepti","Muthyala Subbaiah","",Yes,Yes,C
8093a4d5,"Kaashmora",1986,"Bhanupriya","N. B. Chakravarthy","{"name":"Rajendra Prasad","character":"Darkha","or",Yes,Yes,Complete
0b33e547,"Aadi Dampatulu",1986,"Rambha","Relangi Narasimha Rao","",Yes,Yes,C
fd138a37,"Rendu Rellu Aaru",1986,"Rajani","Jandhyala Subramanya Sastry","{"name":"Rajendra Prasad","character":"Madhu","ord",Yes,Yes,Complete
385f644d,"Shrutilayalu",1987,"Sumalatha","K. Vasu","",Yes,Yes,C
b5a782cb,"Madana Gopaludu",1987,"Gautami","P. N. Ramachandra Rao","",Yes,Yes,C
e8f77213,"K. Rama Mohan Rao",1987,"Rambha","Sarada, Kalyan Chakravarty, Monisha Unni","",Yes,Yes,C
ea7a259f,"Damit Katha Adam Thirigindi",1987,"Sita","","Naresh; Subhalekha Sudhakar; Jeeva",No,No,D,P,S
65455151,"Lawyer Suhasini",1987,"Saritha","Vamsy","",Yes,Yes,C
d6826434,"P. N. Ramachandra Rao",1987,"Sunitha","Rajendra Prasad, Chandra Mohan, Gautami","",Yes,Yes,C
82b7f745,"Dammit Katha Addam Thirigindi",1987,"Chandra Mohan","K. Vasu","",Yes,Yes,C
c75a4d85,"Maa Ooru",1987,"Gautami","Kodanda Rami Reddy","",Yes,Yes,C
b8a5fa84,"Nakoo Pellam Kavali",1987,"Shantipriya","Vijaya Bapineedu","",Yes,Yes,C
