"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Agni","1989","lead","Yes","","tmdb, wikidata","0.75","Added","1079595","tt0257373"
"Bava Nachadu","2001","lead","Yes","","tmdb, wikidata","0.75","Exists","40908","tt1604887"
"Kedi","2010","lead","Yes","","tmdb, wikidata","0.75","Exists","41337","tt1582524"
"Angaaray","1998","supporting","No","","tmdb, wikidata","0.75","Added","626708","tt0288427"
"Agni Putrudu","1987","lead","Yes","","tmdb, wikidata","0.75","Added","307988","tt0257375"
"Sri Ramadasu","2006","lead","Yes","","tmdb, wikidata","0.75","Exists","63434","tt0459205"
"Rao Gari Illu","1988","cameo","No","","tmdb","0.50","Added","1113486",""
"Don","2007","lead","Yes","","tmdb, wikidata","0.75","Exists","66107","tt1169270"
"Annamayya","1997","lead","Yes","","tmdb, wikidata","0.75","Exists","80798","tt0249361"
"Boss","2006","lead","Yes","","tmdb, wikidata","0.75","Exists","80804","tt0843327"
"Khuda Gawah","1992","supporting","No","","tmdb, wikidata","0.75","Added","51725","tt0104607"
"Mass","2004","lead","Yes","","tmdb, wikidata","0.75","Exists","81088","tt0445033"
"King","2008","lead","Yes","","tmdb, wikidata","0.75","Exists","71918","tt1305803"
"Rakshana","1993","lead","Yes","","tmdb, wikidata","0.75","Exists","82605","tt1579682"
"Nirnayam","1991","lead","Yes","","tmdb, wikidata","0.75","Exists","54303","tt0255425"
"Santosham","2002","lead","Yes","","tmdb, wikidata","0.75","Exists","54304","tt0399608"
"Ragada","2010","lead","Yes","","tmdb, wikidata","0.75","Exists","54069","tt1754394"
"Gaganam","2011","lead","Yes","","tmdb","0.50","Exists","59900",""
"Agni Varsha","2002","supporting","No","","tmdb, wikidata","0.75","Added","97350","tt0326722"
"Mr. Bechara","1996","supporting","No","","tmdb","0.50","Added","142136",""
"Shiva","1990","lead","Yes","","tmdb, wikidata","0.75","Exists","109001","tt14984074"
"Damarukam","2012","lead","Yes","","tmdb","0.50","Exists","145335",""
"Aavida Maa Aavide","1998","lead","Yes","","tmdb, wikidata","0.75","Exists","115048","tt0358914"
"Gunda Mawali","1998","lead","Yes","","tmdb","0.50","Exists","115074",""
"Azad","2000","lead","Yes","","tmdb, wikidata","0.75","Exists","115265","tt0278274"
"Geethanjali","1989","lead","Yes","","tmdb","0.50","Exists","148808",""
"Super","2005","lead","Yes","","tmdb, wikidata","0.75","Exists","148839","tt0475735"
"Krishnarjuna","2008","lead","Yes","","tmdb, wikidata","0.75","Added","117844","tt1150946"
"Ninne Pelladatha","1996","lead","Yes","","tmdb","0.50","Exists","137455",""
"Nuvvu Vastavani","2000","lead","Yes","","tmdb, wikidata","0.75","Exists","137466","tt1575647"
"Shirdi Sai","2012","lead","Yes","","tmdb, wikidata","0.75","Exists","138078","tt2397561"
"Greeku Veerudu","2013","lead","Yes","","tmdb, wikidata","0.75","Exists","181930","tt2653804"
"Rajanna","2011","lead","Yes","","tmdb, wikidata","0.75","Exists","200297","tt1869640"
"Naa Saami Ranga","2024","lead","Yes","","tmdb","0.50","Exists","1171096",""
"Kuberaa","2025","lead","Yes","","tmdb","0.50","Added","1171101",""
"Ravoyi Chandamama","1999","lead","Yes","","tmdb, wikidata","0.75","Added","214022","tt0269821"
"Manam","2014","lead","Yes","","tmdb","0.50","Exists","253533",""
"Bhai","2013","lead","Yes","","tmdb, wikidata","0.75","Exists","241123","tt2644178"
"Jagadguru Adi Shankara","2013","lead","Yes","","tmdb","0.50","Added","244025",""
"Sivamani","2003","lead","Yes","","tmdb","0.50","Exists","260016",""
"Nenunnanu","2004","lead","Yes","","tmdb, wikidata","0.75","Exists","265973","tt0417010"
"Chandralekha","1998","lead","Yes","","tmdb, wikidata","0.75","Added","281946","tt1489155"
"Killer","1992","lead","Yes","","tmdb","0.50","Exists","281960",""
"LOC: Kargil","2003","supporting","No","","tmdb, wikidata","0.75","Added","71920","tt0347416"
"Zakhm","1998","supporting","No","","tmdb, wikidata","0.75","Added","155308","tt0211126"
"Manmadhudu","2002","lead","Yes","","tmdb, wikidata","0.75","Exists","81083","tt0355742"
"President Gari Pellam","1992","lead","Yes","","tmdb, wikidata","0.75","Exists","1022684","tt1579866"
"Sudigundalu","1968","cameo","No","","tmdb","0.50","Added","315627",""
"Ratchagan","1997","lead","Yes","","tmdb, wikidata","0.75","Exists","179848","tt0485270"
"Inji Iduppazhagi","2015","cameo","No","","tmdb","0.50","Added","357708",""
"Style","2006","supporting","No","","tmdb","0.50","Added","224953",""
"Oopiri","2016","lead","Yes","","tmdb, wikidata","0.75","Exists","369925","tt5039054"
"Akhil","2015","cameo","No","","tmdb","0.50","Added","370986",""
"Sisindri","1995","lead","Yes","","tmdb","0.50","Exists","307954",""
"Soggade Chinni Nayana","2016","lead","Yes","","tmdb, wikidata","0.75","Exists","378777","tt5340522"
"Varasudu","1993","lead","Yes","","tmdb, wikidata","0.75","Added","410308","tt0306186"
"Exploring ''Shiva'' Movie After 25 Years","2014","lead","Yes","","tmdb","0.50","Exists","1328515",""
"Coolie","2025","lead","Yes","","tmdb, wikidata","0.75","Added","1153399","tt27441481"
"Siva","1989","lead","Yes","","tmdb, wikidata","0.75","Added","354630","tt0248428"
"Om Namo Venkatesaya","2017","lead","Yes","","tmdb, wikidata","0.75","Exists","443640","tt6182372"
"Criminal","1995","lead","Yes","","tmdb","0.50","Exists","80931",""
"Govindha Govindha","1993","lead","Yes","","tmdb","0.50","Exists","462350",""
"Raju Gari Gadhi 2","2017","lead","Yes","","tmdb, wikidata","0.75","Exists","480812","tt6280328"
"Hello Brother","1994","lead","Yes","","tmdb, wikidata","0.75","Exists","496698","tt0282554"
"Aakhari Poratam","1988","lead","Yes","","tmdb, wikidata","0.75","Exists","307981","tt0186807"
"Allari Alludu","1993","lead","Yes","","tmdb, wikidata","0.75","Exists","500614","tt1579519"
"Vijay","1989","lead","Yes","","tmdb, wikidata","0.75","Exists","503449","tt1300376"
"Majnu","1987","lead","Yes","","tmdb, wikidata","0.75","Exists","500208","tt0262593"
"Antam","1992","lead","Yes","","tmdb","0.50","Added","527708",""
"Officer","2018","lead","Yes","","tmdb","0.50","Exists","527862",""
"Jaitra Yatra","1991","lead","Yes","","tmdb, wikidata","0.75","Exists","530751","tt1579781"
"Kirayi Dada","1987","lead","Yes","","tmdb","0.50","Exists","530754",""
"Snehamante Idera","2001","lead","Yes","","tmdb, wikidata","0.75","Exists","303916","tt1575682"
"Seetharama Raju","1999","lead","Yes","","tmdb, wikidata","0.75","Exists","303318","tt1601224"
"Eduruleni Manishi","2001","lead","Yes","","tmdb, wikidata","0.75","Exists","308019","tt0319336"
"Ninne Premistha","2000","supporting","No","","tmdb, wikidata","0.75","Added","307920","tt1579821"
"Devadas","2018","lead","Yes","","tmdb, wikidata","0.75","Added","550864","tt8661814"
"Premam","2016","cameo","No","","tmdb","0.50","Added","409255",""
"Janaki Ramudu","1988","lead","Yes","","tmdb, wikidata","0.75","Exists","81063","tt0257808"
"Chaitanya","1991","lead","Yes","","tmdb","0.50","Exists","307806",""
"Captain Nagarjuna","1986","lead","Yes","","tmdb","0.50","Exists","307953",""
"Collector Gari Abbai","1987","lead","Yes","","tmdb, wikidata","0.75","Exists","577298","tt1503103"
"Gharana Bullodu","1995","lead","Yes","","tmdb, wikidata","0.75","Exists","261568","tt0257711"
"Chinababu","1988","lead","Yes","","tmdb, wikidata","0.75","Exists","577335","tt0319182"
"Iddaru Iddare","1990","lead","Yes","","tmdb","0.50","Exists","577357",""
