"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Kurumbu","2003","lead","Yes","","tmdb, wikidata","0.75","Exists","63819","tt1503131"
"Aha Naa Pellanta","2011","lead","Yes","","tmdb, wikipedia, wikidata","0.95","Exists","67902","tt2071405"
"Seema Tapakai","2011","lead","Yes","","tmdb, wikidata","0.75","Exists","69925","tt1946389"
"Blade Babji","2008","lead","Yes","","tmdb, wikidata","0.75","Exists","80943","tt1582481"
"Gamyam","2008","lead","Yes","","tmdb, wikipedia, wikidata","0.95","Added","80994","tt1583256"
"Seema Sastri","2007","lead","Yes","","tmdb, wikidata","0.75","Exists","82312","tt1294209"
"Siddu from Srikakulam","2008","lead","Yes","","tmdb","0.50","Exists","82570",""
"Subhapradam","2010","lead","Yes","","tmdb","0.50","Exists","82785",""
"Madatha Kaaja","2011","lead","Yes","","tmdb","0.50","Exists","85952",""
"Betting Bangarraju","2010","lead","Yes","","tmdb","0.50","Exists","77799",""
"Kathi Kanta Rao","2010","lead","Yes","","tmdb","0.50","Exists","77802",""
"Pelli Kani Prasad","2003","lead","Yes","","tmdb","0.50","Exists","1142514",""
"Poraali","2011","lead","Yes","","tmdb","0.50","Exists","79333",""
"Sudigaadu","2012","lead","Yes","","tmdb","0.50","Exists","155738",""
"Allari","2002","lead","Yes","","tmdb, wikipedia, wikidata","0.95","Exists","115056","tt3387140"
"Allare Allari","2006","lead","Yes","","tmdb, wikidata","0.75","Exists","115053","tt1601798"
"Danger","2005","lead","Yes","","tmdb, wikidata","0.75","Exists","132445","tt1579943"
"Bendu Apparao R.M.P","2009","lead","Yes","","tmdb, wikidata","0.75","Exists","117008","tt1616533"
"Maa Alludu Very Good","2003","lead","Yes","","tmdb","0.50","Exists","117847",""
"Nuvva Nena","2012","lead","Yes","","tmdb, wikipedia","0.75","Exists","137462",""
"Athili Sathibabu LKG","2007","lead","Yes","","tmdb","0.50","Exists","200029",""
"Saradaga Kasepu","2010","lead","Yes","","tmdb, wikidata","0.75","Exists","200305","tt2096589"
"Yamudiki Mogudu","2012","lead","Yes","","tmdb, wikidata","0.75","Exists","196801","tt2433542"
"Action 3D","2013","lead","Yes","","tmdb, wikipedia, wikidata","0.95","Exists","224219","tt2370244"
"Kevvu Keka","2013","lead","Yes","","tmdb, wikidata","0.75","Exists","225547","tt2433528"
"Thotti Gang","2002","lead","Yes","","tmdb, wikidata","0.75","Exists","228341","tt0356138"
"Laddu Babu","2014","lead","Yes","","tmdb, wikipedia, wikidata","0.95","Exists","264187","tt5016538"
"Vishaka Express","2008","lead","Yes","","tmdb, wikidata","0.75","Exists","281937","tt1285147"
"Pellaindi Kaani","2007","lead","Yes","","tmdb, wikidata","0.75","Exists","1214822","tt1285001"
"Naa Saami Ranga","2024","lead","Yes","","tmdb, wikipedia","0.75","Exists","1171096",""
"Kithakithalu","2006","lead","Yes","","tmdb, wikidata","0.75","Exists","311637","tt1579965"
"Itlu Maredumilli Prajaneekam","2022","lead","Yes","","tmdb, wikipedia","0.75","Exists","1030078",""
"Fitting Master","2009","lead","Yes","","tmdb, wikipedia, wikidata","0.95","Exists","81975","tt1606217"
"Pranam","2003","lead","Yes","","tmdb","0.50","Added","307938",""
