Year,Title,Slug,Hero,Heroine,Director,Music Director,Cinematographer,Editor,Writer,Producer,TMDB ID,Genres
2026,Sabhaku Namaskaram,sabhaku-namaskaram-2026,Allari Naresh,,Sateesh Mallampati,Sri Charan Pakala,Chota K. Naidu,Thammiraju,Abburi Ravi,Mahesh Koneru,14999790,Political; Comedy
2026,Alcohol,alcohol-2026,Allari Naresh,Ruhani Sharma,Meher Tej,Ghibran,Jiju Sunny,Niranjan Devaramane,Meher Tej & Udbhav Raghunandan,"S. Naga Vamsi, Sai Soujanya",1403166,Comedy; Drama; Thriller
2025,12A Railway Colony,12a-railway-colony-2025,Allari Naresh,Kamakshi Bhaskarla,Nani Kasaragadda,Bheems Ceciroleo,Kushendar Ramesh Reddy,Nani Kasaragadda,Anil Viswanath,Srinivasaa Chitturi,1450340,Horror; Thriller
2024,Bachhala Malli,bachhala-malli-2024,Allari Naresh,Amritha Aiyer,Subbu Mangadevi,Vishal Chandrasekhar,Richard M. Nathan,Chota K. Prasad,Subbu Mangadevi,Razesh Danda,1399790,Action; Drama
2024,Naa Saami Ranga,naa-saami-ranga-2024,"Akkineni Nagarjuna, Allari Naresh",Ashika Ranganath,Vijay Binni,M.M. Keeravaani,Dasaradhi Sivendra,Chota K. Prasad,Prasanna Kumar Bejawada,Srinivasaa Chitturi,1171804,Action; Drama
2024,Aa Okkati Adakku,aa-okkati-adakku-2024,Allari Naresh,Faria Abdullah,Malli Ankam,Gopi Sundar,Suryaa,Chota K. Prasad,Abburi Ravi,Rajiv Chilaka,1240173,Comedy
2023,Ugram,ugram-2023,Allari Naresh,Mirnaa,Vijay Kanakamedala,Sricharan Pakala,Siddharth J,Chota K. Prasad,Vijay Kanakamedala & Abburi Ravi,Sahu Garapati & Harish Peddi,1089201,Action; Thriller
2022,Itlu Maredumilli Prajaneekam,itlu-maredumilli-prajaneekam-2022,Allari Naresh,Anandhi,A. R. Mohan,Sricharan Pakala,Raam Reddy,Chota K. Prasad,A. R. Mohan & Abburi Ravi,Razesh Danda,1030078,Drama; Action
2021,Naandhi,naandhi-2021,Allari Naresh,Varalaxmi Sarathkumar,Vijay Kanakamedala,Sricharan Pakala,Siddharth J,Chota K. Prasad,Toom Venkat,Satish Varma,782976,Crime; Drama; Thriller
2021,Bangaru Bullodu,bangaru-bullodu-2021,Allari Naresh,Pooja Jhaveri,Veligonda Srinivas,Sai Karthik,Satish Mutyala,M. R. Varma,Veligonda Srinivas,Sunkara Ramabrahmam,789229,Comedy; Family; Romance
2018,Silly Fellows,silly-fellows-2018,Allari Naresh,Chitra Shukla,Bhimaneni Srinivasa Rao,Sri Vasanth,Anish Tharun Kumar,Gautham Raju,Bhimaneni Srinivasa Rao,Kiran Reddy,541571,Comedy
2017,Meda Meeda Abbayi,meda-meeda-abbayi-2017,Allari Naresh,Nikhila Vimal,G. Prajith,Shaan Rahman,Kunjunni S. Kumar,Nandamuri Hari,"Vineeth Sreenivasan (story), Hyper Aadi & Gundimeda Chandrasekhar (dialogues)",Boppana Chandrasekhar,474958,Comedy; Drama; Romance
2016,Intlo Deyyam Nakem Bhayam,intlo-deyyam-nakem-bhayam-2016,Allari Naresh,Kruthika Jayakumar,G. Nageswara Reddy,Sai Karthik,Dasaradhi Sivendra,Kotagiri Venkateswara Rao,G. Nageswara Reddy,B. V. S. N. Prasad,433673,Horror; Comedy
2016,Selfie Raja,selfie-raja-2016,Allari Naresh,Sakshi Chaudhary,G. Nageswara Reddy,Sai Karthik,Loganathan Srinivasan,M. R. Varma,Sreedhar Seepana,Chalasani Rambrahmam Chowdary,406085,Comedy
2015,Mama Manchu Alludu Kanchu,mama-manchu-alludu-kanchu-2015,Allari Naresh,Mohan Babu,Srinivas Reddy,Raghu Kunche,Balamurugan,Gowtham Raju,Srinivasa Reddy & Sridhar Seepana,Vishnu Manchu,401901,Comedy; Drama; Family
2015,Bandipotu,bandipotu-2015,Allari Naresh,Eesha Rebba,Mohan Krishna Indraganti,Kalyani Malik,P.G. Vinda,Dharmendra Kakarala,Mohana Krishna Indraganti,Aryan Rajesh,465571,Comedy; Crime; Action
2015,James Bond,james-bond-2015,Allari Naresh,Sakshi Chaudhary,Sai Kishore Macha,Sai Karthik,Loganathan Srinivasan,Tyler Gibb,Tyler Gibb,Ramabrahmam Sunkara (A.K. Entertainments),360133,Comedy; Action
2014,Laddu Babu,laddu-babu-2014,Allari Naresh,Bhumika Chawla,Ravi Babu,Ravi Babu,N. Sudhakar Reddy,Marthand K. Venkatesh,"Ravi Babu, Nivas",Tripuraneni Rajendra,264187,Comedy; Family; Drama
2014,Jump Jilani,jump-jilani-2014,Allari Naresh,Isha Chawla,E.Sattibabu,Sundar C,Dasaradhi Sivendra,Gautham Raju,Sundar C,Ambika Raja,422578,Comedy; Romance; Action
2014,Brother of Bommali,brother-of-bommali-2014,Allari Naresh,Karthika Nair,Chinni Krishna,Shekar Chandra,Vijay Adusumilli,Gautham Raju,"B Chinni Krishna, Vikram Raj",Ammiraju Kanumilli,307751,Comedy; Family; Drama
2013,Kevvu Keka,kevvu-keka-2013,Allari Naresh,Sharmiela Mandre,Devi Prasad,Bheems Ceciroleo,Adusumilli Vijay Kumar,Nandamuri Hari,Devi Prasad & Satish Vegesna,Boppana Chandrasekhar,225547,Comedy
2013,Action 3D,action-3d-2013,Allari Naresh,Shaam,Anil Sunkara,Bappi Lahiri,Sarvesh Murari,M. R. Varmaa,Anil Sunkara,Rama Brahmam Sunkara,224219,Comedy
2012,Yamudiki Mogudu,yamudiki-mogudu-2012,Allari Naresh,Richa Panai,E Sattibabu,Allari Naresh,Ravindra Babu,Gautham Raju,E Sattibabu,Chanti Addala,153678,Romance; Drama; Family
2012,Nuvva Nena,nuvva-nena-2012,Allari Naresh,Shriya Saran,P. Narayana,Bheems Ceciroleo,Sreeram,Marthand K. Venkatesh,P. Narayana,Vamsi Krishna Reddy,104869,Comedy; Romance
2012,Sudigaadu,sudigaadu-2012,Allari Naresh,Kovai Sarala,Bhimaneni Srinivasa Rao,Sri Vasanth,Adusumilli Vijay Kumar,Gautham Raju,Bhimimaneni Srinivasa Rao,Bhimimaneni Sunitha,128564,Comedy
2011,Madatha Kaja,madatha-kaja-2011,Allari Naresh,Sneha,Sathyam Bellamkonda,Allari Naresh,Adusumilli Vijay Kumar,M. R. Varma,Sathyam Bellamkonda,Vedula Balaji,110901,Comedy; Romance; Family
2011,Seema Tapakai,seema-tapakai-2011,Allari Naresh,Poorna,G. Nageswara Reddy,Vandemataram Srinivas,Adusumilli Vijay Kumar,M. R. Varma,G. Nageswara Reddy,Malla Vijaya Prasad,82455,Comedy; Drama; Family
2011,Aha Naa Pellanta,aha-naa-pellanta-2011,Allari Naresh,Ritu Bharmecha,Veerabhadram,Raghu Kunche,Adusumilli Vijay Kumar,M. R. Varma,Veerabhadram Chowdary,Anil Sunkara,82452,Action; Comedy
2010,Betting Bangarraju,betting-bangarraju-2010,Allari Naresh,Surekha Vani,E. Sathi Babu,Shekar Chandra,Sravan Kumar,M. R. Varma,E. Sattibabu,Usha Kiran Movies,215582,Drama; Comedy; Thriller
2010,Saradaga Kasepu,saradaga-kasepu-2010,Allari Naresh,Madhuri Itagi,Vamsy,Vamsy,Sravan Kumar,M. R. Varma,Vamsy,M. L. Kumar Chowdary,110903,Comedy; Romance; Family
2010,Shubhapradham,shubhapradham-2010,Allari Naresh,Manjari Phadnis,K. Viswanath,K. Viswanath,K. Dutt,G. G. Krishna Rao,K. Viswanath,B. K. Gangadhar,243956,Drama; Family; Comedy
2010,Kathi Kantha Rao,kathi-kantha-rao-2010,Allari Naresh,Kamna Jethmalani,E V V Satyanarayana,E. V. V. Satyanarayana,Adusumilli Vijay Kumar,Mallikarjun,Prasad Varma,Allari Naresh,77802,Comedy; Action; Romance
2010,Rambabu Gadi Pellam,rambabu-gadi-pellam-2010,Allari Naresh,,Kapuganti Rajendra,Murali Mani,Adusumilli Vijay Kumar,Nandamuri Hari,Kapuganti Rajendra,M. Chandra Sekhar,462947,Comedy
2010,Aakasa Ramanna,aakasa-ramanna-2010,Allari Naresh,Meera Jasmine,G. Ashok,Chakri,Sai Sriram,Praveen Pudi,G. Ashok,Manyam Ramesh,339178,Comedy; Thriller
2009,Fitting Master,fitting-master-2009,Allari Naresh,Madalsa Sharma,E. V. V. Satyanarayana,Chinna,Prasad Murella,Gautham Raju,E. V. V. Satyanarayana,Malla Vijaya Prasad,117004,Comedy; Action
2009,Bendu Apparao R.M.P,bendu-apparao-r-m-p-2009,Allari Naresh,Kamna Jethmalani,E. V. V. Satyanarayana,Koti,V. Srinivasa Reddy,Gautham Raju,E. V. V. Satyanarayana Veligonda Srinivas  (dialogues),D. Ramanaidu,110902,Comedy
2008,Vishaka Express,vishaka-express-2008,Allari Naresh,Vijayalakshmi,C. Ramakrishna,Vijay Kurakula,Prasad Murella,M. R. Varma,Murali Krishna,Sunkara Madhu Murali,221588,Action; Drama; Thriller
2008,Pelli Kani Prasad,pelli-kani-prasad-2008,Allari Naresh,Sridevi Vijaykumar,Satyam Dwarapudi,Sekar Chandra,Sujatha Siddharth,Madhu,Satyam Dwarapudi,K. Y. Babu,1142514,Drama; Romance; Family
2008,Blade Babji,blade-babji-2008,Allari Naresh,Hema,Devi Prasad,Koti,Sravan Kumar,M. R. Varma,Devi Prasad,Muthyala Satya Kumar,221590,Comedy; Romance
2008,Bommana Brothers Chandana Sisters,bommana-brothers-chandana-sisters-2008,Allari Naresh,Krishna Bhagavan,Srinivas Reddy,M. M. Srilekha,Sravan Kumar,M. R. Varma,Srinivasa Reddy,Ammi Raju,215580,Comedy; Drama
2008,Dongala Bandi,dongala-bandi-2008,Allari Naresh,Kovai Sarala,Satish Vegesna,Valluri Raja Sekhar,Adusumilli Vijay Kumar,M. R. Varma,Vegesna Satish,G. S. Babu,215581,Adventure; Comedy
2008,Sundarakanda,sundarakanda-2008,Allari Naresh,Charmme Kaur,Bapu,Vidyasagar,P. R. K. Raju,Gautham Raju,Bapu & Mullapudi Venkata Ramana,K. Appa Rao,253818,Drama; Romance; Family; Mythological
2008,Siddu from Srikakulam,siddu-from-srikakulam-2008,Allari Naresh,Manjari Fadnnis,Eashwar,K M Radha Krishnan,Adusumilli Vijay Kumar,Marthand K. Venkatesh,Eashwar,Malla Vijaya Prasad,215579,Comedy
2007,Allare Allari,allare-allari-2007,Allari Naresh,Parvati Melton,Muppalaneni Siva,Chakri,Adusumilli Vijay Kumar,Gautham Raju,Muppalaneni Shiva,S. K. Rahim,221586,Comedy; Romance; Drama
2007,Pellaindi Kaani,pellaindi-kaani-2007,Allari Naresh,Kamalinee Mukherjee,E. V. V. Satyanarayana,Kamalakar,V. Srinivasa Reddy,Gautham Raju,E. V. V. Satyanarayana,Muppalaneni Siva,315222,Comedy; Romance
2007,Seema Sastri,seema-sastri-2007,Allari Naresh,Farzana,G. Nageswara Reddy,Vandemataram Srinivas,Adusumilli Vijay Kumar,M. R. Varma,G. Nageswara Reddy,Chavali Ramanjaneyulu,1142512,Comedy; Action
2007,Athili Sathibabu LKG,athili-sathibabu-lkg-2007,Allari Naresh,Kausha Rach,E.V.V. Satyanarayana,,Sravan Kumar,M. R. Varma,E. V. V. Satyanarayana,E.V.V. Satyanarayana,221584,Comedy
2006,Kithakithalu,kithakithalu-2006,Allari Naresh,Madhavi Latha,Evani Shivaji,Sathyam,Sravan Kumar,M. R. Varma,E. V. V. Satyanarayana,E. V. V. Satyanarayana,113063,Comedy; Romance; Drama; Family
2006,Kittu,kittu-2006,Allari Naresh,Gowri Pandit,Evv Satyanarayana,,Sravan Kumar,M. R. Varma,Koppineedi Satyanarayana,Murali,1152062,Drama; Romance; Family; Comedy
2006,Roommates,roommates-2006,Allari Naresh,Navneet Kaur,A. V. S.,Mani Sharma,V. Srinivasa Reddy,Marthand K. Venkatesh,A. V. S.,Srinivasa Reddy,347363,Drama; Comedy
2006,Gopi Goda Meeda Pilli,gopi-goda-meeda-pilli-2006,Allari Naresh,Jagapati Babu,Janardhan Maharshi,Saluri Koteswara Rao,V. Srinivasa Reddy,Gautham Raju,P. N. Ramachandra Rao,Polisetty Rambabu,531025,Comedy
2006,Party,party-2006,Allari Naresh,Shashank,Ravi Babu,Chakri,Sravan Kumar,M. R. Varma,Ravi Babu,G. P. Vijay Kumar,253817,Comedy; Drama; Family
2005,Nuvvante Naakishtam,nuvvante-naakishtam-2005,Allari Naresh,Anuradha Mehta,E. V. V. Satyanarayana,Koti,V. Srinivasa Reddy,Gautham Raju,E. V. V. Satyanarayana,E. V. V. Satyanarayana,428383,Romance; Drama
2005,Danger,danger-2005,Allari Naresh,Sareeika,Krishna Vamsi,Joshua Sridhar,Om Prakash,Senthil Kumar,Krishna Vamsi,Sunkara Madhu Murali,339174,Thriller; Action
2004,Nenu,nenu-2004,Allari Naresh,Veda Archana,E,Vidyasagar,Adusumilli Vijay Kumar,Gautham Raju,Sathyam Bellamkonda,Maullapudi Brahmanandam,241551,Drama; Romance; Comedy
2003,Praanam,praanam-2003,Allari Naresh,Sada,Mallikarjun,Kamalakar,S. Gopal Reddy,Marthand K. Venkatesh,Mallikarjun,Magi Maganti,339149,Drama; Romance
2003,Maa Alludu Very Good,maa-alludu-very-good-2003,Allari Naresh,Mounica,"Rajendra Prasad, Allari Naresh, Ramya Krishna, Mounika, Kovai Sarala",M. M. Keeravani,Adusumilli Vijay Kumar,Nandamuri Hari,Janardhan Maharshi,M. Chandra Sekhar,251508,Comedy; Drama; Romance
2003,Juniors,juniors-2003,Allari Naresh,Shirya,J. Pulla Rao,Chakri,Adusumilli Vijay Kumar,Gautham Raju,J. Pulla Rao,J. Bhagavan,251509,Drama; Romance; Family
2002,Thotti Gang,thotti-gang-2002,Allari Naresh,Gajala,E.V.V. Satyanarayana,Devi Sri Prasad,V. Srinivasa Reddy,Marthand K. Venkatesh,E. V. V. Satyanarayana,E. V. V. Satyanarayana,143431,Comedy; Drama; Family
2002,"Dhanalakshmi, I Love You",dhanalakshmi-i-love-you-2002,Allari Naresh,Aditya Om,Siva Nageswara Rao,Chakri,K. Dutt,A. Sreekar Prasad,Siva Nageswara Rao,B. Satyanarayana,308014,Drama; Romance; Family; Comedy
2002,Allari,allari-2002,Allari Naresh,Shweta Agarwal,Ravi Babu,Paul J,Loganathan Srinivasan,Marthand K. Venkatesh,Ravi Babu,Ravi Babu,143428,Comedy; Romance
