Year	Title	Slug	Hero	Heroine	Director	Music Director	Cinematographer	Editor	Writer	Producer	TMDB ID	Genres
2026	Alcohol	alcohol-2026	Allari Naresh	Ruhani Sharma	Meher Tej	Ghibran	Jiju Sunny	Niranjan Devaramane	Meher Tej	Suryadevara Naga Vamsi	1403166	Drama; Thriller
2025	12A Railway Colony	12a-railway-colony-2025	Allari Naresh	Sai Kumar	Nani Kasaragadda	Bheems Ceciroleo	Kushedar Ramesh Reddy	Nani Kasaragadda	Anil Viswanath	Srinivasaa Chitturi	1450340	Horror; Thriller
2024	Bachhala Malli	bachhala-malli-2024	Allari Naresh	Amritha Aiyer	Subbu Mangadevi	Vishal Chandrasekhar	Richard M. Nathan	Chota K. Prasad	Subbu Mangadevi	Razesh Danda	1399790	Action; Drama
2024	Aa Okkati Adakku	aa-okkati-adakku-2024	Allari Naresh	Faria Abdullah	Malli Ankam	Gopi Sundar	Suryaa Teja Musunuru	Chota K. Prasad	Malli Ankam	Rajiv Chilaka	1282465	Comedy
2023	Ugram	ugram-2023	Allari Naresh	Mirnaa	Vijay Kanakamedala	Sricharan Pakala	S. J. Siddharth	Chota K. Prasad	Vijay Kanakamedala	Sahu Garapati	1069937	Action; Thriller
2022	Itlu Maredumilli Prajaneekam	itlu-maredumilli-prajaneekam-2022	Allari Naresh	Anandhi	A. R. Mohan	Sricharan Pakala	Raam Reddy	Chota K. Prasad	A. R. Mohan	Razesh Danda	1030078	Drama; Action
2021	Naandhi	naandhi-2021	Allari Naresh	Varalaxmi Sarathkumar	Vijay Kanakamedala	Sricharan Pakala	S. J. Siddharth	Chota K. Prasad	Toom Venkat	Satish Varma	797967	Crime; Drama; Thriller
2021	Bangaru Bullodu	bangaru-bullodu-2021	Allari Naresh	Pooja Jhaveri	Veligonda Srinivas	Sai Karthik	Satish Mutyala	M. R. Varma	Veligonda Srinivas	.mw-parser-output .plainlist ol	789229	Comedy; Family; Romance
2017	Meda Meeda Abbayi	meda-meeda-abbayi-2017	Allari Naresh	Nikhila Vimal	G. Prajith	Shaan Rahman	Kunjunni S. Kumar	Nandamuri Hari		Boppana Chandrasekhar	474958	Comedy; Drama; Romance
2016	Intlo Deyyam Nakem Bhayam	intlo-deyyam-nakem-bhayam-2016	Allari Naresh	Kruthika Jayakumar	G. Nageswara Reddy	Sai Karthik			G. Nageswara Reddy	B. V. S. N. Prasad	433673	Horror; Comedy
2016	Selfie Raja	selfie-raja-2016	Allari Naresh	Sakshi Chaudhary	G. Nageswara Reddy	Sai Karthik	Loganathan Srinivasan	M. R. Varmaa	G. Nageswara Reddy	Chalasani Rambrahmam Chowdary	430121	Comedy
2015	James Bond	james-bond-2015	Allari Naresh	Rachel Kimsey	Tyler Gibb	Sai Karthik		Tyler Gibb	Tyler Gibb	Ramabrahmam Sunkara		Action; Animation
2015	Mama Manchu Alludu Kanchu	mama-manchu-alludu-kanchu-2015	Allari Naresh	Mohan Babu	Srinivas Reddy	Raghu Kunche	Adusumilli Vijaykumar B. Balamurugan	Gautham Raju	Srinivasa Reddy	Vishnu Manchu	401901	Comedy; Drama; Family
2015	Bandipotu	bandipotu-2015	Allari Naresh	Eesha Rebba	Mohan Krishna Indraganti	Kalyani Malik	P. G. Vinda	Dharmendra Kakarala	Mohana Krishna Indraganti	Aryan Rajesh	465571	Comedy; Crime; Action
2014	Laddu Babu	laddu-babu-2014	Allari Naresh	Bhumika Chawla	Ravi Babu	Ravi Babu	Ravi Babu	Marthand K. Venkatesh		Allari Naresh		Comedy; Family; Drama
