Year,Title,Slug,Director,Cinematographer,Editor,Writer,Producer,TMDB_ID,Missing_Fields
2026,Alcohol,alcohol-2026,Meher Tej,,Niranjan Devaramane,Meher Tej,S. Naga Vamsi, Sai Soujanya,1403166,Cinematographer
2024,Bachhala Malli,bachhala-malli-2024,Subbu Mangadevi,,Chota K. Prasad,Subbu Mangadevi,Razesh Danda,1399790,Cinematographer
2024,Aa Okkati Adakku,aa-okkati-adakku-2024,Malli Ankam,,Chota K. Prasad,Malli Ankam,Rajiv Chilaka,1282465,Cinematographer
2023,Ugram,ugram-2023,Vijay Kanakamedala,,Chota K. Prasad,Vijay Kanakamedala,Sahu Garapati,1069937,Cinematographer
2022,Itlu Maredumilli Prajaneekam,itlu-maredumilli-prajaneekam-2022,A. R. Mohan,,Chota K. Prasad,A. R. Mohan,Razesh Danda,1030078,Cinematographer
2021,Naandhi,naandhi-2021,Vijay Kanakamedala,,Chota K. Prasad,Toom Venkat,Satish Varma,797967,Cinematographer
2021,Bangaru Bullodu,bangaru-bullodu-2021,Veligonda Srinivas,,M. R. Varma,Veligonda Srinivas,Sunkara Ramabrahmam,789229,Cinematographer
2016,Selfie Raja,selfie-raja-2016,G. Nageswara Reddy,,M. R. Varmaa,G. Nageswara Reddy,Chalasani Rambrahmam Chowdary,430121,Cinematographer
2015,Mama Manchu Alludu Kanchu,mama-manchu-alludu-kanchu-2015,Srinivas Reddy,,Gautham Raju,Srinivasa Reddy,Vishnu Manchu,401901,Cinematographer
2015,Bandipotu,bandipotu-2015,Mohan Krishna Indraganti,,Dharmendra Kakarala,Mohana Krishna Indraganti,Aryan Rajesh,465571,Cinematographer
2013,Kevvu Keka,kevvu-keka-2013,Devi Prasad,,Hari Nandamuri,Devi Prasad,Boppana Chandrasekhar,225547,Cinematographer
2013,Action 3D,action-3d-2013,Anil Sunkara,,M. R. Varmaa,Anil Sunkara,Rama Brahmam Sunkara,224219,Cinematographer
2012,Yamudiki Mogudu,yamudiki-mogudu-2012,E Sattibabu,,Gautham Raju,Kranthi Reddy Sakinala,Allari Naresh,196801,Cinematographer
2012,Sudigaadu,sudigaadu-2012,Bhimaneni Srinivasa Rao,Kadesh,,,Chandrasekhar D Reddy,155738,Editor; Writer
2011,Madatha Kaja,madatha-kaja-2011,Sathyam Bellamkonda,,Marthand K. Venkatesh,Seetaramaraju Dantuluri V Sathish,Allari Naresh,85952,Cinematographer
2011,Seema Tapakai,seema-tapakai-2011,G. Nageswara Reddy,,Kotagiri Venkateswara Rao,,,69925,Cinematographer; Writer; Producer
2011,Aha Naa Pellanta,aha-naa-pellanta-2011,Veerabhadram,,,Veerabhadram Chowdary,Ramabrahmam Sunkara,67902,Cinematographer; Editor
2010,Betting Bangarraju,betting-bangarraju-2010,E. Sathi Babu,,,Nagaraju Gandham,Ramoji Rao,77799,Cinematographer; Editor
2010,Shambo Shiva Shambo,shambo-shiva-shambo-2010,Samuthirakani,,A. L. Ramesh,Samuthirakani,Bellamkonda Suresh,308306,Cinematographer
2010,Shubhapradham,shubhapradham-2010,K. Viswanath,,,K. Viswanath,Allari Naresh,82785,Cinematographer; Editor
2010,Rambabu Gadi Pellam,rambabu-gadi-pellam-2010,Kapuganti Rajendra,,,Kapuganti Rajendra,J. S. R. Naidu,339241,Cinematographer; Editor
2010,Saradaga Kasepu,saradaga-kasepu-2010,Vamsy,,,Sankaramanchi,Allari Naresh,200305,Cinematographer; Editor
2009,Bendu Apparao R.M.P,bendu-apparao-r-m-p-2009,E. V. V. Satyanarayana,,Gautham Raju,E. V. V. Satyanarayana Veligonda Srinivas  (dialogues),D. Ramanaidu,117008,Cinematographer
