Section,Title,Year,Slug,Current Value,Suggested Value,Action
Missing Film,"Gamyam",2008,,80994,""Gaali" Seenu",Add
Missing Film,"Seema Sastri",2007,,82312,"sastry",Add
Missing Film,"Subhapradam",2010,,82785,"Chakri",Add
Missing Film,"Madatha Kaaja",2011,,85952,"Kalyan",Add
Missing Film,"Danger",2005,,132445,"Satya",Add
Missing Film,"Nuvva Nena",2012,,137462,"",Add
Missing Film,"Naa Saami Ranga",2024,,1171096,"Anji",Add
Missing Film,"Fitting Master",2009,,81975,"",Add
Missing Film,"Pranam",2003,,307938,"Sivudu / Kaasi",Add
Missing Film,"Kulu Manali",2012,,642024,"",Add
Missing Film,"Shambo Shiva Shambo",2010,,308306,"Malli",Add
Missing Film,"Bommalata",2006,,395065,"",Add
Missing Film,"Dhanalaxmi I Love You",2002,,308014,"",Add
Missing Film,"Aakasa Ramanna",2010,,1009916,"Raana",Add
Missing Film,"Silly Fellows",2018,,548382,"",Add
Missing Film,"Nuvvante Nakishtam",2005,,564266,"Devudu",Add
Missing Film,"Maharshi",2019,,541487,"Ravi Shankar",Add
Missing writer,"Meda Meeda Abbayi",2017,meda-meeda-abbayi-2017,,,"Fill"
Missing cinematographer,"Intlo Deyyam Nakem Bhayam",2016,intlo-deyyam-nakem-bhayam-2016,,,"Fill"
Missing editor,"Intlo Deyyam Nakem Bhayam",2016,intlo-deyyam-nakem-bhayam-2016,,,"Fill"
Missing cinematographer,"James Bond",2015,james-bond-2015,,,"Fill"
Missing tmdb_id,"James Bond",2015,james-bond-2015,,,"Fill"
Missing writer,"Laddu Babu",2014,laddu-babu-2014,,,"Fill"
Missing tmdb_id,"Laddu Babu",2014,laddu-babu-2014,,,"Fill"
Missing editor,"Jump Jilani",2014,jump-jilani-2014,,,"Fill"
Missing tmdb_id,"Jump Jilani",2014,jump-jilani-2014,,,"Fill"
Missing cinematographer,"Brother of Bommali",2014,brother-of-bommali-2014,,,"Fill"
Missing writer,"Brother of Bommali",2014,brother-of-bommali-2014,,,"Fill"
Missing tmdb_id,"Yamudiki Mogudu",2012,yamudiki-mogudu-2012,,,"Fill"
Missing cinematographer,"Sudigaadu",2012,sudigaadu-2012,,,"Fill"
Missing editor,"Sudigaadu",2012,sudigaadu-2012,,,"Fill"
Missing writer,"Sudigaadu",2012,sudigaadu-2012,,,"Fill"
Missing tmdb_id,"Madatha Kaja",2011,madatha-kaja-2011,,,"Fill"
Missing writer,"Seema Tapakai",2011,seema-tapakai-2011,,,"Fill"
Missing producer,"Seema Tapakai",2011,seema-tapakai-2011,,,"Fill"
Missing editor,"Aha Naa Pellanta",2011,aha-naa-pellanta-2011,,,"Fill"
Missing cinematographer,"Betting Bangarraju",2010,betting-bangarraju-2010,,,"Fill"
Missing editor,"Betting Bangarraju",2010,betting-bangarraju-2010,,,"Fill"
Missing editor,"Shubhapradham",2010,shubhapradham-2010,,,"Fill"
Missing writer,"Shubhapradham",2010,shubhapradham-2010,,,"Fill"
Missing tmdb_id,"Shubhapradham",2010,shubhapradham-2010,,,"Fill"
Missing writer,"Kathi Kantha Rao",2010,kathi-kantha-rao-2010,,,"Fill"
Missing tmdb_id,"Kathi Kantha Rao",2010,kathi-kantha-rao-2010,,,"Fill"
Missing cinematographer,"Saradaga Kasepu",2010,saradaga-kasepu-2010,,,"Fill"
Missing editor,"Saradaga Kasepu",2010,saradaga-kasepu-2010,,,"Fill"
Missing cinematographer,"Aapada Mokkulavaadu",2008,aapada-mokkulavaadu-2008,,,"Fill"
Missing editor,"Aapada Mokkulavaadu",2008,aapada-mokkulavaadu-2008,,,"Fill"
Missing writer,"Aapada Mokkulavaadu",2008,aapada-mokkulavaadu-2008,,,"Fill"
Missing producer,"Aapada Mokkulavaadu",2008,aapada-mokkulavaadu-2008,,,"Fill"
Missing tmdb_id,"Aapada Mokkulavaadu",2008,aapada-mokkulavaadu-2008,,,"Fill"
Missing cinematographer,"Bommana Brothers Chandana Sisters",2008,bommana-brothers-chandana-sisters-2008,,,"Fill"
Missing writer,"Bommana Brothers Chandana Sisters",2008,bommana-brothers-chandana-sisters-2008,,,"Fill"
Missing cinematographer,"Dongala Bandi",2008,dongala-bandi-2008,,,"Fill"
Missing editor,"Dongala Bandi",2008,dongala-bandi-2008,,,"Fill"
Missing producer,"Dongala Bandi",2008,dongala-bandi-2008,,,"Fill"
Missing tmdb_id,"Sundarakanda",2008,sundarakanda-2008,,,"Fill"
Missing cinematographer,"Allare Allari",2007,allare-allari-2007,,,"Fill"
Missing writer,"Allare Allari",2007,allare-allari-2007,,,"Fill"
Missing tmdb_id,"Allare Allari",2007,allare-allari-2007,,,"Fill"
Missing cinematographer,"Athili Sathibabu LKG",2007,athili-sathibabu-lkg-2007,,,"Fill"
Missing editor,"Athili Sathibabu LKG",2007,athili-sathibabu-lkg-2007,,,"Fill"
